experiment_name,n_protein,cytokine_protein,best_cluster,best_pdb_path,Nstruc,Evdw+0.1Eelec,Evdw+0.1Eelec_sd,Evdw,Evdw_sd,Eelec,Eelec_sd,Eair,Eair_sd,Edesolv,Edesolv_sd,AIRviol,AIRviol_sd,dihedviol,dihedviol_sd,BSA,BSA_sd,haddock-score,haddock-score_sd,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M,intraclashes_group1,intraclashes_group2,foldx_deltaG_kcalpermol,stability_group1,stability_group2
OC43-N__CCL18,OC43-N,CCL18,2,./results/OC43-N__CCL18/run1/structures/it1/water/OC43-N__CCL18_55w.pdb,14,-76.21,9.83,-64.7,6.82,-115.15,44.35,3375.37,226.95,-25.566,6.91,53.43,0,0,0,2562.916,204.927,224.244,25.805,-14,5.4E-11,27.1052,4.54427,-9.33256,292.156,20.4053
SARS-CoV-2-BA.2-N__IL-12p70,SARS-CoV-2-BA.2-N,IL-12p70,2,./results/SARS-CoV-2-BA.2-N__IL-12p70/run1/structures/it1/water/SARS-CoV-2-BA.2-N__IL-12p70_95w.pdb,5,-105.81,4.12,-66.46,2.44,-393.48,22.95,5367.42,309,18.805,2.733,92.6,0,0,0,3187.562,72.45,410.391,24.224,-12.5,6.9E-10,26.1218,38.0272,-9.32246,266.919,50.9325
SARS-CoV-N__CCL14,SARS-CoV-N,CCL14,3,./results/SARS-CoV-N__CCL14/run1/structures/it1/water/SARS-CoV-N__CCL14_7w.pdb,4,-100.19,16.21,-76.09,5.88,-241.01,103.62,2705.38,150.53,2.336,3.985,43.5,0,0,0,2547.885,264.968,148.583,25.719,-15,9.5E-12,22.0736,4.2051,-9.26414,270.857,24.9304
SARS-CoV-N__CCL7,SARS-CoV-N,CCL7,5,./results/SARS-CoV-N__CCL7/run1/structures/it1/water/SARS-CoV-N__CCL7_123w.pdb,4,-115.87,11.84,-82.23,8.3,-336.4,58.76,3004.81,169.11,19.18,3.049,47,0,0,0,3164.205,142.264,170.154,9.658,-9,2.6E-07,29.6757,5.61296,-9.25581,280.392,33.4509
SARS-CoV-2-B.1.1.529-N__CXCL12alpha,SARS-CoV-2-B.1.1.529-N,CXCL12alpha,5,./results/SARS-CoV-2-B.1.1.529-N__CXCL12alpha/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CXCL12alpha_121w.pdb,5,-121.82,4.84,-88.09,5.66,-337.3,42.88,3076.36,141.16,8.643,4.26,50.2,0,0,0,2810.532,152.518,160.729,22.232,-11.8,2.1E-09,25.0854,5.27537,-9.24917,266.202,16.9966
MERS-CoV-N__CCL15,MERS-CoV-N,CCL15,2,./results/MERS-CoV-N__CCL15/run1/structures/it1/water/MERS-CoV-N__CCL15_19w.pdb,7,-108.77,8.65,-76.94,8.3,-318.28,60.56,3444.26,156.79,5.233,4.723,49.29,0,0,0,2925.256,166.094,209.059,21.229,-15.7,3.2E-12,38.8917,3.14836,-9.2207,306.12,42.4704
SARS-CoV-2-B.1.351-N__CCL4L1,SARS-CoV-2-B.1.351-N,CCL4L1,4,./results/SARS-CoV-2-B.1.351-N__CCL4L1/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CCL4L1_108w.pdb,8,-102.01,8.29,-86.33,8.45,-156.84,33.46,3121.75,193.13,-10.506,3.15,51.38,0,0,0,2761.894,183.256,183.974,22.466,-14.7,1.8E-11,30.8191,3.76973,-9.18992,269.016,40.1816
SARS-CoV-2-B.1.1.7-N__CXCL12alpha,SARS-CoV-2-B.1.1.7-N,CXCL12alpha,2,./results/SARS-CoV-2-B.1.1.7-N__CXCL12alpha/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CXCL12alpha_39w.pdb,6,-111.02,10.56,-68.03,8.26,-429.87,53.81,2943.05,132.48,19.919,2.289,48.83,0,0,0,2637.657,149.629,160.219,25.086,-9.7,7.6E-08,22.738,4.24708,-9.18846,243.428,17.9682
SARS-CoV-2-XBB-N__CCL5,SARS-CoV-2-XBB-N,CCL5,8,./results/SARS-CoV-2-XBB-N__CCL5/run1/structures/it1/water/SARS-CoV-2-XBB-N__CCL5_21w.pdb,4,-116.17,2.36,-89.18,4.6,-269.91,30.42,3069.27,165.34,1.973,4.879,48.5,0,0,0,2768.162,46.51,165.735,15.66,-9.8,6.1E-08,20.5757,4.28201,-9.16949,247.27,13.7173
SARS-CoV-2-B.1.351-N__CXCL4,SARS-CoV-2-B.1.351-N,CXCL4,7,./results/SARS-CoV-2-B.1.351-N__CXCL4/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL4_81w.pdb,4,-113.08,17.31,-64.84,10.97,-482.45,71,2865.01,104.01,15.646,3.512,45.5,0,0,0,3101.642,304.102,140.819,16.479,-15.1,8.6E-12,33.441,5.74677,-9.14628,283.978,30.5004
SARS-CoV-2-P.1-N__CCL22,SARS-CoV-2-P.1-N,CCL22,1,./results/SARS-CoV-2-P.1-N__CCL22/run1/structures/it1/water/SARS-CoV-2-P.1-N__CCL22_175w.pdb,11,-110.76,11.26,-58.18,7.75,-525.82,78.77,2982.95,164.92,26.623,2.836,48.64,0,0,0,2575.381,107.8,161.577,20.608,-14.8,1.3E-11,27.2751,5.94147,-9.08848,263.364,14.6831
SARS-CoV-2-BA.4-N__CCL16,SARS-CoV-2-BA.4-N,CCL16,2,./results/SARS-CoV-2-BA.4-N__CCL16/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL16_7w.pdb,4,-93.32,8.12,-70.22,7.51,-231.06,56.05,2844.99,112.38,-2.788,3.709,48.5,0,0,0,2779.347,187.647,165.282,20.711,-11.6,3.1E-09,26.524,4.57537,-9.08533,290.004,35.5931
SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL12beta,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL12beta,2,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL12beta/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL12beta_31w.pdb,9,-102.47,12.62,-77.11,12.01,-253.62,35.1,2675,214.21,1.816,3.776,45.33,0,0,0,2860.081,296.629,141.484,31.251,-14.8,1.5E-11,30.0645,3.32839,-9.06476,276.55,20.9387
MERS-CoV-N__CXCL10,MERS-CoV-N,CXCL10,3,./results/MERS-CoV-N__CXCL10/run1/structures/it1/water/MERS-CoV-N__CXCL10_72w.pdb,7,-88.09,10.77,-72.1,10.02,-159.96,31.05,3052.16,59.15,13.449,2.166,46.43,0,0,0,2425.663,206.58,214.576,13.498,-12.4,8.1E-10,32.9532,4.31172,-9.05314,272.528,22.6356
SARS-CoV-2-XBB-N__CXCL12alpha,SARS-CoV-2-XBB-N,CXCL12alpha,1,./results/SARS-CoV-2-XBB-N__CXCL12alpha/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL12alpha_108w.pdb,15,-114.85,13.48,-85.42,11.53,-294.34,50.12,2930.79,217.33,10.643,5.654,48,0,0,0,2679.495,214.363,159.436,34.706,-10.6,1.6E-08,22.5337,5.67287,-9.05267,269.635,26.6039
MERS-CoV-N__IL-18,MERS-CoV-N,IL-18,2,./results/MERS-CoV-N__IL-18/run1/structures/it1/water/MERS-CoV-N__IL-18_58w.pdb,9,-80.8,16.85,-51.81,15.15,-289.91,30.21,3446.22,128.98,30.065,4.054,55.56,0,0,0,2031.172,374.487,264.892,20.558,-10.2,3.2E-08,36.4074,12.3138,-9.05244,293.872,26.8498
BANAL-20-52-N__CCL5,BANAL-20-52-N,CCL5,6,./results/BANAL-20-52-N__CCL5/run1/structures/it1/water/BANAL-20-52-N__CCL5_29w.pdb,5,-118.85,7.35,-89.85,5.12,-289.98,45.37,2744.56,124.18,12.817,3.356,44,0,0,0,2590.486,111.2,139.43,22.465,-11.1,7E-09,22.1242,5.56188,-9.00984,256.777,12.9385
SARS-CoV-2-WA1-N__CCL22,SARS-CoV-2-WA1-N,CCL22,3,./results/SARS-CoV-2-WA1-N__CCL22/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL22_107w.pdb,5,-103.24,7.64,-71.2,6.43,-320.38,60.8,3265,154.58,-25.471,3.725,52.2,0,0,0,2847.08,212.703,165.753,25.822,-12.1,1.3E-09,19.551,2.9496,-8.99712,255.613,3.83395
SARS-CoV-2-B.1.617.2-DeltaA-N__IL-17a,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-17a,2,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-17a/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IL-17a_2w.pdb,5,-115.84,26.56,-80.06,25.3,-357.77,25.85,3086.72,406.14,1.701,7.537,56.8,0,0,0,3112.568,471.605,158.756,69.788,-14.7,1.7E-11,28.2794,6.77923,-8.94721,255.027,57.4738
SARS-CoV-2-BA.2-N__CCL27,SARS-CoV-2-BA.2-N,CCL27,10,./results/SARS-CoV-2-BA.2-N__CCL27/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL27_39w.pdb,4,-119.59,8.07,-74.34,6.79,-452.52,14.64,2930.75,223.1,6.325,4.468,47.5,0,0,0,2684.162,170.43,134.558,28.508,-13.7,8.5E-11,24.2877,5.67819,-8.93916,268.709,25.9143
SARS-CoV-2-BA.1.1-N__CXCL10,SARS-CoV-2-BA.1.1-N,CXCL10,1,./results/SARS-CoV-2-BA.1.1-N__CXCL10/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CXCL10_7w.pdb,6,-101.58,10.94,-74.32,9.3,-272.63,53.14,3012.47,280,7.619,2.492,52.5,0,0,0,2746.842,148.65,180.017,40.252,-12.3,9.9E-10,23.1486,3.99353,-8.93873,279.905,18.0266
SARS-CoV-2-XBB-N__CCL23,SARS-CoV-2-XBB-N,CCL23,1,./results/SARS-CoV-2-XBB-N__CCL23/run1/structures/it1/water/SARS-CoV-2-XBB-N__CCL23_42w.pdb,5,-96.34,16.87,-60.49,13.15,-358.55,39.47,2950.51,169.99,17.667,3.237,50.2,0,0,0,2751.36,337.323,180.52,28.109,-10.5,2E-08,24.9617,22.7155,-8.93666,273.927,92.5294
SARS-CoV-2-BA.2-N__TNFbeta,SARS-CoV-2-BA.2-N,TNFbeta,5,./results/SARS-CoV-2-BA.2-N__TNFbeta/run1/structures/it1/water/SARS-CoV-2-BA.2-N__TNFbeta_57w.pdb,5,-93.8,7.36,-70.82,7.27,-229.79,23.81,3667.04,88.28,-3.852,1.843,63.2,0,0,0,2446.978,79.173,241.907,8.413,-13.1,2.6E-10,25.8776,11.8873,-8.91687,274.584,48.6577
SARS-CoV-2-B.1.1.7-N__IL-17a,SARS-CoV-2-B.1.1.7-N,IL-17a,1,./results/SARS-CoV-2-B.1.1.7-N__IL-17a/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__IL-17a_168w.pdb,5,-112.27,12.09,-85.01,8.86,-272.6,44.42,3261.26,354.42,-13.297,3.371,58.2,0,0,0,3062.312,285.247,173.298,41.029,-14.8,1.4E-11,22.8163,4.82326,-8.91641,246.72,51.8962
SARS-CoV-2-B.1.1-N__CCL27,SARS-CoV-2-B.1.1-N,CCL27,2,./results/SARS-CoV-2-B.1.1-N__CCL27/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CCL27_118w.pdb,10,-105.3,15.33,-71.13,11.74,-341.68,68.39,2930.14,109.31,9.016,3.774,47.1,0,0,0,2335.216,136.265,162.559,20.466,-13,2.8E-10,21.6375,6.50591,-8.90946,287.502,30.1203
SARS-CoV-2-WA1-N__CXCL13,SARS-CoV-2-WA1-N,CXCL13,4,./results/SARS-CoV-2-WA1-N__CXCL13/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL13_189w.pdb,4,-103.66,5.12,-77.24,4.87,-264.12,47.98,3198.94,172.76,5.627,2.597,51,0,0,0,2669.392,157.974,195.453,24.568,-11,8.1E-09,22.3658,6.36221,-8.87437,254.698,36.8518
MERS-CoV-N__CCL20,MERS-CoV-N,CCL20,10,./results/MERS-CoV-N__CCL20/run1/structures/it1/water/MERS-CoV-N__CCL20_40w.pdb,4,-123.92,6.82,-75.86,5.15,-480.59,35.44,3144.94,70.81,26.117,0.752,46.75,0,0,0,3346.01,88.891,168.637,13.194,-14.5,2.5E-11,35.4972,5.14959,-8.85879,293.941,17.6795
SARS-CoV-2-B.1.351-N__CXCL14,SARS-CoV-2-B.1.351-N,CXCL14,5,./results/SARS-CoV-2-B.1.351-N__CXCL14/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL14_27w.pdb,6,-113.76,9.87,-68.86,9.63,-448.95,24.63,2666.25,121.21,8.259,2.572,46.67,0,0,0,2843.19,154.837,116.232,13.62,-13.3,1.7E-10,32.911,4.25255,-8.83866,274.923,18.5514
BANAL-20-52-N__CCL26,BANAL-20-52-N,CCL26,3,./results/BANAL-20-52-N__CCL26/run1/structures/it1/water/BANAL-20-52-N__CCL26_196w.pdb,5,-104.34,14.24,-80.3,12.9,-240.34,100.2,3140.77,96.75,-10.016,5.189,47.2,0,0,0,2595.54,178.39,175.69,23.09,-13.1,2.6E-10,22.9967,8.47522,-8.83466,262.216,27.789
SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL2,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL2,2,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL2/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL2_146w.pdb,7,-90.81,12.92,-70.88,11.7,-199.34,38.76,2961.85,272.08,14.09,3.884,46.57,0,0,0,2467.73,111.788,199.529,20.255,-11.8,2.2E-09,21.8107,3.4308,-8.82607,269.009,25.48
SARS-CoV-2-B.1.617.2-DeltaA-N__IFNlambda1,SARS-CoV-2-B.1.617.2-DeltaA-N,IFNlambda1,17,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IFNlambda1/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IFNlambda1_42w.pdb,2,-109.28,13.66,-76.98,11.5,-323.07,21.61,3091.12,131.26,6.986,2.627,50.5,0,0,0,2939.21,252.63,174.507,31.58,-15.3,5.8E-12,25.7297,10.7968,-8.8249,267.677,35.1238
SARS-CoV-2-BA.4-N__CXCL1,SARS-CoV-2-BA.4-N,CXCL1,6,./results/SARS-CoV-2-BA.4-N__CXCL1/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL1_196w.pdb,4,-108.49,6.28,-85.76,9.95,-227.24,46.16,2767.68,134.25,9.428,5.744,44,0,0,0,2848.113,62.044,154.986,18.058,-13.4,1.6E-10,25.7382,2.65138,-8.81618,278.571,28.6951
SARS-CoV-N__CXCL8,SARS-CoV-N,CXCL8,2,./results/SARS-CoV-N__CXCL8/run1/structures/it1/water/SARS-CoV-N__CXCL8_76w.pdb,16,-83.55,10.5,-61.28,9.96,-222.64,28.28,2954.17,104.89,17.403,3.709,47.94,0,0,0,2111.248,171.455,206.274,12.783,-12.5,6.3E-10,29.9001,7.54135,-8.79263,287.64,20.9678
MERS-CoV-N__CCL27,MERS-CoV-N,CCL27,5,./results/MERS-CoV-N__CCL27/run1/structures/it1/water/MERS-CoV-N__CCL27_46w.pdb,6,-111.92,17.22,-87,13.21,-249.16,54.99,3203.11,120.75,0.311,1.509,46.33,0,0,0,3114.5,342.573,183.79,27.175,-15.2,6.9E-12,35.8119,5.52823,-8.77908,291.879,21.1917
RaTG13-N__CCL27,RaTG13-N,CCL27,4,./results/RaTG13-N__CCL27/run1/structures/it1/water/RaTG13-N__CCL27_88w.pdb,4,-132.05,17.72,-92.96,18.02,-390.95,43.15,3065.51,142.28,14.031,2.075,52.75,0,0,0,3166.988,171.102,149.434,23.052,-16.5,7.9E-13,24.575,4.79259,-8.77557,275.901,48.5321
SARS-CoV-2-WA1-N__CXCL14,SARS-CoV-2-WA1-N,CXCL14,3,./results/SARS-CoV-2-WA1-N__CXCL14/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL14_105w.pdb,8,-93.9,14.56,-71.31,13.43,-225.95,46.73,2936.61,102.7,4.019,4.756,50.88,0,0,0,2749.547,258.573,177.757,19.704,-12.8,4.3E-10,20.9728,4.31737,-8.76859,229.648,16.6719
SARS-CoV-2-B.1.351-N__IFNgamma,SARS-CoV-2-B.1.351-N,IFNgamma,1,./results/SARS-CoV-2-B.1.351-N__IFNgamma/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__IFNgamma_63w.pdb,4,-102.5,13.39,-55.99,7.58,-465.19,59.34,3139.14,162.37,48.997,4.608,50.25,0,0,0,3099.408,271.353,213.888,38.337,-13.2,1.9E-10,30.5262,8.9783,-8.76728,272.427,84.9517
SARS-CoV-2-BA.1.1-N__CCL22,SARS-CoV-2-BA.1.1-N,CCL22,4,./results/SARS-CoV-2-BA.1.1-N__CCL22/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL22_180w.pdb,4,-105.22,10.7,-75.78,6.5,-294.38,46.5,2887.82,183.54,17.59,3.425,49.5,0,0,0,2641.588,120.803,171.719,26.192,-14.1,4.2E-11,23.5162,4.05118,-8.75344,296.169,14.2139
SARS-CoV-2-XBB-N__CXCL2,SARS-CoV-2-XBB-N,CXCL2,9,./results/SARS-CoV-2-XBB-N__CXCL2/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL2_28w.pdb,4,-141.08,19.87,-97.41,9.86,-436.77,129.41,2695.42,94.11,14.939,2.391,45.75,0,0,0,3470.863,272.852,99.722,36.759,-15.3,6.3E-12,23.244,2.45715,-8.74826,277.801,48.0961
RaTG13-N__IL-10,RaTG13-N,IL-10,2,./results/RaTG13-N__IL-10/run1/structures/it1/water/RaTG13-N__IL-10_88w.pdb,4,-111.7,14.82,-84.07,10.77,-276.33,44.46,2937.45,280.69,28.049,2.465,53,0,0,0,3068.525,367.115,182.456,44.077,-14.6,2E-11,34.0659,8.5553,-8.70887,273.953,12.6441
SARS-CoV-2-B.1.617.2-DeltaA-N__XCL1,SARS-CoV-2-B.1.617.2-DeltaA-N,XCL1,2,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__XCL1/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__XCL1_185w.pdb,5,-112.05,18.62,-80.15,19.05,-318.99,46.55,3063.24,181.16,25.407,3.052,50.6,0,0,0,2929.54,375.337,187.785,30.532,-15.7,3.2E-12,27.9065,5.66729,-8.68324,277.906,56.8003
SARS-CoV-2-B.1.351-N__CXCL9,SARS-CoV-2-B.1.351-N,CXCL9,3,./results/SARS-CoV-2-B.1.351-N__CXCL9/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL9_199w.pdb,5,-103.53,10.33,-73.64,9.3,-298.86,35.58,3063.98,145.15,26.855,4.804,49.2,0,0,0,2632.916,186.872,199.842,14.893,-13.2,2.1E-10,31.4625,5.45251,-8.66657,285.555,61.2265
MERS-CoV-N__CCL23,MERS-CoV-N,CCL23,2,./results/MERS-CoV-N__CCL23/run1/structures/it1/water/MERS-CoV-N__CCL23_94w.pdb,4,-88.72,7.38,-69.28,9.15,-194.44,22.39,3279.83,412.92,-15.72,2.376,54.75,0,0,0,2733.828,107.622,204.098,34.377,-12.3,9.5E-10,32.8319,21.4184,-8.65018,275.068,79.8056
SARS-CoV-2-BQ.1-N__CXCL5,SARS-CoV-2-BQ.1-N,CXCL5,5,./results/SARS-CoV-2-BQ.1-N__CXCL5/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CXCL5_192w.pdb,4,-87.46,8.98,-68.43,6.99,-190.29,35.24,2911.82,21.9,11.984,1.942,47.75,0,0,0,2824.805,150.278,196.679,13.352,-12.3,1E-09,26.9297,4.14386,-8.6491,256.501,26.2018
SARS-CoV-2-WA1-N__CXCL6,SARS-CoV-2-WA1-N,CXCL6,6,./results/SARS-CoV-2-WA1-N__CXCL6/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL6_42w.pdb,4,-84.74,2.86,-72.17,2.41,-125.74,9.77,2911.95,76.37,2.657,1.591,49.5,0,0,0,2456.933,109.156,196.536,5.071,-11.6,2.9E-09,20.5001,5.6787,-8.64712,247.585,25.8143
SARS-CoV-2-B.1.1.529-N__IL-17a,SARS-CoV-2-B.1.1.529-N,IL-17a,1,./results/SARS-CoV-2-B.1.1.529-N__IL-17a/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IL-17a_58w.pdb,4,-114.14,7.46,-75.96,8.6,-381.75,32.99,3089.79,68.56,17.018,3.202,55.25,0,0,0,3273.24,110.809,173.685,9.749,-15.2,6.6E-12,29.4075,6.59359,-8.64265,259.384,52.4977
SARS-CoV-2-P.1-N__CXCL11,SARS-CoV-2-P.1-N,CXCL11,1,./results/SARS-CoV-2-P.1-N__CXCL11/run1/structures/it1/water/SARS-CoV-2-P.1-N__CXCL11_12w.pdb,16,-119.4,11.14,-91.15,12.11,-282.53,52.3,2753.09,263.37,12.558,4.819,47.69,0,0,0,3026.343,215.631,140.21,32.059,-17.3,2.1E-13,28.1955,6.26397,-8.6322,270.537,44.9336
SARS-CoV-2-BA.2-N__CCL3L1,SARS-CoV-2-BA.2-N,CCL3L1,2,./results/SARS-CoV-2-BA.2-N__CCL3L1/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL3L1_92w.pdb,15,-94.71,8.96,-78.69,7.64,-160.2,23.64,2993.12,177.66,-11.032,1.844,48.27,0,0,0,2461.074,92.054,177.552,18.391,-14.1,4.6E-11,23.1119,4.46432,-8.63196,267.697,16.0636
SARS-CoV-2-BQ.1-N__CCL28,SARS-CoV-2-BQ.1-N,CCL28,1,./results/SARS-CoV-2-BQ.1-N__CCL28/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL28_160w.pdb,9,-89.53,7.29,-64.94,7.06,-245.89,43.08,3059.17,155.91,1.391,4.864,50.78,0,0,0,2649.997,165.971,193.188,15.304,-9.7,8.1E-08,30.3489,8.81139,-8.61565,252.546,66.1407
SARS-CoV-2-B.1.1.7-N__CXCL11,SARS-CoV-2-B.1.1.7-N,CXCL11,4,./results/SARS-CoV-2-B.1.1.7-N__CXCL11/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CXCL11_186w.pdb,8,-119.14,20.88,-76.38,22.27,-427.58,58.93,2815.84,159.31,11.465,5.193,46.88,0,0,0,2964.536,374.827,131.149,29.151,-13.4,1.4E-10,24.8655,6.08603,-8.60552,247.786,42.3049
RaTG13-N__CXCL12alpha,RaTG13-N,CXCL12alpha,4,./results/RaTG13-N__CXCL12alpha/run1/structures/it1/water/RaTG13-N__CXCL12alpha_95w.pdb,5,-103.26,14.43,-77.42,12.87,-258.41,29.52,2679.67,71.97,-5.327,5.857,41,0,0,0,2438.254,203.373,133.539,18.441,-11.6,3.3E-09,24.1337,3.97219,-8.57337,276.236,23.9975
SARS-CoV-2-BA.2-N__IL-18BP,SARS-CoV-2-BA.2-N,IL-18BP,2,./results/SARS-CoV-2-BA.2-N__IL-18BP/run1/structures/it1/water/SARS-CoV-2-BA.2-N__IL-18BP_57w.pdb,6,-94.46,11.64,-78.66,10.07,-157.98,40.03,3354.32,182.11,-10.897,1.952,60.5,0,0,0,2845.762,169.428,207.375,23.913,-14.6,1.9E-11,23.1218,9.19454,-8.56475,258.152,58.0219
SARS-CoV-2-WA1-N__IL-13,SARS-CoV-2-WA1-N,IL-13,1,./results/SARS-CoV-2-WA1-N__IL-13/run1/structures/it1/water/SARS-CoV-2-WA1-N__IL-13_104w.pdb,8,-89.05,7.52,-74.84,7.19,-142.03,19.59,3299.09,52.97,4.568,3.153,54.75,0,0,0,2200.673,199.791,231.228,10.236,-12.6,6E-10,22.6588,6.93289,-8.55099,264.742,13.5195
SARS-CoV-2-B.1.1.529-N__XCL1,SARS-CoV-2-B.1.1.529-N,XCL1,2,./results/SARS-CoV-2-B.1.1.529-N__XCL1/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__XCL1_92w.pdb,6,-108.53,6.78,-71.2,6.36,-373.26,36.72,3023.54,300.8,25.884,4.116,52.83,0,0,0,2902.397,63.026,182.381,27.697,-9.6,8.6E-08,25.4193,3.84184,-8.55099,266.306,45.5
SARS-CoV-2-BQ.1-N__CCL13,SARS-CoV-2-BQ.1-N,CCL13,2,./results/SARS-CoV-2-BQ.1-N__CCL13/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL13_133w.pdb,4,-84.7,16.73,-65.27,18.58,-194.33,19.82,3445.26,159.28,-0.235,9.368,56.5,0,0,0,2295.665,185.129,231.098,14.89,-12.4,8E-10,29.3105,5.28568,-8.54763,261.072,15.013
SARS-CoV-2-B.1.351-N__CXCL12beta,SARS-CoV-2-B.1.351-N,CXCL12beta,3,./results/SARS-CoV-2-B.1.351-N__CXCL12beta/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL12beta_21w.pdb,5,-101.67,9.51,-84.42,8.89,-172.58,13.57,2933.23,187.36,-11.704,2.867,51,0,0,0,2940.008,195.484,162.688,20.901,-14,5.2E-11,32.6487,3.48218,-8.53326,273.14,21.7943
MERS-CoV-N__IL-18BP,MERS-CoV-N,IL-18BP,14,./results/MERS-CoV-N__IL-18BP/run1/structures/it1/water/MERS-CoV-N__IL-18BP_14w.pdb,2,-112.77,13.57,-90.89,11.08,-218.8,24.87,3345.44,150.77,-18.029,4.754,49,0,0,0,3136,1.61,181.862,35.888,-16.7,5.8E-13,36.5222,8.21978,-8.46181,281.61,62.9415
RaTG13-N__CCL26,RaTG13-N,CCL26,6,./results/RaTG13-N__CCL26/run1/structures/it1/water/RaTG13-N__CCL26_23w.pdb,4,-135.1,8.77,-105.22,8.18,-298.81,9.8,2525.17,279.62,7.434,3.302,42.75,0,0,0,2977.983,103.541,94.965,19.255,-14,5E-11,20.3549,6.83845,-8.45991,259.564,39.4821
SARS-CoV-2-B.1.351-N__CCL8,SARS-CoV-2-B.1.351-N,CCL8,4,./results/SARS-CoV-2-B.1.351-N__CCL8/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CCL8_52w.pdb,5,-117.6,5.6,-88.24,4.81,-293.64,32.31,2922.22,180.37,22.05,3,50.8,0,0,0,3215.562,128.437,167.307,20.06,-13.9,6.7E-11,29.9114,3.62874,-8.45723,267.557,19.6047
SARS-CoV-2-B.1.351-N__CXCL13,SARS-CoV-2-B.1.351-N,CXCL13,7,./results/SARS-CoV-2-B.1.351-N__CXCL13/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL13_71w.pdb,4,-102.53,5.1,-83.03,5.02,-194.99,31.57,3059.68,143.38,3.325,2.499,48.25,0,0,0,2637.347,53.666,187.269,18.924,-12,1.6E-09,29.1063,4.87328,-8.45624,268.918,26.8097
MERS-CoV-N__CXCL3,MERS-CoV-N,CXCL3,11,./results/MERS-CoV-N__CXCL3/run1/structures/it1/water/MERS-CoV-N__CXCL3_41w.pdb,5,-78.25,14.58,-67.4,12.64,-108.52,34.12,2939.85,140.26,6.865,1.712,46,0,0,0,2316.5,200.594,211.746,21.691,-12.7,4.9E-10,35.8723,3.03199,-8.43693,273.172,13.8814
RaTG13-N__CXCL1,RaTG13-N,CXCL1,1,./results/RaTG13-N__CXCL1/run1/structures/it1/water/RaTG13-N__CXCL1_5w.pdb,22,-119.9,15.95,-87.58,12.96,-323.16,54.92,2576.51,170.4,16.129,3.992,45.05,0,0,0,2799.709,200.456,121.569,27.442,-12.8,4.2E-10,28.8112,2.12457,-8.422,269.263,23.872
