,n_protein,cytokine_protein,experiment_name,best_cluster,best_pdb_path,Nstruc,Evdw+0.1Eelec,Evdw+0.1Eelec_sd,Evdw,Evdw_sd,Eelec,Eelec_sd,Eair,Eair_sd,Edesolv,Edesolv_sd,AIRviol,AIRviol_sd,dihedviol,dihedviol_sd,BSA,BSA_sd,haddock-score,haddock-score_sd,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M
291,SARS-CoV-N,CCL27,SARS-CoV-N__CCL27,4,./results/SARS-CoV-N__CCL27/run1/structures/it1/water/SARS-CoV-N__CCL27_190w.pdb,6,-107.2,9.22,-84.15,8.52,-230.52,46.03,2811.88,172.59,11.062,2.596,46.17,0.0,0.0,0.0,2899.623,183.561,161.994,17.836,-14.2,3.9e-11
292,SARS-CoV-N,CCL4L1,SARS-CoV-N__CCL4L1,8,./results/SARS-CoV-N__CCL4L1/run1/structures/it1/water/SARS-CoV-N__CCL4L1_82w.pdb,4,-85.2,7.5,-74.28,4.35,-109.22,53.92,2972.31,105.78,-13.082,1.687,44.5,0.0,0.0,0.0,2375.575,201.303,188.029,15.165,-14.4,2.7e-11
293,SARS-CoV-2-B.1.1.7-N,CCL5,SARS-CoV-2-B.1.1.7-N__CCL5,1,./results/SARS-CoV-2-B.1.1.7-N__CCL5/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL5_129w.pdb,8,-115.48,11.49,-88.08,11.01,-274.04,33.67,2926.84,181.06,0.737,5.024,47.25,0.0,0.0,0.0,2586.364,255.102,150.538,29.638,-15.2,7.4e-12
294,SARS-CoV-2-P.1-N,CCL26,SARS-CoV-2-P.1-N__CCL26,2,./results/SARS-CoV-2-P.1-N__CCL26/run1/structures/it1/water/SARS-CoV-2-P.1-N__CCL26_82w.pdb,5,-108.01,7.74,-70.31,5.75,-377.0,40.19,2931.55,204.4,22.153,4.921,50.0,0.0,0.0,0.0,2660.236,116.958,169.595,24.832,-11.9,1.7e-09
295,SARS-CoV-2-BA.1.1-N,CCL15,SARS-CoV-2-BA.1.1-N__CCL15,6,./results/SARS-CoV-2-BA.1.1-N__CCL15/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL15_20w.pdb,6,-94.62,10.25,-74.03,10.23,-205.93,34.68,2765.72,153.62,10.88,1.805,46.5,0.0,0.0,0.0,2504.768,236.536,172.236,19.877,-13.5,1.3e-10
296,SARS-CoV-2-BA.2-N,CXCL1,SARS-CoV-2-BA.2-N__CXCL1,6,./results/SARS-CoV-2-BA.2-N__CXCL1/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CXCL1_2w.pdb,6,-117.88,13.96,-81.47,10.9,-364.1,40.89,2894.41,296.18,10.841,2.433,46.5,0.0,0.0,0.0,2753.013,292.593,145.992,39.708,-12.3,1e-09
297,SARS-CoV-2-BA.1.1-N,CCL11,SARS-CoV-2-BA.1.1-N__CCL11,3,./results/SARS-CoV-2-BA.1.1-N__CCL11/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL11_8w.pdb,5,-99.56,13.9,-63.03,13.63,-365.31,62.01,2951.51,302.94,22.592,4.373,48.6,0.0,0.0,0.0,2657.756,133.332,181.651,38.891,-13.7,9e-11
298,SARS-CoV-2-XBB-N,CXCL1,SARS-CoV-2-XBB-N__CXCL1,3,./results/SARS-CoV-2-XBB-N__CXCL1/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL1_61w.pdb,7,-130.72,15.65,-87.54,10.6,-431.8,66.39,2862.26,86.16,25.573,3.535,45.14,0.0,0.0,0.0,3037.233,229.29,137.9,25.173,-10.5,1.8e-08
299,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL1,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL1,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL1/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL1_58w.pdb,4,-88.11,1.6,-54.55,7.61,-335.56,68.33,3095.48,188.07,24.22,2.8,50.0,0.0,0.0,0.0,1990.503,19.988,212.104,20.626,-9.9,5.9e-08
300,SARS-CoV-2-XBB-N,CXCL11,SARS-CoV-2-XBB-N__CXCL11,1,./results/SARS-CoV-2-XBB-N__CXCL11/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL11_179w.pdb,12,-85.91,14.63,-55.38,11.73,-305.3,74.27,2761.05,153.71,26.436,3.586,44.75,0.0,0.0,0.0,2623.288,211.079,187.515,24.351,-11.8,2.3e-09
301,SARS-CoV-2-B.1.351-N,CCL21,SARS-CoV-2-B.1.351-N__CCL21,1,./results/SARS-CoV-2-B.1.351-N__CCL21/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CCL21_113w.pdb,4,-100.12,14.11,-67.92,11.74,-322.0,37.88,3232.39,190.66,23.723,3.008,53.75,0.0,0.0,0.0,2795.775,309.848,214.646,34.573,-11.0,8.4e-09
302,SARS-CoV-2-B.1.351-N,CXCL16,SARS-CoV-2-B.1.351-N__CXCL16,1,./results/SARS-CoV-2-B.1.351-N__CXCL16/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL16_157w.pdb,4,-51.16,5.63,-42.98,4.68,-81.77,33.68,4260.06,308.34,8.232,4.596,68.25,0.0,0.0,0.0,1681.638,97.775,374.906,29.511,-9.4,1.3e-07
303,SARS-CoV-2-B.1.1.529-N,CXCL11,SARS-CoV-2-B.1.1.529-N__CXCL11,5,./results/SARS-CoV-2-B.1.1.529-N__CXCL11/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CXCL11_36w.pdb,4,-101.72,11.39,-62.16,6.47,-395.52,64.75,2721.77,210.73,38.013,1.867,45.5,0.0,0.0,0.0,2409.5,223.053,168.922,38.953,-12.7,5e-10
304,OC43-N,IL6,OC43-N__IL6,2,./results/OC43-N__IL6/run1/structures/it1/water/OC43-N__IL6_29w.pdb,4,-81.04,5.27,-53.16,6.21,-278.81,15.23,3773.11,334.2,20.066,2.817,62.5,0.0,0.0,0.0,2490.358,236.288,288.457,35.517,-11.0,8.5e-09
305,MERS-CoV-N,CXCL4,MERS-CoV-N__CXCL4,5,./results/MERS-CoV-N__CXCL4/run1/structures/it1/water/MERS-CoV-N__CXCL4_77w.pdb,7,-103.05,12.24,-66.63,8.65,-364.17,49.31,2901.02,204.37,19.775,5.934,48.29,0.0,0.0,0.0,2649.223,156.268,170.412,25.977,-10.3,2.6e-08
306,SARS-CoV-2-B.1.1.529-N,XCL1,SARS-CoV-2-B.1.1.529-N__XCL1,2,./results/SARS-CoV-2-B.1.1.529-N__XCL1/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__XCL1_92w.pdb,6,-108.53,6.78,-71.2,6.36,-373.26,36.72,3023.54,300.8,25.884,4.116,52.83,0.0,0.0,0.0,2902.397,63.026,182.381,27.697,-9.6,8.6e-08
307,SARS-CoV-2-WA1-N,CCL23,SARS-CoV-2-WA1-N__CCL23,4,./results/SARS-CoV-2-WA1-N__CCL23/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL23_34w.pdb,4,-85.31,7.56,-52.9,9.89,-324.06,45.21,2976.29,50.93,12.069,3.259,49.25,0.0,0.0,0.0,2472.733,84.376,191.982,11.287,-12.4,8.6e-10
308,SARS-CoV-2-B.1.1-N,IL-18BP,SARS-CoV-2-B.1.1-N__IL-18BP,1,./results/SARS-CoV-2-B.1.1-N__IL-18BP/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__IL-18BP_6w.pdb,10,-104.65,9.06,-70.32,7.85,-343.28,52.81,3351.04,261.46,4.975,3.952,59.8,0.0,0.0,0.0,2950.5,154.755,201.099,35.386,-12.2,1.1e-09
309,SARS-CoV-2-P.1-N,CXCL12beta,SARS-CoV-2-P.1-N__CXCL12beta,1,./results/SARS-CoV-2-P.1-N__CXCL12beta/run1/structures/it1/water/SARS-CoV-2-P.1-N__CXCL12beta_200w.pdb,6,-88.6,8.86,-75.83,6.47,-127.69,31.89,2927.02,136.55,2.253,2.525,47.67,0.0,0.0,0.0,2536.183,101.319,198.889,18.222,-12.5,6.5e-10
310,MERS-CoV-N,CCL21,MERS-CoV-N__CCL21,1,./results/MERS-CoV-N__CCL21/run1/structures/it1/water/MERS-CoV-N__CCL21_55w.pdb,5,-86.86,15.7,-42.46,6.85,-443.92,115.59,2948.91,145.89,27.621,4.619,44.0,0.0,0.0,0.0,2318.512,213.862,191.263,25.891,-12.5,7.1e-10
311,SARS-CoV-2-BA.2-N,CCL26,SARS-CoV-2-BA.2-N__CCL26,4,./results/SARS-CoV-2-BA.2-N__CCL26/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL26_178w.pdb,4,-115.07,18.62,-85.37,11.8,-297.01,69.94,2639.38,131.04,21.083,2.456,44.0,0.0,0.0,0.0,2816.593,298.45,140.251,28.193,-9.2,1.7e-07
312,BANAL-20-52-N,CXCL8,BANAL-20-52-N__CXCL8,9,./results/BANAL-20-52-N__CXCL8/run1/structures/it1/water/BANAL-20-52-N__CXCL8_167w.pdb,4,-106.23,20.17,-74.88,17.94,-313.54,62.15,2789.36,184.19,24.077,3.928,47.5,0.0,0.0,0.0,2688.415,289.64,165.428,35.048,-12.2,1.1e-09
313,BANAL-20-52-N,CCL2,BANAL-20-52-N__CCL2,6,./results/BANAL-20-52-N__CCL2/run1/structures/it1/water/BANAL-20-52-N__CCL2_80w.pdb,4,-106.01,2.89,-82.17,1.28,-238.39,16.14,2791.64,97.6,26.392,1.891,46.5,0.0,0.0,0.0,2736.267,139.526,175.704,10.88,-12.4,7.6e-10
314,SARS-CoV-2-BA.4-N,TNFbeta,SARS-CoV-2-BA.4-N__TNFbeta,6,./results/SARS-CoV-2-BA.4-N__TNFbeta/run1/structures/it1/water/SARS-CoV-2-BA.4-N__TNFbeta_63w.pdb,3,-117.86,14.5,-76.37,10.93,-414.84,44.53,3305.85,129.89,18.768,2.576,57.0,0.0,0.0,0.0,3303.827,155.587,190.01,32.903,-14.8,1.3e-11
315,SARS-CoV-2-P.1-N,CCL4,SARS-CoV-2-P.1-N__CCL4,6,./results/SARS-CoV-2-P.1-N__CCL4/run1/structures/it1/water/SARS-CoV-2-P.1-N__CCL4_24w.pdb,6,-101.17,6.8,-71.3,7.82,-298.66,25.64,2913.17,206.97,-0.417,2.971,46.67,0.0,0.0,0.0,2337.26,179.376,159.863,27.789,-13.6,1e-10
316,SARS-CoV-2-BA.4-N,CXCL10,SARS-CoV-2-BA.4-N__CXCL10,3,./results/SARS-CoV-2-BA.4-N__CXCL10/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL10_38w.pdb,4,-96.98,9.97,-61.25,7.87,-357.32,28.13,2834.55,145.32,18.891,1.271,46.0,0.0,0.0,0.0,2485.345,146.734,169.632,23.186,-10.0,4.5e-08
317,SARS-CoV-2-B.1.617.2-DeltaA-N,IFNbeta,SARS-CoV-2-B.1.617.2-DeltaA-N__IFNbeta,4,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IFNbeta/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IFNbeta_124w.pdb,5,-69.46,5.81,-45.25,5.09,-242.08,13.09,3109.79,149.19,20.102,1.351,53.6,0.0,0.0,0.0,2199.986,13.04,237.415,15.197,-10.7,1.3e-08
318,SARS-CoV-2-BA.1.1-N,CCL27,SARS-CoV-2-BA.1.1-N__CCL27,1,./results/SARS-CoV-2-BA.1.1-N__CCL27/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL27_26w.pdb,7,-110.57,11.87,-84.0,12.99,-265.74,40.51,2899.51,160.19,16.221,5.136,51.57,0.0,0.0,0.0,2732.899,166.101,169.026,26.276,-14.3,3.3e-11
319,SARS-CoV-2-B.1.1.7-N,CXCL10,SARS-CoV-2-B.1.1.7-N__CXCL10,1,./results/SARS-CoV-2-B.1.1.7-N__CXCL10/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CXCL10_161w.pdb,8,-86.63,8.77,-61.37,7.36,-252.6,35.09,2799.63,177.15,16.699,2.858,45.88,0.0,0.0,0.0,2385.52,189.178,184.769,21.686,-13.7,8.4e-11
320,SARS-CoV-2-XBB-N,CXCL7,SARS-CoV-2-XBB-N__CXCL7,3,./results/SARS-CoV-2-XBB-N__CXCL7/run1/structures/it1/water/SARS-CoV-2-XBB-N__CXCL7_187w.pdb,5,-93.0,15.12,-60.04,10.43,-329.63,49.99,2830.54,191.75,21.185,2.699,48.8,0.0,0.0,0.0,2328.096,145.54,178.273,17.621,-10.5,1.9e-08
321,SARS-CoV-2-BA.1.1-N,CCL22,SARS-CoV-2-BA.1.1-N__CCL22,4,./results/SARS-CoV-2-BA.1.1-N__CCL22/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL22_180w.pdb,4,-105.22,10.7,-75.78,6.5,-294.38,46.5,2887.82,183.54,17.59,3.425,49.5,0.0,0.0,0.0,2641.588,120.803,171.719,26.192,-14.1,4.2e-11
322,BANAL-20-52-N,CCL4,BANAL-20-52-N__CCL4,3,./results/BANAL-20-52-N__CCL4/run1/structures/it1/water/BANAL-20-52-N__CCL4_24w.pdb,4,-111.3,10.66,-86.66,8.83,-246.36,34.99,3106.3,201.4,-5.941,2.559,48.25,0.0,0.0,0.0,2551.525,126.785,168.754,22.107,-12.3,8.8e-10
323,SARS-CoV-2-WA1-N,CCL25,SARS-CoV-2-WA1-N__CCL25,1,./results/SARS-CoV-2-WA1-N__CCL25/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL25_106w.pdb,4,-79.0,6.24,-68.21,4.01,-107.88,40.65,3326.06,540.11,-4.193,5.9,47.25,0.0,0.0,0.0,2166.025,126.758,238.628,43.283,-12.4,7.4e-10
324,SARS-CoV-2-BA.2-N,CXCL5,SARS-CoV-2-BA.2-N__CXCL5,9,./results/SARS-CoV-2-BA.2-N__CXCL5/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CXCL5_93w.pdb,4,-109.37,5.18,-84.19,7.89,-251.77,39.59,2506.13,226.36,19.139,1.871,39.25,0.0,0.0,0.0,2797.885,138.623,135.204,28.455,-13.1,2.3e-10
325,SARS-CoV-2-BA.2-N,CCL4,SARS-CoV-2-BA.2-N__CCL4,2,./results/SARS-CoV-2-BA.2-N__CCL4/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL4_25w.pdb,4,-82.89,8.91,-58.97,9.3,-239.16,43.69,2778.91,238.33,10.91,3.883,45.0,0.0,0.0,0.0,2138.533,160.235,181.996,29.006,-11.0,8.1e-09
326,SARS-CoV-N,CCL19,SARS-CoV-N__CCL19,3,./results/SARS-CoV-N__CCL19/run1/structures/it1/water/SARS-CoV-N__CCL19_51w.pdb,8,-81.92,11.91,-56.33,7.62,-255.84,54.78,2837.89,211.41,14.683,3.894,48.75,0.0,0.0,0.0,2327.051,145.201,190.973,26.552,-10.6,1.8e-08
327,SARS-CoV-2-B.1.1-N,CXCL14,SARS-CoV-2-B.1.1-N__CXCL14,1,./results/SARS-CoV-2-B.1.1-N__CXCL14/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CXCL14_50w.pdb,8,-102.77,9.62,-68.26,9.6,-345.15,51.96,2933.92,164.89,22.755,4.752,49.0,0.0,0.0,0.0,2824.452,267.799,178.859,23.413,-12.8,4e-10
328,SARS-CoV-2-BA.4-N,CXCL12alpha,SARS-CoV-2-BA.4-N__CXCL12alpha,2,./results/SARS-CoV-2-BA.4-N__CXCL12alpha/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL12alpha_184w.pdb,11,-121.69,10.02,-87.01,7.36,-346.8,76.98,2759.74,230.08,8.344,4.02,47.91,0.0,0.0,0.0,2839.051,139.73,127.947,21.138,-12.1,1.4e-09
329,SARS-CoV-2-BQ.1-N,CX3CL1,SARS-CoV-2-BQ.1-N__CX3CL1,1,./results/SARS-CoV-2-BQ.1-N__CX3CL1/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CX3CL1_73w.pdb,3,-78.63,3.11,-64.83,1.54,-138.01,19.7,5940.04,206.7,-3.821,2.31,94.33,0.0,0.0,0.0,2860.723,52.847,497.751,18.396,-10.6,1.7e-08
330,SARS-CoV-2-B.1.1.7-N,IL-17a,SARS-CoV-2-B.1.1.7-N__IL-17a,1,./results/SARS-CoV-2-B.1.1.7-N__IL-17a/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__IL-17a_168w.pdb,5,-112.27,12.09,-85.01,8.86,-272.6,44.42,3261.26,354.42,-13.297,3.371,58.2,0.0,0.0,0.0,3062.312,285.247,173.298,41.029,-14.8,1.4e-11
331,BANAL-20-52-N,CXCL14,BANAL-20-52-N__CXCL14,3,./results/BANAL-20-52-N__CXCL14/run1/structures/it1/water/BANAL-20-52-N__CXCL14_35w.pdb,8,-105.08,8.7,-70.06,10.69,-350.15,72.99,2763.98,229.1,20.611,5.508,47.75,0.0,0.0,0.0,2771.521,153.612,156.914,25.443,-13.7,8.3e-11
332,SARS-CoV-2-WA1-N,CCL7,SARS-CoV-2-WA1-N__CCL7,3,./results/SARS-CoV-2-WA1-N__CCL7/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL7_16w.pdb,7,-111.56,11.72,-74.8,8.77,-367.58,104.31,2692.88,147.52,20.514,6.666,47.43,0.0,0.0,0.0,2717.65,158.483,141.481,16.169,-13.2,2.1e-10
333,SARS-CoV-2-B.1.1.529-N,CCL7,SARS-CoV-2-B.1.1.529-N__CCL7,1,./results/SARS-CoV-2-B.1.1.529-N__CCL7/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__CCL7_193w.pdb,7,-91.37,5.68,-73.55,6.44,-178.19,51.45,2802.32,202.63,2.923,4.302,47.86,0.0,0.0,0.0,2709.217,145.284,169.052,31.414,-13.2,2.2e-10
334,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL7,SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL7,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL7/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL7_32w.pdb,7,-137.82,13.33,-83.45,11.77,-543.65,42.39,2863.23,315.13,34.505,1.917,54.29,0.0,0.0,0.0,3604.97,204.314,128.643,40.762,-13.8,7.2e-11
335,SARS-CoV-2-BA.4-N,CCL22,SARS-CoV-2-BA.4-N__CCL22,8,./results/SARS-CoV-2-BA.4-N__CCL22/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL22_122w.pdb,5,-99.25,8.02,-70.53,7.71,-287.17,15.9,2837.28,166.07,4.054,3.508,47.8,0.0,0.0,0.0,2265.658,108.903,159.82,11.393,-11.9,1.9e-09
336,SARS-CoV-2-B.1.351-N,CXCL14,SARS-CoV-2-B.1.351-N__CXCL14,5,./results/SARS-CoV-2-B.1.351-N__CXCL14/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CXCL14_27w.pdb,6,-113.76,9.87,-68.86,9.63,-448.95,24.63,2666.25,121.21,8.259,2.572,46.67,0.0,0.0,0.0,2843.19,154.837,116.232,13.62,-13.3,1.7e-10
337,SARS-CoV-2-XBB-N,IFNgamma,SARS-CoV-2-XBB-N__IFNgamma,1,./results/SARS-CoV-2-XBB-N__IFNgamma/run1/structures/it1/water/SARS-CoV-2-XBB-N__IFNgamma_134w.pdb,6,-73.62,1.5,-38.29,2.89,-353.28,26.59,3126.67,230.46,30.932,2.923,55.67,0.0,0.0,0.0,2024.78,59.256,234.652,23.393,-9.7,7.5e-08
338,SARS-CoV-2-B.1.1.529-N,IL-1alpha,SARS-CoV-2-B.1.1.529-N__IL-1alpha,8,./results/SARS-CoV-2-B.1.1.529-N__IL-1alpha/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IL-1alpha_26w.pdb,4,-92.62,15.92,-67.85,12.87,-247.73,40.63,3006.84,216.82,6.049,1.84,48.75,0.0,0.0,0.0,2364.485,183.455,189.338,36.284,-14.9,1.2e-11
339,MERS-CoV-N,CCL28,MERS-CoV-N__CCL28,2,./results/MERS-CoV-N__CCL28/run1/structures/it1/water/MERS-CoV-N__CCL28_93w.pdb,4,-89.98,4.44,-63.2,7.66,-267.74,35.97,3176.28,189.35,-6.783,7.114,49.5,0.0,0.0,0.0,2776.892,76.279,194.095,13.291,-11.4,4.7e-09
340,MERS-CoV-N,CXCL14,MERS-CoV-N__CXCL14,9,./results/MERS-CoV-N__CXCL14/run1/structures/it1/water/MERS-CoV-N__CXCL14_57w.pdb,5,-87.89,7.64,-70.18,7.08,-177.07,33.43,3027.21,184.35,4.508,6.372,45.4,0.0,0.0,0.0,2484.5,158.826,201.636,17.997,-12.5,6.7e-10
341,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL4,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL4,6,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL4/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL4_134w.pdb,4,-85.22,10.35,-66.2,8.62,-190.18,63.15,3268.17,25.64,-6.114,5.015,48.5,0.0,0.0,0.0,2114.998,144.806,216.462,14.815,-10.5,1.9e-08
342,BANAL-20-52-N,CXCL10,BANAL-20-52-N__CXCL10,1,./results/BANAL-20-52-N__CXCL10/run1/structures/it1/water/BANAL-20-52-N__CXCL10_80w.pdb,11,-105.91,12.1,-73.84,8.32,-320.74,56.3,2597.13,129.22,19.78,5.127,47.36,0.0,0.0,0.0,2674.463,157.777,141.509,20.314,-13.7,8.9e-11
343,SARS-CoV-2-B.1.1-N,CXCL13,SARS-CoV-2-B.1.1-N__CXCL13,1,./results/SARS-CoV-2-B.1.1-N__CXCL13/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CXCL13_136w.pdb,6,-101.21,9.7,-64.57,11.07,-366.43,51.01,2924.57,148.9,12.784,3.204,49.0,0.0,0.0,0.0,2637.908,209.111,167.388,14.594,-13.7,8.7e-11
344,SARS-CoV-N,CCL25,SARS-CoV-N__CCL25,1,./results/SARS-CoV-N__CCL25/run1/structures/it1/water/SARS-CoV-N__CCL25_14w.pdb,6,-95.13,10.35,-59.31,9.55,-358.17,10.07,3385.68,287.13,-1.003,6.435,55.83,0.0,0.0,0.0,2924.333,98.012,206.619,35.617,-12.2,1.1e-09
345,SARS-CoV-2-B.1.1.529-N,IL-18,SARS-CoV-2-B.1.1.529-N__IL-18,5,./results/SARS-CoV-2-B.1.1.529-N__IL-18/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IL-18_68w.pdb,4,-88.99,17.09,-71.53,15.51,-174.63,28.0,3373.66,153.91,15.125,2.53,58.0,0.0,0.0,0.0,2207.855,234.78,246.034,29.734,-14.1,4.3e-11
346,SARS-CoV-2-P.1-N,CX3CL1,SARS-CoV-2-P.1-N__CX3CL1,10,./results/SARS-CoV-2-P.1-N__CX3CL1/run1/structures/it1/water/SARS-CoV-2-P.1-N__CX3CL1_198w.pdb,2,-98.08,8.78,-63.58,1.49,-344.95,72.88,5758.62,398.6,18.04,0.797,86.0,0.0,0.0,0.0,2659.345,104.815,461.33,24.589,-12.7,4.6e-10
347,BANAL-20-52-N,CCL17,BANAL-20-52-N__CCL17,2,./results/BANAL-20-52-N__CCL17/run1/structures/it1/water/BANAL-20-52-N__CCL17_9w.pdb,4,-89.19,9.1,-61.16,10.14,-280.24,16.63,2604.37,295.87,17.047,4.719,42.75,0.0,0.0,0.0,2234.173,213.174,160.271,37.613,-11.5,3.7e-09
348,SARS-CoV-2-B.1.1.7-N,CCL8,SARS-CoV-2-B.1.1.7-N__CCL8,2,./results/SARS-CoV-2-B.1.1.7-N__CCL8/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL8_152w.pdb,5,-73.88,4.49,-65.63,1.86,-82.44,31.93,3250.06,165.28,-3.56,1.245,51.8,0.0,0.0,0.0,1895.132,45.183,239.324,14.019,-10.2,3.1e-08
349,SARS-CoV-2-P.1-N,CCL7,SARS-CoV-2-P.1-N__CCL7,5,./results/SARS-CoV-2-P.1-N__CCL7/run1/structures/it1/water/SARS-CoV-2-P.1-N__CCL7_111w.pdb,5,-101.72,3.75,-63.67,3.31,-380.47,36.67,2943.92,30.58,29.452,1.677,47.6,0.0,0.0,0.0,2729.476,117.102,184.078,6.183,-11.2,6.2e-09
350,SARS-CoV-N,CXCL2,SARS-CoV-N__CXCL2,1,./results/SARS-CoV-N__CXCL2/run1/structures/it1/water/SARS-CoV-N__CXCL2_1w.pdb,4,-93.8,6.78,-74.08,8.58,-197.18,27.43,2897.91,278.0,13.72,3.606,44.25,0.0,0.0,0.0,2714.035,158.243,189.997,32.414,-12.8,3.9e-10
351,RaTG13-N,CXCL7,RaTG13-N__CXCL7,1,./results/RaTG13-N__CXCL7/run1/structures/it1/water/RaTG13-N__CXCL7_23w.pdb,16,-90.93,8.88,-65.98,9.07,-249.5,46.42,2911.53,156.07,24.93,2.925,52.12,0.0,0.0,0.0,2597.776,230.054,200.2,18.874,-12.1,1.3e-09
352,SARS-CoV-2-BQ.1-N,CCL15,SARS-CoV-2-BQ.1-N__CCL15,3,./results/SARS-CoV-2-BQ.1-N__CCL15/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CCL15_102w.pdb,6,-104.58,6.71,-69.88,4.84,-346.95,35.37,3273.26,90.95,22.919,3.531,50.33,0.0,0.0,0.0,2863.862,105.711,210.976,11.024,-13.4,1.6e-10
353,RaTG13-N,IL-18,RaTG13-N__IL-18,5,./results/RaTG13-N__IL-18/run1/structures/it1/water/RaTG13-N__IL-18_125w.pdb,4,-97.31,11.69,-65.19,6.37,-321.24,74.33,2979.14,206.32,30.987,1.992,51.75,0.0,0.0,0.0,2709.362,235.855,199.462,33.394,-13.5,1.3e-10
354,MERS-CoV-N,IL-10,MERS-CoV-N__IL-10,5,./results/MERS-CoV-N__IL-10/run1/structures/it1/water/MERS-CoV-N__IL-10_13w.pdb,4,-86.78,7.87,-74.33,9.3,-124.5,37.82,3080.93,231.17,7.611,2.114,47.75,0.0,0.0,0.0,2160.223,91.8,216.468,32.917,-13.0,3.1e-10
355,SARS-CoV-2-P.1-N,IL-18BP,SARS-CoV-2-P.1-N__IL-18BP,3,./results/SARS-CoV-2-P.1-N__IL-18BP/run1/structures/it1/water/SARS-CoV-2-P.1-N__IL-18BP_61w.pdb,4,-90.62,10.93,-58.52,8.45,-320.91,27.25,3121.8,98.28,20.106,1.399,54.0,0.0,0.0,0.0,2338.625,340.811,209.579,14.029,-12.4,7.7e-10
356,SARS-CoV-2-B.1.351-N,CCL2,SARS-CoV-2-B.1.351-N__CCL2,5,./results/SARS-CoV-2-B.1.351-N__CCL2/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__CCL2_197w.pdb,6,-111.82,11.66,-79.29,11.0,-325.28,33.69,2596.48,146.95,22.003,3.451,44.67,0.0,0.0,0.0,3155.187,173.137,137.307,23.149,-11.1,7.2e-09
357,OC43-N,CCL25,OC43-N__CCL25,1,./results/OC43-N__CCL25/run1/structures/it1/water/OC43-N__CCL25_155w.pdb,6,-129.97,7.03,-90.38,5.53,-395.88,30.28,3642.76,71.39,-10.402,4.662,59.17,0.0,0.0,0.0,3520.183,196.737,184.318,13.431,-15.5,4.5e-12
358,SARS-CoV-2-BQ.1-N,IL-6,SARS-CoV-2-BQ.1-N__IL-6,2,./results/SARS-CoV-2-BQ.1-N__IL-6/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__IL-6_154w.pdb,4,-117.18,9.28,-62.02,8.18,-551.62,12.11,3731.21,123.58,38.296,3.224,66.25,0.0,0.0,0.0,3145.56,67.176,239.079,8.593,-13.2,2.1e-10
