experiment_name,n_protein,cytokine_protein,haddock_best_cluster,haddock_best_pdb_path,haddock_Nstruc,haddock_Evdw+0.1Eelec,haddock_Evdw+0.1Eelec_sd,haddock_Evdw,haddock_Evdw_sd,haddock_Eelec,haddock_Eelec_sd,haddock_Eair,Eair_sd,haddock_Edesolv,haddock_Edesolv_sd,haddock_AIRviol,haddock_AIRviol_sd,haddock_dihedviol,haddock_dihedviol_sd,haddock_BSA,haddock_BSA_sd,haddock-score,haddock-score_sd,haddock_prodigy_deltaG_kcalpermol,haddock_prodigy_dissociation_constant_M,haddock_foldx_intraclashes_group1,haddock_foldx_intraclashes_group2,haddock_foldx_deltaG_kcalpermol,haddock_foldx_stability_group1,haddock_foldx_stability_group2,cytokine_class,dist_from_SARS-CoV-2-WA1-N_A,af2_experiment_name,af2_best_model_pred,af2_iptm+ptm,af2_gdock,af2_total_score,af2_negative_energy,af2_Group1,af2_Group2,af2_IntraclashesGroup1,af2_IntraclashesGroup2,af2_foldx_dG,af2_Backbone Hbond,af2_Sidechain Hbond,af2_Van der Waals,af2_Electrostatics,af2_Solvation Polar,af2_Solvation Hydrophobic,af2_Van der Waals clashes,af2_entropy sidechain,af2_entropy mainchain,af2_sloop_entropy,af2_mloop_entropy,af2_cis_bond,af2_torsional clash,af2_backbone clash,af2_helix dipole,af2_water bridge,af2_disulfide,af2_electrostatic kon,af2_partial covalent bonds,af2_energy Ionisation,af2_Entropy Complex,af2_Number of Residues,af2_Interface Residues,af2_Interface Residues Clashing,af2_Interface Residues VdW Clashing,af2_Interface Residues BB Clashing,af2_wet_hit,af2_best_pdb_path,af2_prodigy_deltaG_kcalpermol,af2_prodigy_dissociation_constant_M,wa1_wet_hit,oc43_wet_hit,wet_hit
SARS-CoV-2-B.1.1.529-N__IL-35,SARS-CoV-2-B.1.1.529-N,IL-35,1,./results/SARS-CoV-2-B.1.1.529-N__IL-35/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IL-35_152w.pdb,5,-92.72,2.54,-60.57,2.86,-321.49,11.49,4175.15,80.81,32.23,1.255,72.2,0,0,0,2608.774,51.97,324.88,7.761,-11.5,3.8e-9,29.2794,23.5394,-7.59304,271.314,1.65829,Interleukin,0.08492077756084468,SARS-CoV-2-B.1.1.529-N__IL-35,model_1_multimer_v3_pred_1,0.627755742,0.98353054691642,1.61128628910946,TRUE,A,B,67.7432,5.95669,-34.1326,-3.97831,-12.8166,-35.8288,-2.08462,36.8787,-53.9438,8.54156,22.7276,5.93616,0,0,0,0.798233,11.0183,0.0463782,0,0,-0.489138,0,0.0800181,2.384,732,85,1,1,0,FALSE,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IL-35_relaxed_model_1_multimer_v3_pred_1.pdb,-24.5,1e-18,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-B.1.617.2-DeltaA-N__CCL26,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL26,3,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL26/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL26_91w.pdb,4,-69.4,9.95,-60.81,11.33,-85.9,24.79,2943.8,119.08,8.536,3.002,43.5,0,0,0,2155.865,156.485,224.928,16.479,-12.1,1.4e-9,29.9403,6.87877,-7.58424,277.368,18.9463,β-Chemokine,0.08461621909897774,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL26,model_3_multimer_v3_pred_0,0.190262876,0.946797677216001,1.13706055356226,FALSE,A,B,29.6181,3.63104,10.9681,-4.33552,-8.14872,-32.6076,-1.06036,47.5833,-41.4011,17.1916,15.4846,17.0294,0,0,0,1.58619,16.0256,-0.0822497,0,8.88e-16,-0.324312,0,0.0527988,2.384,490,49,11,6,6,TRUE,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL26_relaxed_model_3_multimer_v3_pred_0.pdb,-17,3.5e-13,TRUE,TRUE,SARS-CoV-2 Wet Hit
SARS-CoV-2-BQ.1-N__CXCL1,SARS-CoV-2-BQ.1-N,CXCL1,4,./results/SARS-CoV-2-BQ.1-N__CXCL1/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__CXCL1_150w.pdb,6,-86.2,8.07,-74.21,7.04,-119.92,19.63,3151.8,84.06,5.183,3.736,48.83,0,0,0,2463.14,96.827,222.172,11.053,-12.6,5.5e-10,25.5395,4.80717,-7.55314,253.546,22.8276,α-Chemokine,0.10963225241337865,SARS-CoV-2-BQ.1-N__CXCL1,model_3_multimer_v3_pred_0,0.334029438,0.977721084383221,1.31175052217389,TRUE,A,B,23.6928,4.64995,-9.35272,-6.31888,-3.83574,-10.9779,-0.432226,14.3794,-14.0213,0.167963,5.25748,6.20169,0,0,0,0.361327,0.563677,0.0775345,0,0,-0.243052,0,0.0308979,2.384,489,34,0,0,0,FALSE,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CXCL1_relaxed_model_3_multimer_v3_pred_0.pdb,-8.8,3.5e-7,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-P.1-N__CCL28,SARS-CoV-2-P.1-N,CCL28,24,./results/SARS-CoV-2-P.1-N__CCL28/run1/structures/it1/water/SARS-CoV-2-P.1-N__CCL28_15w.pdb,2,-157.97,5.51,-89.48,6.2,-684.92,6.85,2997.11,238.26,29.215,2.021,54,0,0,0,3515.005,46.335,102.465,26.631,-16.6,6.2e-13,28.2104,9.16514,-7.55182,288.203,51.0653,β-Chemokine,0.08461621909897774,SARS-CoV-2-P.1-N__CCL28,model_2_multimer_v3_pred_3,0.195556919,0.927975167632834,1.12353208690551,FALSE,A,B,22.5778,4.47682,12.9833,-3.61959,-10.1873,-20.0554,-1.86071,31.6328,-24.8228,18.7225,11.4013,10.6291,0,0,0,1.95112,7.98047,-0.0902744,0,1.78e-15,-0.801172,0,0.0837166,2.384,527,55,9,7,3,TRUE,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL28_relaxed_model_2_multimer_v3_pred_3.pdb,-15.5,4.1e-12,TRUE,TRUE,SARS-CoV-2 Wet Hit
MERS-CoV-N__CCL16,MERS-CoV-N,CCL16,3,./results/MERS-CoV-N__CCL16/run1/structures/it1/water/MERS-CoV-N__CCL16_64w.pdb,8,-100.65,5.82,-85.51,5.74,-151.4,22.12,3308.1,198.16,-10.285,2.412,49.5,0,0,0,2805.559,124.524,204.734,19.111,-11.4,4.3e-9,37.25,4.28716,-7.533,307.707,37.3356,β-Chemokine,0.6914016023344134,MERS-CoV-N__CCL16,model_3_multimer_v3_pred_2,0.184581637,0.957805597504583,1.14238723496649,TRUE,A,B,29.7182,20.6002,-8.76882,-3.05518,-4.12248,-18.621,-1.85759,25.2055,-25.5144,9.83877,5.48939,3.67343,0,0,0,0.499786,6.00609,0.135439,0,-8.88e-16,-0.440492,0,4.86e-17,2.384,508,57,3,3,0,FALSE,./best_AF2_and_GDock/MERS-CoV-N_CCL16_relaxed_model_3_multimer_v3_pred_2.pdb,-14.3,3.4e-11,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-BA.1.1-N__IFNlambda1,SARS-CoV-2-BA.1.1-N,IFNlambda1,1,./results/SARS-CoV-2-BA.1.1-N__IFNlambda1/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__IFNlambda1_78w.pdb,5,-101.1,3.02,-46,3.81,-551.03,8.57,3633.13,193.51,15.791,1.056,61,0,0,0,2768.876,35.787,222.901,19.512,-12.2,1.1e-9,26.25,9.21792,-7.52377,287.757,29.3938,Interferon,0.09805806756909202,SARS-CoV-2-BA.1.1-N__IFNlambda1,model_3_multimer_v3_pred_1,0.183341993,0.950622715293489,1.1339647082171,TRUE,A,B,25.6321,4.15525,-4.9310600000000004,-2.68573,-2.24115,-16.7169,-1.67507,24.4121,-22.7177,4.3175,5.70435,5.3354799999999996,0,0,0,1.33631,5.28174,0.0949975,0,0,-0.0952699,0,1.11e-16,2.384,597,50,1,1,0,FALSE,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IFNlambda1_relaxed_model_3_multimer_v3_pred_1.pdb,-10.8,1.2e-8,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-B.1.1.7-N__CCL20,SARS-CoV-2-B.1.1.7-N,CCL20,6,./results/SARS-CoV-2-B.1.1.7-N__CCL20/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__CCL20_194w.pdb,4,-88.09,11.47,-69.06,11.95,-190.25,41.29,3029.93,101.1,-5.886,4.886,48,0,0,0,2012.087,163.723,189.992,20.038,-10.7,1.5e-8,21.9478,3.47216,-7.51433,254.339,20.9166,β-Chemokine,0.09770639374920631,SARS-CoV-2-B.1.1.7-N__CCL20,model_1_multimer_v3_pred_1,0.299074433,0.919770202106974,1.21884463526753,TRUE,A,B,15.2572,7.04892,-3.37436,-1.41574,-5.77786,-16.9662,-2.97658,24.9743,-20.8802,6.71631,9.41125,4.41466,0,0,0,0.323094,9.64727,0.505621,0,0,-1.703,0,0,2.384,489,62,3,0,3,FALSE,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL20_relaxed_model_1_multimer_v3_pred_1.pdb,-12,1.6e-9,FALSE,TRUE,HCoV-OC43 Wet Hit
SARS-CoV-2-B.1.617.2-DeltaA-N__IFNomega,SARS-CoV-2-B.1.617.2-DeltaA-N,IFNomega,3,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__IFNomega/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__IFNomega_29w.pdb,4,-88.7,14.9,-64.2,14.11,-245.03,28.37,3086.1,333.44,14.117,7.62,52.5,0,0,0,2441.002,364.59,209.52,43.008,-12.3,9.2e-10,31.2332,12.9257,-7.49542,270.464,8.86111,Interferon,0.08461621909897774,SARS-CoV-2-B.1.617.2-DeltaA-N__IFNomega,model_1_multimer_v3_pred_0,0.351100896,0.990933889161615,1.34203478498934,FALSE,A,B,57.5913,16.5041,11.6349,-4.58841,-6.66001,-40.8524,-5.26536,47.5752,-59.4877,50.1019,20.4259,9.60624,0,0,0,2.09242,11.1712,-0.276055,0,0,-1.14625,0,0.109393,2.384,593,93,17,17,0,FALSE,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IFNomega_relaxed_model_1_multimer_v3_pred_0.pdb,-16.1,1.7e-12,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-BA.2-N__CXCL5,SARS-CoV-2-BA.2-N,CXCL5,9,./results/SARS-CoV-2-BA.2-N__CXCL5/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CXCL5_93w.pdb,4,-109.37,5.18,-84.19,7.89,-251.77,39.59,2506.13,226.36,19.139,1.871,39.25,0,0,0,2797.885,138.623,135.204,28.455,-13.1,2.3e-10,23.9399,5.8104,-7.48572,274.792,44.9819,α-Chemokine,0.09805806756909202,SARS-CoV-2-BA.2-N__CXCL5,model_3_multimer_v3_pred_4,0.264235869,0.972078859127312,1.23631472772265,TRUE,A,B,30.08,4.7066,-5.83345,-2.29236,-6.46695,-17.6891,0.0435666,25.3263,-25.0068,3.23738,10.6058,6.18985,0,0,0,0.270026,5.7115,-0.0368098,0,0,-0.0143552,0,-6.25e-17,2.384,493,58,1,0,1,FALSE,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CXCL5_relaxed_model_3_multimer_v3_pred_4.pdb,-9,2.4e-7,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-BA.2-N__CCL1,SARS-CoV-2-BA.2-N,CCL1,2,./results/SARS-CoV-2-BA.2-N__CCL1/run1/structures/it1/water/SARS-CoV-2-BA.2-N__CCL1_148w.pdb,7,-92.6,14.2,-72.84,13.47,-197.59,29.98,2842.8,154.19,-5.369,7.011,47.86,0,0,0,2419.224,260.379,166.551,26.319,-12.4,8.3e-10,26.9301,4.78701,-7.48195,224.981,33.7876,β-Chemokine,0.09805806756909202,SARS-CoV-2-BA.2-N__CCL1,model_5_multimer_v3_pred_4,0.169032535,0.955878559004274,1.12491109434383,FALSE,A,B,40.388,16.0786,22.3437,-2.57782,-3.88377,-15.5346,-0.232403,23.0503,-20.5328,27.8971,5.52299,6.39554,0,0,0,2.364,20.3564,2.22e-16,0,-1.78e-15,-0.124769,0,5.55e-17,2.384,489,40,13,10,6,FALSE,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL1_relaxed_model_5_multimer_v3_pred_4.pdb,-11.1,6.8e-9,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-B.1.617.2-DeltaA-N__CCL7,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL7,3,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL7/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL7_79w.pdb,4,-71.78,17.2,-42.82,6.36,-289.66,130.73,3246.61,57.16,19.755,7.693,51.25,0,0,0,2154.387,371.461,243.668,25.632,-12.1,1.4e-9,27.6145,4.2491,-7.47231,282.364,27.523,β-Chemokine,0.08461621909897774,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL7,model_3_multimer_v3_pred_3,0.202036566,0.967898273057212,1.16993483903458,FALSE,A,B,24.4132,2.78385,11.3461,-0.947743,-4.59671,-19.2302,-0.749364,30.5876,-24.2275,10.3859,7.76592,8.2058,0,0,1.3973,2.90939,13.9928,-0.050821,0,0,-0.103479,0,0,2.384,495,33,7,3,4,FALSE,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL7_relaxed_model_3_multimer_v3_pred_3.pdb,-9.9,5.4e-8,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-WA1-N__IFNgamma,SARS-CoV-2-WA1-N,IFNgamma,3,./results/SARS-CoV-2-WA1-N__IFNgamma/run1/structures/it1/water/SARS-CoV-2-WA1-N__IFNgamma_14w.pdb,6,-76.13,4.25,-66.93,5.86,-91.96,20.95,3293.52,194.15,-9.349,4.3,54.33,0,0,0,2186.655,24.515,234.677,17.444,-10.6,1.6e-8,21.9005,8.07577,-7.45445,245.096,79.471,Interferon,0,SARS-CoV-2-WA1-N__IFNgamma,model_1_multimer_v3_pred_1,0.297147327,0.633218031414274,0.930365358592069,FALSE,A,B,15.5895,5.34393,6.91561,-5.74217,-12.9578,-15.7014,-1.06821,30.8495,-17.4837,11.1237,12.9518,5.23231,0,0,0,0.17405,8.30166,-0.0927955,0,0,-0.369672,0,0,2.384,562,47,4,2,3,FALSE,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IFNgamma_relaxed_model_1_multimer_v3_pred_1.pdb,-7,7.9e-6,FALSE,FALSE,Not Wet Hit
RaTG13-N__IFNA2,RaTG13-N,IFNA2,1,./results/RaTG13-N__IFNA2/run1/structures/it1/water/RaTG13-N__IFNA2_83w.pdb,6,-123.13,9.05,-85.3,10.83,-378.32,53.96,3083,171.9,17.132,3.482,56.5,0,0,0,3142.363,146.135,164.47,25.237,-12.5,6.7e-10,32.8089,13.0134,-7.45237,274.464,2.43118,Interferon,0.09770639374920631,RaTG13-N__IFNA2,model_1_multimer_v3_pred_4,0.299602293,0.982872368526555,1.28247466106979,TRUE,A,B,26.1081,16.7391,-29.1588,-4.80318,-14.8993,-50.5952,-4.88139,68.9004,-71.054,7.65279,26.3626,13.2816,0,0,0,2.05522,34.4537,0.410571,0,0,-1.64937,0,0.0604744,2.384,584,130,14,1,14,FALSE,./best_AF2_and_GDock/RaTG13-N_IFNA2_relaxed_model_1_multimer_v3_pred_4.pdb,-20.8,5.4e-16,FALSE,FALSE,Not Wet Hit
OC43-N__CCL15,OC43-N,CCL15,10,./results/OC43-N__CCL15/run1/structures/it1/water/OC43-N__CCL15_181w.pdb,6,-104.59,9.74,-70.14,8.16,-344.51,96.34,3205.83,115.95,-4.975,5.491,53.67,0,0,0,3029.937,109.348,176.572,11.657,-13.1,2.3e-10,32.0596,4.01222,-7.4177,286.135,36.3231,β-Chemokine,0.7985957062499249,OC43-N__CCL15,model_3_multimer_v3_pred_2,0.30829782,0.903482569194216,1.21178038888963,FALSE,A,B,43.4819,6.31153,3.67198,-7.51851,-15.2823,-35.5655,-1.60035,56.4125,-45.6792,11.3532,23.1859,18.7564,0,0,0,0.293054,10.9609,-0.0310122,0,0,-0.652319,0,4.86e-17,2.384,540,89,6,3,3,FALSE,./best_AF2_and_GDock/OC43-N_CCL15_relaxed_model_3_multimer_v3_pred_2.pdb,-15.1,8.4e-12,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-B.1.1-N__IL-23,SARS-CoV-2-B.1.1-N,IL-23,12,./results/SARS-CoV-2-B.1.1-N__IL-23/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__IL-23_58w.pdb,2,-142.78,0.48,-73.01,0.26,-697.73,2.17,5048.3,13.3,32.621,0.35,85,0,0,0,3346.125,51.825,324.895,1.674,-13.8,7.8e-11,25.8685,38.3081,-7.3898,257.871,76.6264,Interleukin,0.06908885358534668,SARS-CoV-2-B.1.1-N__IL-23,model_3_multimer_v3_pred_0,0.473911611,0.915752207941361,1.38966381879354,TRUE,A,B,66.8473,10.1916,9.15466,-4.87397,-6.46573,-34.4934,-1.49742,46.465,-49.248,26.8899,19.1067,12.2532,0,0,0,1.36098,34.0923,-0.0444931,0,0,-0.312013,0,0.0138931,2.384,895,77,9,6,8,FALSE,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IL-23_relaxed_model_3_multimer_v3_pred_0.pdb,-29.1,4.7e-22,FALSE,FALSE,Not Wet Hit
BANAL-20-52-N__IFNomega,BANAL-20-52-N,IFNomega,1,./results/BANAL-20-52-N__IFNomega/run1/structures/it1/water/BANAL-20-52-N__IFNomega_64w.pdb,4,-81.66,11.67,-62.46,9.47,-192.01,62.65,3420.99,143.11,7.465,1.014,58.5,0,0,0,2405.023,218.62,240.699,36.915,-7.7,2.1e-6,21.9356,13.6489,-7.38404,249.155,9.25354,Interferon,0.08461621909897774,BANAL-20-52-N__IFNomega,model_1_multimer_v3_pred_0,0.297981577,0.991261259808724,1.289242837208,TRUE,A,B,38.4823,11.9816,-16.7497,-5.79908,-6.34915,-41.7539,-3.3374,49.085,-60.78,18.8011,22.186,10.6303,0,0,0,0.777084,10.9209,0.525531,0,0,-0.78221,0,0.0470626,2.384,593,90,7,7,0,FALSE,./best_AF2_and_GDock/BANAL-20-52-N_IFNomega_relaxed_model_1_multimer_v3_pred_0.pdb,-17.4,1.7e-13,FALSE,FALSE,Not Wet Hit
BANAL-20-52-N__CCL1,BANAL-20-52-N,CCL1,3,./results/BANAL-20-52-N__CCL1/run1/structures/it1/water/BANAL-20-52-N__CCL1_92w.pdb,4,-99.52,3.59,-78.27,4.94,-212.5,23.71,3078.07,159.32,7.6,2.433,51,0,0,0,2387.062,99.461,194.634,16.181,-12.4,7.5e-10,23.4138,6.10623,-7.37542,237.798,30.8769,β-Chemokine,0.08461621909897774,BANAL-20-52-N__CCL1,model_3_multimer_v3_pred_4,0.180962085,0.967668188617283,1.14863027362656,FALSE,A,B,35.0466,6.92611,17.0801,-4.77255,-7.07092,-29.5456,-2.23127,47.954,-35.0695,17.936,13.788,12.3322,0,0,0.858342,3.50017,40.752,0.0242031,0,0,-0.622966,0,5.55e-17,2.384,492,61,16,8,14,FALSE,./best_AF2_and_GDock/BANAL-20-52-N_CCL1_relaxed_model_3_multimer_v3_pred_4.pdb,-15.5,4.1e-12,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL16,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL16,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL16/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL16_3w.pdb,4,-58.01,2.63,-48.89,2.42,-91.15,18.13,3980.39,358.8,-12.724,0.716,68,0,0,0,2217.767,43.091,318.194,37.087,-10,4.9e-8,27.0766,32.1828,-7.37293,248.225,193.313,α-Chemokine,0.08461621909897774,SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL16,model_3_multimer_v3_pred_1,0.175524528,0.863121404613977,1.03864593246333,FALSE,A,B,23.0882,53.7587,40.2468,-7.97222,-14.3079,-37.2837,-3.27095,65.8947,-44.3053,40.9323,16.2177,19.2535,0,0,2.27734,3.72067,15.4876,-0.056449,0,0,-1.00388,0,0.15105,2.384,644,92,10,8,2,FALSE,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL16_relaxed_model_3_multimer_v3_pred_1.pdb,-18.8,1.6e-14,FALSE,FALSE,Not Wet Hit
RaTG13-N__IL-1alpha,RaTG13-N,IL-1alpha,1,./results/RaTG13-N__IL-1alpha/run1/structures/it1/water/RaTG13-N__IL-1alpha_30w.pdb,6,-94.81,7.06,-58.66,10.22,-361.56,33.14,3270.28,143.42,25.552,1.813,53.67,0,0,0,2491.203,101.686,221.611,19.113,-14.9,1.1e-11,33.3151,11.7836,-7.3702,283.44,22.0431,Interleukin,0.09770639374920631,RaTG13-N__IL-1alpha,model_3_multimer_v3_pred_2,0.19269508900000001,0.960013185448376,1.15270827432558,FALSE,A,B,35.6961,5.93706,4.07385,-2.42017,-4.36579,-19.0791,0.480924,25.9486,-26.1763,12.9073,6.38976,9.62605,0,0,0,0.69169,6.08531,0,0,0,0.0708811,0,0,2.384,569,51,6,4,2,FALSE,./best_AF2_and_GDock/RaTG13-N_IL-1alpha_relaxed_model_3_multimer_v3_pred_2.pdb,-12.6,6e-10,FALSE,FALSE,Not Wet Hit
SARS-CoV-N__CCL2,SARS-CoV-N,CCL2,1,./results/SARS-CoV-N__CCL2/run1/structures/it1/water/SARS-CoV-N__CCL2_1w.pdb,8,-91.7,12.18,-72.63,10.45,-190.64,33.4,2896.74,265.72,7.05,3.596,46.88,0,0,0,2596.586,110.569,185.962,38.74,-10.9,9.4e-9,29.0505,6.32408,-7.36956,274.958,20.2605,β-Chemokine,0.29716239543411815,SARS-CoV-N__CCL2,model_1_multimer_v3_pred_3,0.50339133,0.679548531034216,1.18293986075388,TRUE,A,B,10.9622,2.19099,-10.6656,-3.62873,-1.95463,-9.67899,-0.332887,10.1785,-13.8852,0.190857,4.52323,4.21775,0,0,0,0.0376027,2.94173,-0.028888,0,-8.88e-16,-0.304247,0,0,2.384,498,36,0,0,0,FALSE,./best_AF2_and_GDock/SARS-CoV-N_CCL2_relaxed_model_1_multimer_v3_pred_3.pdb,-9.1,2.2e-7,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-BA.1.1-N__CCL2,SARS-CoV-2-BA.1.1-N,CCL2,2,./results/SARS-CoV-2-BA.1.1-N__CCL2/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL2_23w.pdb,11,-79.69,7.07,-63.04,5.44,-166.5,51.74,2741.71,102.93,3.417,3.066,45.82,0,0,0,2291.332,81.325,179.38,15.388,-13,2.7e-10,24.0286,4.59537,-7.36598,262.004,16.903,β-Chemokine,0.09805806756909202,SARS-CoV-2-BA.1.1-N__CCL2,model_3_multimer_v3_pred_3,0.197371684,0.940980437334726,1.13835212146781,FALSE,A,B,29.7002,7.80809,8.86067,-4.57844,-3.24597,-29.7125,-0.642326,45.3857,-40.2486,17.8584,12.815,9.5485,0,0,0,1.62068,24.6771,0.0408293,0,8.88e-16,-0.0580207,0,0.0773679,2.384,492,61,9,3,9,FALSE,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL2_relaxed_model_3_multimer_v3_pred_3.pdb,-14.8,1.3e-11,FALSE,FALSE,Not Wet Hit
SARS-CoV-N__CXCL10,SARS-CoV-N,CXCL10,3,./results/SARS-CoV-N__CXCL10/run1/structures/it1/water/SARS-CoV-N__CXCL10_49w.pdb,5,-103.54,6.96,-61.86,4.47,-416.78,68.76,3003.5,49.55,18.699,6.077,52.2,0,0,0,2991.106,192.59,173.834,8.48,-14.6,1.8e-11,27.9594,3.7762,-7.35647,266.533,20.4779,α-Chemokine,0.29716239543411815,SARS-CoV-N__CXCL10,model_3_multimer_v3_pred_4,0.312828489,0.974193701818503,1.28702219085928,TRUE,A,B,25.6937,6.86159,-2.61798,-4.73167,-4.69807,-13.6893,0.516487,18.9424,-18.4196,5.21144,8.67264,5.17478,0,0,0,0.234908,5.08694,-0.0987002,0,-8.88e-16,0.266694,0,0,2.384,499,48,4,2,2,TRUE,./best_AF2_and_GDock/SARS-CoV-N_CXCL10_relaxed_model_3_multimer_v3_pred_4.pdb,-9.2,1.9e-7,TRUE,TRUE,SARS-CoV-2 Wet Hit
SARS-CoV-2-B.1.1.529-N__IFNomega,SARS-CoV-2-B.1.1.529-N,IFNomega,2,./results/SARS-CoV-2-B.1.1.529-N__IFNomega/run1/structures/it1/water/SARS-CoV-2-B.1.1.529-N__IFNomega_3w.pdb,4,-102.38,2.57,-62.95,2.17,-394.31,12.1,3187.12,186.78,15.267,2.272,53.75,0,0,0,2605.758,27.828,192.17,21.394,-11.2,6.2e-9,28.4018,11.9778,-7.35077,293.124,15.4646,Interferon,0.08492077756084468,SARS-CoV-2-B.1.1.529-N__IFNomega,model_1_multimer_v3_pred_4,0.318574887,0.990832338293735,1.30940722503121,TRUE,A,B,42.5091,11.8288,-16.9954,-3.84576,-6.49183,-41.4179,-5.78502,50.3793,-58.5812,19.8324,18.6845,10.1785,0,0,0,1.22739,10.9958,-0.253037,0,0,-0.986602,0,0.0638549,2.384,590,98,5,5,0,FALSE,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IFNomega_relaxed_model_1_multimer_v3_pred_4.pdb,-15.3,5.8e-12,FALSE,FALSE,Not Wet Hit
MERS-CoV-N__IL-23,MERS-CoV-N,IL-23,7,./results/MERS-CoV-N__IL-23/run1/structures/it1/water/MERS-CoV-N__IL-23_78w.pdb,2,-90.74,4.16,-62.76,2.26,-279.76,19.03,5546.12,133.36,23.37,3.975,94.5,0,0,0,2524.265,70.405,459.269,11.244,-10.8,1.2e-8,36.389,34.6002,-7.33528,286.637,57.9104,Interleukin,0.6914016023344134,MERS-CoV-N__IL-23,model_3_multimer_v3_pred_0,0.465869013,0.666851230366849,1.13272024309263,TRUE,A,B,62.7055,6.75594,-0.462639,-0.168047,-0.840193,-7.75505,-0.932423,11.4818,-10.217,0.538817,3.29068,4.00098,0,0,0,0.389196,2.76122,0.00842303,0,0,-0.331899,0,0.0721569,2.384,887,25,0,0,0,FALSE,./best_AF2_and_GDock/MERS-CoV-N_IL-23_relaxed_model_3_multimer_v3_pred_0.pdb,-16.4,1e-12,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-WA1-N__CCL5,SARS-CoV-2-WA1-N,CCL5,1,./results/SARS-CoV-2-WA1-N__CCL5/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL5_87w.pdb,15,-95.71,8.01,-76.2,8.2,-195.02,64.28,2982.73,133.46,2.69,2.962,48.8,0,0,0,2482.621,113.517,185.754,20.933,-13.9,6.4e-11,20.7355,5.09775,-7.2893,252.682,4.80645,β-Chemokine,0,SARS-CoV-2-WA1-N__CCL5,model_3_multimer_v3_pred_4,0.215139369,0.917974045295584,1.1331134147833,TRUE,A,B,27.3112,5.32891,-5.37865,-6.00821,-11.1814,-20.7321,-1.91189,32.8256,-24.7208,2.14234,12.1102,12.7742,0,0,0,0.0621983,3.85401,-0.131377,0,0,-0.607234,0,-6.94e-18,2.384,487,58,0,0,0,TRUE,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL5_relaxed_model_3_multimer_v3_pred_4.pdb,-11,7.9e-9,TRUE,TRUE,SARS-CoV-2 Wet Hit
