protein_A,protein_B,experiment,model,iptm+ptm,Interaction Energy,Pdb,Group1,Group2,IntraclashesGroup1,IntraclashesGroup2,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,entropy sidechain,entropy mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional clash,backbone clash,helix dipole,water bridge,disulfide,electrostatic kon,partial covalent bonds,energy Ionisation,Entropy Complex,Number of Residues,Interface Residues,Interface Residues Clashing,Interface Residues VdW Clashing,Interface Residues BB Clashing,wet_hit,is_max
SARS-CoV-2-B.1.1.7-N,TNFalpha,SARS-CoV-2-B.1.1.7-N_TNFalpha,model_3_multimer_v3_pred_2,0.662072312,-15.9063,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.7-N_TNFalpha/relaxed_model_3_multimer_v3_pred_2_Repair.pdb,A,B,26.8725,4.29487,-7.55118,-9.05861,-15.7197,-6.4848,24.6983,-18.2136,0.4327,10.5864,7.24618,0,0,0,0.0240063,1.05823,0,0,0,-1.866,0,-1.11E-16,2.384,576,64,0,0,0,FALSE,TRUE
SARS-CoV-2-XBB-N,CXCL4,SARS-CoV-2-XBB-N_CXCL4,model_3_multimer_v3_pred_1,0.295389285,-15.8733,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-XBB-N_CXCL4/relaxed_model_3_multimer_v3_pred_1_Repair.pdb,A,B,19.718,5.41664,-9.40829,-10.1339,-26.3894,-2.53213,38.08,-36.1294,2.55029,17.4227,9.65511,0,0,0,0.462573,6.44691,0.787487,0,0,-0.288403,0,0.0500599,2.384,486,72,2,1,1,TRUE,TRUE
RaTG13-N,CXCL4,RaTG13-N_CXCL4,model_3_multimer_v3_pred_2,0.287935254,-15.8534,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/RaTG13-N_CXCL4/relaxed_model_3_multimer_v3_pred_2_Repair.pdb,A,B,26.0379,9.32956,-4.32767,-8.17143,-18.6526,-0.790309,22.7577,-27.6783,1.34705,12.7213,6.23949,0,0,0,0.915338,8.47505,-0.15193,0,0,-0.112702,0,0.0505814,2.384,489,48,3,0,3,TRUE,TRUE
OC43-N,IL-1alpha,OC43-N_IL-1alpha,model_3_multimer_v3_pred_0,0.335561203,-15.8319,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/OC43-N_IL-1alpha/relaxed_model_3_multimer_v3_pred_0_Repair.pdb,A,B,40.1505,5.74867,-2.12294,-9.27756,-21.9134,-5.72845,30.0442,-29.5233,1.17137,14.5189,8.84904,0,0,0,0.336296,2.98844,-0.0716979,0,0,-2.18792,0,0.073501,2.384,598,73,0,0,0,FALSE,TRUE
SARS-CoV-2-BA.4-N,CCL23,SARS-CoV-2-BA.4-N_CCL23,model_2_multimer_v3_pred_2,0.387435048,-15.7973,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BA.4-N_CCL23/relaxed_model_2_multimer_v3_pred_2_Repair.pdb,A,B,35.8488,12.3581,-0.502108,-1.63149,-10.2436,-1.31473,6.98892,-17.5314,0.359607,9.03938,0.223723,0,0,0,0.0365363,1.57806,-0.634005,0,0,-0.588215,0,-1.39E-17,2.384,532,35,0,0,0,FALSE,TRUE
SARS-CoV-2-BQ.1-N,CCL3,SARS-CoV-2-BQ.1-N_CCL3,model_4_multimer_v3_pred_1,0.706834423,-15.7414,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BQ.1-N_CCL3/relaxed_model_4_multimer_v3_pred_1_Repair.pdb,A,B,16.1796,2.97096,-4.57432,-10.5655,-20.7319,-8.68656,34.4649,-23.2931,1.80682,9.74793,7.71642,0,0,0,0.285413,4.51996,-0.278611,0,0,-1.63283,0,0,2.384,482,74,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1.529-N,CCL27,SARS-CoV-2-B.1.1.529-N_CCL27,model_2_multimer_v3_pred_2,0.269054527,-15.7056,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.529-N_CCL27/relaxed_model_2_multimer_v3_pred_2_Repair.pdb,A,B,11.8061,6.14169,-8.00937,-11.3858,-24.1675,-4.48171,36.4102,-32.7954,2.73098,18.4556,9.4661,0,0,0,0.165526,3.05784,-0.125417,0,0,-2.11377,0,0.144941,2.384,504,67,0,0,0,FALSE,TRUE
RaTG13-N,IFNA2,RaTG13-N_IFNA2,model_1_multimer_v3_pred_0,0.321066221,-15.6575,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/RaTG13-N_IFNA2/relaxed_model_1_multimer_v3_pred_0_Repair.pdb,A,B,27.8995,7.20538,-3.89147,-7.80131,-20.137,-3.3279,25.4718,-26.3687,0.475582,14.8479,6.44079,0,0,0,0.0417437,3.19985,-0.314388,0,0,-1.1573,0,0.0627428,2.384,584,82,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1.7-N,CXCL11,SARS-CoV-2-B.1.1.7-N_CXCL11,model_3_multimer_v3_pred_3,0.365633288,-15.5272,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.7-N_CXCL11/relaxed_model_3_multimer_v3_pred_3_Repair.pdb,A,B,25.2409,2.50795,-8.76587,-8.88801,-22.586,-1.44175,31.3957,-31.29,1.60422,15.7747,8.09838,0,0,0,0.722785,2.72688,0.0242517,0,0,-0.175529,0,0,2.384,492,64,0,0,0,TRUE,TRUE
MERS-CoV-N,CCL15,MERS-CoV-N_CCL15,model_4_multimer_v3_pred_2,0.54891292,-15.5047,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/MERS-CoV-N_CCL15/relaxed_model_4_multimer_v3_pred_2_Repair.pdb,A,B,34.7625,4.18386,-3.3024,-8.08281,-19.2138,-4.87046,28.0154,-24.8557,0.33858,10.5528,6.63136,0,0,0,0.863034,3.58928,0.12461,0,1.78E-15,-1.73805,0,0.0326902,2.384,503,56,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1-N,IFNbeta,SARS-CoV-2-B.1.1-N_IFNbeta,model_1_multimer_v3_pred_3,0.27706459,-15.4851,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1-N_IFNbeta/relaxed_model_1_multimer_v3_pred_3_Repair.pdb,A,B,47.1473,7.14941,-2.02182,-2.53146,-15.8556,-0.370881,15.748,-23.2859,2.70781,8.50716,1.83136,0,0,0,0.677894,4.10391,-0.625376,0,0,-0.311451,0,0.04524,2.384,585,59,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.351-N,CCL3L1,SARS-CoV-2-B.1.351-N_CCL3L1,model_4_multimer_v3_pred_4,0.743981356,-15.4764,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.351-N_CCL3L1/relaxed_model_4_multimer_v3_pred_4_Repair.pdb,A,B,13.3431,3.49046,-5.85904,-10.6785,-24.4011,-9.52078,38.9527,-29.9653,7.35714,11.7697,8.82784,0,0,0,0.466793,11.674,-0.539503,0,0,-1.88646,0,0,2.384,489,73,3,2,2,FALSE,TRUE
RaTG13-N,CCL3,RaTG13-N_CCL3,model_4_multimer_v3_pred_2,0.6959265,-15.4476,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/RaTG13-N_CCL3/relaxed_model_4_multimer_v3_pred_2_Repair.pdb,A,B,15.6158,1.51969,-5.1207,-9.08576,-18.923,-7.87651,31.5449,-22.2867,1.53865,10.4907,6.28215,0,0,0,0.303818,2.67297,-0.436358,0,0,-1.87868,0,0,2.384,485,60,0,0,0,FALSE,TRUE
MERS-CoV-N,CCL28,MERS-CoV-N_CCL28,model_4_multimer_v3_pred_1,0.588055307,-15.4104,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/MERS-CoV-N_CCL28/relaxed_model_4_multimer_v3_pred_1_Repair.pdb,A,B,15.0687,3.24066,-4.32858,-5.47525,-17.9797,-0.966592,19.2966,-26.7734,4.92661,11.1835,4.802,0,0,0,0.289752,2.62029,-0.160219,0,0,-0.356516,0,0.131406,2.384,519,55,1,1,0,TRUE,TRUE
SARS-CoV-2-BQ.1-N,IFNlambda1,SARS-CoV-2-BQ.1-N_IFNlambda1,model_3_multimer_v3_pred_2,0.587201104,-15.3339,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BQ.1-N_IFNlambda1/relaxed_model_3_multimer_v3_pred_2_Repair.pdb,A,B,22.4543,5.34902,-5.03763,-11.627,-34.2804,-5.22394,42.5853,-47.2198,17.3716,19.0405,10.4464,0,0,0,0.164273,7.53361,-0.410511,0,0,-1.19306,0,0.0504691,2.384,597,106,2,2,0,FALSE,TRUE
SARS-CoV-2-BA.4-N,CXCL8,SARS-CoV-2-BA.4-N_CXCL8,model_2_multimer_v3_pred_4,0.374666449,-15.2707,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BA.4-N_CXCL8/relaxed_model_2_multimer_v3_pred_4_Repair.pdb,A,B,22.5022,5.63751,-4.11644,-9.31091,-20.7696,-5.17423,29.8426,-28.6677,2.37902,14.9892,5.50214,0,0,0,0.853629,5.31691,-0.214625,0,0,-0.633984,0,0.0502287,2.384,493,62,0,0,0,FALSE,TRUE
SARS-CoV-N,CXCL2,SARS-CoV-N_CXCL2,model_1_multimer_v3_pred_1,0.445445649,-15.2385,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-N_CXCL2/relaxed_model_1_multimer_v3_pred_1_Repair.pdb,A,B,17.4609,2.70918,-7.02559,-5.7948,-13.348,-0.422478,17.054,-18.8453,0.169099,8.73513,4.7472,0,0,0,0.132101,3.40575,-0.431845,0,0,-0.20805,0,2.78E-17,2.384,495,45,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1.529-N,TNFalpha,SARS-CoV-2-B.1.1.529-N_TNFalpha,model_3_multimer_v3_pred_1,0.664540525,-15.2071,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.529-N_TNFalpha/relaxed_model_3_multimer_v3_pred_1_Repair.pdb,A,B,24.5316,4.43692,-7.50265,-12.1439,-15.7526,-5.49983,25,-17.8014,0.150702,12.7135,5.98242,0,0,0,0.550261,0.871419,-0.0155385,0,0,-0.888052,0,0,2.384,573,62,0,0,0,FALSE,TRUE
RaTG13-N,CXCL11,RaTG13-N_CXCL11,model_4_multimer_v3_pred_4,0.618840793,-15.1893,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/RaTG13-N_CXCL11/relaxed_model_4_multimer_v3_pred_4_Repair.pdb,A,B,19.4246,2.76672,-2.97154,-11.2014,-24.7871,-3.55512,33.4966,-31.7247,0.693104,16.7341,8.34735,0,0,0,0.175817,2.22942,-0.0136206,0,0,-0.382832,0,0,2.384,492,71,0,0,0,TRUE,TRUE
SARS-CoV-2-B.1.1.7-N,CCL27,SARS-CoV-2-B.1.1.7-N_CCL27,model_2_multimer_v3_pred_0,0.33803306,-15.1512,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.7-N_CCL27/relaxed_model_2_multimer_v3_pred_0_Repair.pdb,A,B,42.2241,3.30888,-5.69562,-6.50896,-31.3545,-3.63801,41.2309,-45.3837,2.52185,21.7277,12.333,0,0,0,0.313134,6.34062,0.467331,0,0,-1.24022,0,0.0758945,2.384,507,78,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.617.2-DeltaA-N,IL-23,SARS-CoV-2-B.1.617.2-DeltaA-N_IL-23,model_1_multimer_v3_pred_4,0.611387777,-15.1358,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-23/relaxed_model_1_multimer_v3_pred_4_Repair.pdb,A,C,22.18,5.63,-5.27892,-8.85722,-11.2543,-2.62619,17.0059,-13.3616,0.407304,7.69062,2.40128,0,0,0,0.0103927,1.0798,-0.20727,0,0,-1.07701,0,0.0112951,2.384,895,47,0,0,0,FALSE,TRUE
SARS-CoV-2-BA.4-N,IL-6Ralpha,SARS-CoV-2-BA.4-N_IL-6Ralpha,model_1_multimer_v3_pred_0,0.507166324,-14.9603,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BA.4-N_IL-6Ralpha/relaxed_model_1_multimer_v3_pred_0_Repair.pdb,A,B,12.0992,51.5662,-2.39774,-7.75202,-13.3473,-4.44999,17.0915,-16.527,0.506641,9.30516,3.34757,0,0,0,0.0521152,1.69191,0.100803,0,0,-0.890051,0,1.11E-16,2.384,865,57,0,0,0,FALSE,TRUE
MERS-CoV-N,CCL11,MERS-CoV-N_CCL11,model_3_multimer_v3_pred_0,0.377065698,-14.9509,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/MERS-CoV-N_CCL11/relaxed_model_3_multimer_v3_pred_0_Repair.pdb,A,B,39.0137,2.42059,-6.36758,-7.31459,-20.1035,-1.83537,26.5674,-26.1593,2.03193,9.71071,8.66507,0,0,0,0.451877,2.81522,5.69E-16,0,0,-0.648871,0,0.0514036,2.384,485,62,0,0,0,TRUE,TRUE
MERS-CoV-N,IFNA2,MERS-CoV-N_IFNA2,model_1_multimer_v3_pred_4,0.282114164,-14.8889,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/MERS-CoV-N_IFNA2/relaxed_model_1_multimer_v3_pred_4_Repair.pdb,A,B,30.1128,5.24418,-1.475,-4.96593,-16.1692,-4.77136,18.6195,-23.3321,1.43529,11.8818,3.70889,0,0,0,1.62136,3.1163,-0.109686,0,0,-1.33264,0,1.11E-16,2.384,576,78,0,0,0,FALSE,TRUE
SARS-CoV-2-BA.2-N,IL-23,SARS-CoV-2-BA.2-N_IL-23,model_4_multimer_v3_pred_0,0.519701401,-14.8568,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BA.2-N_IL-23/relaxed_model_4_multimer_v3_pred_0_Repair.pdb,A,C,23.63,9.12,-9.35937,-17.5785,-22.4345,-5.37107,34.9877,-27.0762,3.45057,20.1453,10.5261,0,0,2.22E-16,0.115928,2.74441,-0.302316,0,0,-2.07954,0,0.119081,2.384,892,72,1,1,0,FALSE,TRUE
SARS-CoV-2-BA.4-N,IL-18BP,SARS-CoV-2-BA.4-N_IL-18BP,model_1_multimer_v3_pred_0,0.278261958,-14.8292,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BA.4-N_IL-18BP/relaxed_model_1_multimer_v3_pred_0_Repair.pdb,A,B,19.9334,4.508,-2.1334,-2.51243,-13.2601,-3.14671,15.2914,-19.7463,1.42208,8.09318,1.22349,0,0,0,0.370468,2.53556,-0.123769,0,0,-0.340694,0,0.0335956,2.384,580,41,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.351-N,CXCL5,SARS-CoV-2-B.1.351-N_CXCL5,model_3_multimer_v3_pred_2,0.309719413,-14.655,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.351-N_CXCL5/relaxed_model_3_multimer_v3_pred_2_Repair.pdb,A,B,26.1459,7.13195,-5.79266,-10.9111,-23.9266,-0.791522,31.2589,-32.4539,2.52492,15.3697,9.80593,0,0,0,0.552903,7.68951,0.325768,0,0,-0.617497,0,-6.94E-18,2.384,496,76,2,0,2,FALSE,TRUE
SARS-CoV-2-WA1-N,CXCL3,SARS-CoV-2-WA1-N_CXCL3,model_1_multimer_v3_pred_2,0.392142331,-14.6206,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-WA1-N_CXCL3/relaxed_model_1_multimer_v3_pred_2_Repair.pdb,A,B,17.6623,2.35062,-5.9402,-8.32084,-12.2859,-0.386418,14.6107,-16.8243,0.182609,10.4108,4.37452,0,0,0,0.128685,1.33158,-0.383758,0,8.88E-16,-0.197389,0,0.0108953,2.384,492,42,0,0,0,FALSE,TRUE
RaTG13-N,IL-23,RaTG13-N_IL-23,model_2_multimer_v3_pred_3,0.555356263,-14.6004,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/RaTG13-N_IL-23/relaxed_model_2_multimer_v3_pred_3_Repair.pdb,A,C,17.25,8.52,-4.78352,-7.40766,-17.2999,-2.27319,23.3341,-22.1444,0.402567,11.387,5.72636,0,0,0,0.0240105,2.14008,-0.406603,0,0,-1.26647,0,0.107217,2.384,895,66,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1.7-N,IL-18BP,SARS-CoV-2-B.1.1.7-N_IL-18BP,model_2_multimer_v3_pred_1,0.519844674,-14.4991,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.7-N_IL-18BP/relaxed_model_2_multimer_v3_pred_1_Repair.pdb,A,B,14.9262,23.8879,-3.91315,-4.96081,-31.2875,-2.17599,39.6369,-45.8952,12.286,10.8717,7.4629,0,0,0,3.15135,7.04324,0.0605191,0,0,-0.271416,0,0.535656,2.384,583,72,3,3,0,FALSE,TRUE
SARS-CoV-2-BA.2-N,CXCL2,SARS-CoV-2-BA.2-N_CXCL2,model_1_multimer_v3_pred_1,0.409976129,-14.4441,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BA.2-N_CXCL2/relaxed_model_1_multimer_v3_pred_1_Repair.pdb,A,B,13.7962,3.29751,-4.26086,-8.07017,-15.2417,-1.2228,20.0087,-21.4684,1.50827,10.1921,4.36308,0,0,0,0.23722,2.33704,-0.210513,0,-8.88E-16,-0.350152,0,0.0711075,2.384,489,45,0,0,0,FALSE,TRUE
MERS-CoV-N,IFNlambda1,MERS-CoV-N_IFNlambda1,model_4_multimer_v3_pred_0,0.478309429,-14.3771,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/MERS-CoV-N_IFNlambda1/relaxed_model_4_multimer_v3_pred_0_Repair.pdb,A,B,33.2203,3.57018,-2.06148,-4.32537,-13.2503,-3.97998,17.7343,-18.1291,0.749244,7.58289,3.15942,0,0,0,0.0910512,2.57619,-0.553264,0,0,-1.39452,0,-2.22E-16,2.384,592,46,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1.529-N,CXCL1,SARS-CoV-2-B.1.1.529-N_CXCL1,model_2_multimer_v3_pred_1,0.389010283,-14.3565,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.529-N_CXCL1/relaxed_model_2_multimer_v3_pred_1_Repair.pdb,A,B,29.273,1.86387,-8.242,-6.86342,-13.2082,-1.39302,17.3461,-17.1385,0.12341,9.31589,6.57719,0,0,0,0.0588567,3.13664,-0.347646,0,0,-0.598221,0,0.0131596,2.384,489,40,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.617.2-DeltaA-N,IFNlambda1,SARS-CoV-2-B.1.617.2-DeltaA-N_IFNlambda1,model_1_multimer_v3_pred_0,0.543645875,-14.3408,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.617.2-DeltaA-N_IFNlambda1/relaxed_model_1_multimer_v3_pred_0_Repair.pdb,A,B,29.1324,4.48019,-4.05739,-6.33095,-10.0697,-1.98518,13.6925,-14.4206,0.691316,7.18189,1.12775,0,0,0,0.0658212,2.35511,0.113339,0,0,-0.349637,0,0,2.384,600,37,0,0,0,FALSE,TRUE
SARS-CoV-2-BQ.1-N,IL-23,SARS-CoV-2-BQ.1-N_IL-23,model_4_multimer_v3_pred_1,0.510303232,-14.3175,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BQ.1-N_IL-23/relaxed_model_4_multimer_v3_pred_1_Repair.pdb,A,C,25.68,8.91,-9.35185,-18.044,-24.9733,-6.059,43.2185,-29.4211,1.00902,20.5449,11.0445,0,0,-2.22E-16,0.182166,4.25754,-0.442504,0,0,-2.15055,0,0.125757,2.384,892,82,0,0,0,FALSE,TRUE
SARS-CoV-2-BQ.1-N,IFNomega,SARS-CoV-2-BQ.1-N_IFNomega,model_2_multimer_v3_pred_3,0.296372758,-14.1358,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BQ.1-N_IFNomega/relaxed_model_2_multimer_v3_pred_3_Repair.pdb,A,B,73.1706,7.81297,-4.19249,-6.70338,-25.502,-5.23412,30.8026,-36.6555,13.582,15.9685,4.13141,0,0,0,0.830174,6.52187,0.0675041,0,0,-1.41184,0,0.181299,2.384,590,73,4,4,0,FALSE,TRUE
SARS-CoV-2-BQ.1-N,IL-6Ralpha,SARS-CoV-2-BQ.1-N_IL-6Ralpha,model_1_multimer_v3_pred_3,0.510871482,-14.0824,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BQ.1-N_IL-6Ralpha/relaxed_model_1_multimer_v3_pred_3_Repair.pdb,A,B,12.7623,49.9156,-1.09943,-6.98313,-13.7518,-5.53813,17.5638,-17.3308,0.677455,9.85883,3.26191,0,0,0,0.220636,1.55127,0.127603,0,0,-1.08935,0,-1.11E-16,2.384,865,59,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1-N,CCL3,SARS-CoV-2-B.1.1-N_CCL3,model_4_multimer_v3_pred_3,0.686979644,-14.0566,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1-N_CCL3/relaxed_model_4_multimer_v3_pred_3_Repair.pdb,A,B,17.8287,3.71315,-4.39886,-12.0959,-21.1719,-8.30473,35.1907,-24.057,3.5612,12.045,7.65304,0,0,0,0.217737,3.38236,-0.902596,0,0,-1.79331,0,0,2.384,485,76,0,0,0,FALSE,TRUE
OC43-N,CCL26,OC43-N_CCL26,model_3_multimer_v3_pred_4,0.437574769,-14.0496,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/OC43-N_CCL26/relaxed_model_3_multimer_v3_pred_4_Repair.pdb,A,B,42.9025,1.78101,-4.41546,-5.03313,-22.641,-2.74094,27.2169,-30.2805,2.67893,14.1282,7.92497,0,0,0,0.118343,2.53518,0.0511033,0,-8.88E-16,-1.10009,0,0.0431198,2.384,519,75,0,0,0,TRUE,TRUE
SARS-CoV-N,IL-27,SARS-CoV-N_IL-27,model_2_multimer_v3_pred_2,0.440960895,-14.037,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-N_IL-27/relaxed_model_2_multimer_v3_pred_2_Repair.pdb,A,B,109.357,6.45137,-2.86407,-7.54137,-10.4878,-4.18628,14.3769,-13.9544,2.30284,7.77974,1.18973,0,0,0,0.0218822,1.72226,-0.129342,0,0,-0.544934,0,2.22E-16,2.384,846,40,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.617.2-DeltaA-N,CCL25,SARS-CoV-2-B.1.617.2-DeltaA-N_CCL25,model_4_multimer_v3_pred_2,0.510790365,-14.0369,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL25/relaxed_model_4_multimer_v3_pred_2_Repair.pdb,A,B,9.6788,11.6374,-8.05273,-8.23864,-25.3416,-5.77115,37.8836,-29.7215,4.6293,11.4595,9.8256,0,0,0,0.406645,4.5598,-0.15175,0,0,-0.964145,0,1.11E-16,2.384,545,73,1,1,0,FALSE,TRUE
SARS-CoV-2-B.1.617.2-DeltaA-N,CCL3,SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3,model_4_multimer_v3_pred_0,0.699400529,-13.9859,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3/relaxed_model_4_multimer_v3_pred_0_Repair.pdb,A,B,11.4963,2.39516,-6.02496,-9.18782,-19.2154,-8.97083,33.0694,-22.1219,2.75186,9.94512,7.21346,0,0,0,0.349871,3.19966,0.0873545,0,0,-1.882,0,0,2.384,485,61,0,0,0,FALSE,TRUE
SARS-CoV-2-XBB-N,CXCL6,SARS-CoV-2-XBB-N_CXCL6,model_3_multimer_v3_pred_2,0.342911321,-13.9776,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-XBB-N_CXCL6/relaxed_model_3_multimer_v3_pred_2_Repair.pdb,A,B,27.3197,3.15582,-5.3168,-6.29091,-14.8384,-2.31565,19.0342,-20.7209,0.305708,10.9086,5.45102,0,0,0,0.243624,3.65402,0.268522,0,0,-0.706688,0,0,2.384,493,44,0,0,0,FALSE,TRUE
SARS-CoV-N,CXCL6,SARS-CoV-N_CXCL6,model_3_multimer_v3_pred_1,0.328490615,-13.9598,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-N_CXCL6/relaxed_model_3_multimer_v3_pred_1_Repair.pdb,A,B,35.1737,3.60975,-4.41977,-10.8426,-21.7777,-2.4458,30.1716,-29.7366,0.93681,16.1911,7.67463,0,0,0,0.251977,4.29686,0.287719,0,0,-0.251205,0,0,2.384,499,56,0,0,0,FALSE,TRUE
SARS-CoV-2-XBB-N,IFNA2,SARS-CoV-2-XBB-N_IFNA2,model_2_multimer_v3_pred_4,0.666264988,-13.9547,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-XBB-N_IFNA2/relaxed_model_2_multimer_v3_pred_4_Repair.pdb,A,B,21.2956,4.99417,-1.5056,-11.3432,-15.1598,-2.59337,20.0629,-19.1741,0.13416,12.1445,3.9472,0,0,0,0.119538,1.92732,-0.0539652,0,0,-0.532939,0,-5.55E-17,2.384,581,56,0,0,0,FALSE,TRUE
SARS-CoV-2-BQ.1-N,CXCL2,SARS-CoV-2-BQ.1-N_CXCL2,model_1_multimer_v3_pred_1,0.412050785,-13.9306,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BQ.1-N_CXCL2/relaxed_model_1_multimer_v3_pred_1_Repair.pdb,A,B,13.2046,2.6554,-6.08352,-5.28787,-15.7098,-0.534675,20.0836,-22.2479,1.20498,9.82202,5.09884,0,0,0,0.260831,2.53746,-0.284843,0,0,-0.252251,0,1.11E-16,2.384,489,45,0,0,0,FALSE,TRUE
