experiment_name,n_protein,cytokine_protein,af2_best_pdb_path,af2_prodigy_deltaG_kcalpermol,af2_prodigy_dissociation_constant_M,af2_foldx_dG
SARS-CoV-2-B.1.1.7-N_IL-12p70,SARS-CoV-2-B.1.1.7-N,IL-12p70,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_IL-12p70_relaxed_model_4_multimer_v3_pred_2.pdb,-23.3,7.60E-18,0.550936
OC43-N_CCL13,OC43-N,CCL13,./best_AF2_and_GDock/OC43-N_CCL13_relaxed_model_4_multimer_v3_pred_0.pdb,-19.3,7.40E-15,-7.16185
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-10,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-10,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-10_relaxed_model_2_multimer_v3_pred_0.pdb,-9,2.50E-07,-0.629305
OC43-N_IL-18,OC43-N,IL-18,./best_AF2_and_GDock/OC43-N_IL-18_relaxed_model_5_multimer_v3_pred_3.pdb,-11.7,2.80E-09,-17.5734
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-18,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-18,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-18_relaxed_model_4_multimer_v3_pred_3.pdb,-12.9,3.30E-10,1.83286
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL7,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL7,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL7_relaxed_model_3_multimer_v3_pred_3.pdb,-9.9,5.40E-08,15.2247
SARS-CoV-2-BQ.1-N_CXCL1,SARS-CoV-2-BQ.1-N,CXCL1,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CXCL1_relaxed_model_3_multimer_v3_pred_0.pdb,-8.8,3.50E-07,-10.69
SARS-CoV-2-B.1.1.529-N_CXCL11,SARS-CoV-2-B.1.1.529-N,CXCL11,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CXCL11_relaxed_model_4_multimer_v3_pred_3.pdb,-12.9,3.20E-10,-21.7134
OC43-N_CXCL11,OC43-N,CXCL11,./best_AF2_and_GDock/OC43-N_CXCL11_relaxed_model_3_multimer_v3_pred_0.pdb,-16.8,4.40E-13,-46.5821
BANAL-20-52-N_CCL7,BANAL-20-52-N,CCL7,./best_AF2_and_GDock/BANAL-20-52-N_CCL7_relaxed_model_2_multimer_v3_pred_0.pdb,-10.8,1.20E-08,8.94411
OC43-N_CXCL12beta,OC43-N,CXCL12beta,./best_AF2_and_GDock/OC43-N_CXCL12beta_relaxed_model_1_multimer_v3_pred_0.pdb,-14.1,4.30E-11,-11.9054
SARS-CoV-2-BA.2-N_CCL24,SARS-CoV-2-BA.2-N,CCL24,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL24_relaxed_model_3_multimer_v3_pred_4.pdb,-15.6,3.60E-12,-1.4751
SARS-CoV-2-B.1.1.529-N_CXCL4,SARS-CoV-2-B.1.1.529-N,CXCL4,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CXCL4_relaxed_model_3_multimer_v3_pred_0.pdb,-13.9,6.80E-11,5.74456
RaTG13-N_CCL18,RaTG13-N,CCL18,./best_AF2_and_GDock/RaTG13-N_CCL18_relaxed_model_3_multimer_v3_pred_3.pdb,-12.8,4.30E-10,-0.69084
RaTG13-N_CCL26,RaTG13-N,CCL26,./best_AF2_and_GDock/RaTG13-N_CCL26_relaxed_model_2_multimer_v3_pred_2.pdb,-9.4,1.30E-07,-4.15288
RaTG13-N_CCL4L1,RaTG13-N,CCL4L1,./best_AF2_and_GDock/RaTG13-N_CCL4L1_relaxed_model_3_multimer_v3_pred_3.pdb,-15.4,5.10E-12,0.56251
SARS-CoV-2-XBB-N_IL-27,SARS-CoV-2-XBB-N,IL-27,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_IL-27_relaxed_model_2_multimer_v3_pred_2.pdb,-30.3,6.10E-23,21.9727
SARS-CoV-2-WA1-N_IL-1alpha,SARS-CoV-2-WA1-N,IL-1alpha,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IL-1alpha_relaxed_model_2_multimer_v3_pred_2.pdb,-15.4,5.30E-12,0.903005
SARS-CoV-2-BA.4-N_IFNomega,SARS-CoV-2-BA.4-N,IFNomega,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IFNomega_relaxed_model_2_multimer_v3_pred_2.pdb,-17.4,1.90E-13,3.02761
SARS-CoV-2-BQ.1-N_IL-6,SARS-CoV-2-BQ.1-N,IL-6,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IL-6_relaxed_model_2_multimer_v3_pred_1.pdb,-11.4,4.50E-09,-6.60655
SARS-CoV-2-B.1.351-N_IFNbeta,SARS-CoV-2-B.1.351-N,IFNbeta,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IFNbeta_relaxed_model_2_multimer_v3_pred_3.pdb,-16,1.80E-12,5.25323
SARS-CoV-2-XBB-N_CCL2,SARS-CoV-2-XBB-N,CCL2,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL2_relaxed_model_3_multimer_v3_pred_2.pdb,-10.7,1.50E-08,-8.91366
SARS-CoV-2-B.1.1-N_CCL2,SARS-CoV-2-B.1.1-N,CCL2,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL2_relaxed_model_4_multimer_v3_pred_1.pdb,-9.4,1.20E-07,-9.00928
OC43-N_CCL15,OC43-N,CCL15,./best_AF2_and_GDock/OC43-N_CCL15_relaxed_model_3_multimer_v3_pred_2.pdb,-15.1,8.40E-12,0.648734
BANAL-20-52-N_IL-1alpha,BANAL-20-52-N,IL-1alpha,./best_AF2_and_GDock/BANAL-20-52-N_IL-1alpha_relaxed_model_2_multimer_v3_pred_4.pdb,-10.8,1.20E-08,-6.49193
BANAL-20-52-N_CXCL4,BANAL-20-52-N,CXCL4,./best_AF2_and_GDock/BANAL-20-52-N_CXCL4_relaxed_model_5_multimer_v3_pred_0.pdb,-10.2,3.10E-08,-13.7896
SARS-CoV-2-BQ.1-N_CCL4L1,SARS-CoV-2-BQ.1-N,CCL4L1,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL4L1_relaxed_model_3_multimer_v3_pred_3.pdb,-15.3,6.00E-12,4.18587
SARS-CoV-N_CCL1,SARS-CoV-N,CCL1,./best_AF2_and_GDock/SARS-CoV-N_CCL1_relaxed_model_5_multimer_v3_pred_1.pdb,-11,8.30E-09,2.78591
SARS-CoV-2-WA1-N_CCL24,SARS-CoV-2-WA1-N,CCL24,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL24_relaxed_model_1_multimer_v3_pred_2.pdb,-12.4,8.30E-10,-5.64534
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-17a,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-17a,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-17a_relaxed_model_4_multimer_v3_pred_1.pdb,-14.3,3.40E-11,-0.885119
RaTG13-N_IL-23,RaTG13-N,IL-23,./best_AF2_and_GDock/RaTG13-N_IL-23_relaxed_model_3_multimer_v3_pred_0.pdb,-28.7,8.70E-22,-0.121486
SARS-CoV-2-B.1.351-N_CCL5,SARS-CoV-2-B.1.351-N,CCL5,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL5_relaxed_model_3_multimer_v3_pred_2.pdb,-15.9,2.20E-12,-3.97117
SARS-CoV-2-WA1-N_IFNA2,SARS-CoV-2-WA1-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IFNA2_relaxed_model_2_multimer_v3_pred_4.pdb,-14.8,1.50E-11,-2.7495
SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL5,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL5,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL5_relaxed_model_3_multimer_v3_pred_2.pdb,-10.1,4.20E-08,-9.38932
SARS-CoV-2-XBB-N_CCL7,SARS-CoV-2-XBB-N,CCL7,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL7_relaxed_model_3_multimer_v3_pred_0.pdb,-9.7,8.30E-08,6.64772
RaTG13-N_IL-6,RaTG13-N,IL-6,./best_AF2_and_GDock/RaTG13-N_IL-6_relaxed_model_4_multimer_v3_pred_0.pdb,-12,1.50E-09,-8.41931
SARS-CoV-2-BA.4-N_CCL14,SARS-CoV-2-BA.4-N,CCL14,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL14_relaxed_model_3_multimer_v3_pred_2.pdb,-11.6,2.90E-09,0.135156
SARS-CoV-2-B.1.1-N_CCL1,SARS-CoV-2-B.1.1-N,CCL1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL1_relaxed_model_4_multimer_v3_pred_1.pdb,-11.2,5.70E-09,2.75274
BANAL-20-52-N_CCL22,BANAL-20-52-N,CCL22,./best_AF2_and_GDock/BANAL-20-52-N_CCL22_relaxed_model_3_multimer_v3_pred_3.pdb,-11.7,2.80E-09,-3.53288
SARS-CoV-2-B.1.1.7-N_CCL3,SARS-CoV-2-B.1.1.7-N,CCL3,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL3_relaxed_model_4_multimer_v3_pred_0.pdb,-13.9,6.30E-11,-18.0515
SARS-CoV-2-B.1.1.529-N_CCL4L1,SARS-CoV-2-B.1.1.529-N,CCL4L1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL4L1_relaxed_model_3_multimer_v3_pred_1.pdb,-15.3,6.50E-12,-6.11736
SARS-CoV-2-P.1-N_CCL24,SARS-CoV-2-P.1-N,CCL24,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL24_relaxed_model_4_multimer_v3_pred_1.pdb,-11.3,5.30E-09,-4.36038
SARS-CoV-2-XBB-N_CCL15,SARS-CoV-2-XBB-N,CCL15,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL15_relaxed_model_4_multimer_v3_pred_1.pdb,-15.1,8.30E-12,-0.370037
SARS-CoV-2-P.1-N_CCL2,SARS-CoV-2-P.1-N,CCL2,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL2_relaxed_model_1_multimer_v3_pred_3.pdb,-9,2.60E-07,-11.4975
SARS-CoV-2-P.1-N_IL-18,SARS-CoV-2-P.1-N,IL-18,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IL-18_relaxed_model_1_multimer_v3_pred_2.pdb,-20.4,1.00E-15,5.55072
SARS-CoV-2-B.1.1-N_CCL28,SARS-CoV-2-B.1.1-N,CCL28,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL28_relaxed_model_2_multimer_v3_pred_1.pdb,-16.2,1.30E-12,-9.39599
SARS-CoV-2-BQ.1-N_CCL27,SARS-CoV-2-BQ.1-N,CCL27,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL27_relaxed_model_2_multimer_v3_pred_1.pdb,-14.5,2.50E-11,-16.3174
SARS-CoV-2-B.1.1-N_CCL4,SARS-CoV-2-B.1.1-N,CCL4,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL4_relaxed_model_4_multimer_v3_pred_4.pdb,-12.1,1.30E-09,-22.0022
SARS-CoV-2-BA.4-N_CCL16,SARS-CoV-2-BA.4-N,CCL16,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL16_relaxed_model_5_multimer_v3_pred_1.pdb,-10.6,1.60E-08,-6.90596
SARS-CoV-2-B.1.1.7-N_CCL5,SARS-CoV-2-B.1.1.7-N,CCL5,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL5_relaxed_model_3_multimer_v3_pred_0.pdb,-14.3,3.30E-11,-4.67329
SARS-CoV-2-BA.1.1-N_CCL1,SARS-CoV-2-BA.1.1-N,CCL1,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL1_relaxed_model_2_multimer_v3_pred_1.pdb,-10,4.80E-08,-8.78528
SARS-CoV-N_IL-35,SARS-CoV-N,IL-35,./best_AF2_and_GDock/SARS-CoV-N_IL-35_relaxed_model_5_multimer_v3_pred_1.pdb,-14.5,2.30E-11,-36.9446
SARS-CoV-2-B.1.1-N_IL-10,SARS-CoV-2-B.1.1-N,IL-10,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IL-10_relaxed_model_2_multimer_v3_pred_1.pdb,-12.5,7.30E-10,1.43858
SARS-CoV-2-XBB-N_IL-6,SARS-CoV-2-XBB-N,IL-6,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_IL-6_relaxed_model_3_multimer_v3_pred_3.pdb,-13.7,9.00E-11,-0.595614
SARS-CoV-2-B.1.351-N_IFNA2,SARS-CoV-2-B.1.351-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IFNA2_relaxed_model_4_multimer_v3_pred_4.pdb,-22.3,4.80E-17,-30.737
SARS-CoV-2-BQ.1-N_CCL5,SARS-CoV-2-BQ.1-N,CCL5,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL5_relaxed_model_3_multimer_v3_pred_4.pdb,-13.9,6.00E-11,2.59456
SARS-CoV-2-BQ.1-N_CCL18,SARS-CoV-2-BQ.1-N,CCL18,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL18_relaxed_model_3_multimer_v3_pred_3.pdb,-13,2.70E-10,1.30218
SARS-CoV-2-B.1.1.529-N_CCL25,SARS-CoV-2-B.1.1.529-N,CCL25,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL25_relaxed_model_4_multimer_v3_pred_2.pdb,-17.4,1.70E-13,-18.7683
SARS-CoV-2-WA1-N_CXCL16,SARS-CoV-2-WA1-N,CXCL16,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL16_relaxed_model_5_multimer_v3_pred_4.pdb,-15.4,4.90E-12,-1.92077
SARS-CoV-2-BA.2-N_CCL23,SARS-CoV-2-BA.2-N,CCL23,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL23_relaxed_model_2_multimer_v3_pred_1.pdb,-12.3,8.80E-10,-10.9438
OC43-N_IL-6Ralpha,OC43-N,IL-6Ralpha,./best_AF2_and_GDock/OC43-N_IL-6Ralpha_relaxed_model_1_multimer_v3_pred_3.pdb,-17.2,2.60E-13,-20.4846
SARS-CoV-2-B.1.1.7-N_IFNA2,SARS-CoV-2-B.1.1.7-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_IFNA2_relaxed_model_4_multimer_v3_pred_3.pdb,-12.3,9.20E-10,-34.0353
SARS-CoV-2-WA1-N_CXCL6,SARS-CoV-2-WA1-N,CXCL6,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL6_relaxed_model_3_multimer_v3_pred_2.pdb,-8.9,3.20E-07,-0.937036
SARS-CoV-2-P.1-N_IL-1beta,SARS-CoV-2-P.1-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IL-1beta_relaxed_model_3_multimer_v3_pred_3.pdb,-9.7,7.90E-08,5.33528
SARS-CoV-2-B.1.351-N_CXCL6,SARS-CoV-2-B.1.351-N,CXCL6,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CXCL6_relaxed_model_3_multimer_v3_pred_2.pdb,-8,1.30E-06,-10.786
SARS-CoV-2-BA.2-N_IL-17a,SARS-CoV-2-BA.2-N,IL-17a,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_IL-17a_relaxed_model_4_multimer_v3_pred_4.pdb,-14,5.10E-11,7.28159
OC43-N_CCL2,OC43-N,CCL2,./best_AF2_and_GDock/OC43-N_CCL2_relaxed_model_3_multimer_v3_pred_4.pdb,-12,1.50E-09,-8.66189
SARS-CoV-2-P.1-N_CCL4L1,SARS-CoV-2-P.1-N,CCL4L1,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL4L1_relaxed_model_2_multimer_v3_pred_3.pdb,-13.3,1.90E-10,-2.6134
SARS-CoV-2-B.1.1.7-N_CXCL3,SARS-CoV-2-B.1.1.7-N,CXCL3,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CXCL3_relaxed_model_1_multimer_v3_pred_3.pdb,-10.9,1.10E-08,-19.2097
MERS-CoV-N_IL-6,MERS-CoV-N,IL-6,./best_AF2_and_GDock/MERS-CoV-N_IL-6_relaxed_model_3_multimer_v3_pred_0.pdb,-10.1,3.70E-08,8.36078
MERS-CoV-N_CCL19,MERS-CoV-N,CCL19,./best_AF2_and_GDock/MERS-CoV-N_CCL19_relaxed_model_1_multimer_v3_pred_2.pdb,-18.1,5.30E-14,-2.52704
BANAL-20-52-N_CCL1,BANAL-20-52-N,CCL1,./best_AF2_and_GDock/BANAL-20-52-N_CCL1_relaxed_model_3_multimer_v3_pred_4.pdb,-15.5,4.10E-12,-0.427774
SARS-CoV-2-BQ.1-N_CCL22,SARS-CoV-2-BQ.1-N,CCL22,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL22_relaxed_model_3_multimer_v3_pred_4.pdb,-13.1,2.50E-10,1.03424
BANAL-20-52-N_CX3CL1,BANAL-20-52-N,CX3CL1,./best_AF2_and_GDock/BANAL-20-52-N_CX3CL1_relaxed_model_2_multimer_v3_pred_4.pdb,-12.1,1.40E-09,-6.57201
SARS-CoV-2-B.1.1-N_IL-13,SARS-CoV-2-B.1.1-N,IL-13,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IL-13_relaxed_model_3_multimer_v3_pred_2.pdb,-13.8,7.60E-11,6.82896
SARS-CoV-2-XBB-N_CX3CL1,SARS-CoV-2-XBB-N,CX3CL1,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CX3CL1_relaxed_model_4_multimer_v3_pred_1.pdb,-22.6,2.50E-17,-9.02581
BANAL-20-52-N_IL-10,BANAL-20-52-N,IL-10,./best_AF2_and_GDock/BANAL-20-52-N_IL-10_relaxed_model_3_multimer_v3_pred_3.pdb,-13.8,7.90E-11,5.23687
SARS-CoV-2-B.1.1-N_IFNlambda1,SARS-CoV-2-B.1.1-N,IFNlambda1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IFNlambda1_relaxed_model_3_multimer_v3_pred_1.pdb,-12.2,1.10E-09,-12.5237
SARS-CoV-2-B.1.1.529-N_IFNA2,SARS-CoV-2-B.1.1.529-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IFNA2_relaxed_model_4_multimer_v3_pred_2.pdb,-13.4,1.40E-10,-37.1478
SARS-CoV-2-XBB-N_CCL16,SARS-CoV-2-XBB-N,CCL16,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL16_relaxed_model_3_multimer_v3_pred_1.pdb,-14.9,1.20E-11,-0.0872138
SARS-CoV-2-P.1-N_IL-17a,SARS-CoV-2-P.1-N,IL-17a,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IL-17a_relaxed_model_4_multimer_v3_pred_2.pdb,-16.8,5.20E-13,1.05224
SARS-CoV-2-B.1.1-N_CCL3L1,SARS-CoV-2-B.1.1-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL3L1_relaxed_model_4_multimer_v3_pred_3.pdb,-17.3,2.10E-13,-21.3357
SARS-CoV-2-B.1.351-N_IL-13,SARS-CoV-2-B.1.351-N,IL-13,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IL-13_relaxed_model_4_multimer_v3_pred_1.pdb,-13.5,1.20E-10,-2.7086
SARS-CoV-2-BA.2-N_CXCL2,SARS-CoV-2-BA.2-N,CXCL2,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CXCL2_relaxed_model_1_multimer_v3_pred_4.pdb,-12.7,4.50E-10,-14.4441
SARS-CoV-2-WA1-N_CCL20,SARS-CoV-2-WA1-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL20_relaxed_model_2_multimer_v3_pred_2.pdb,-12.8,4.40E-10,-8.33889
SARS-CoV-2-B.1.1-N_CXCL16,SARS-CoV-2-B.1.1-N,CXCL16,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL16_relaxed_model_3_multimer_v3_pred_4.pdb,-19.6,4.00E-15,-2.65151
RaTG13-N_CCL3,RaTG13-N,CCL3,./best_AF2_and_GDock/RaTG13-N_CCL3_relaxed_model_1_multimer_v3_pred_0.pdb,-12.1,1.30E-09,-15.4476
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3L1,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3L1_relaxed_model_4_multimer_v3_pred_1.pdb,-14.6,2.00E-11,-19.8385
SARS-CoV-2-BQ.1-N_CX3CL1,SARS-CoV-2-BQ.1-N,CX3CL1,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CX3CL1_relaxed_model_3_multimer_v3_pred_2.pdb,-11.9,2.00E-09,-5.46961
SARS-CoV-2-BA.4-N_CCL4L1,SARS-CoV-2-BA.4-N,CCL4L1,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL4L1_relaxed_model_3_multimer_v3_pred_4.pdb,-15.8,2.70E-12,0.0263068
MERS-CoV-N_CCL27,MERS-CoV-N,CCL27,./best_AF2_and_GDock/MERS-CoV-N_CCL27_relaxed_model_4_multimer_v3_pred_0.pdb,-14.1,4.50E-11,-18.9914
SARS-CoV-2-B.1.1-N_CCL5,SARS-CoV-2-B.1.1-N,CCL5,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL5_relaxed_model_3_multimer_v3_pred_4.pdb,-14.3,3.00E-11,1.10128
SARS-CoV-2-B.1.351-N_CX3CL1,SARS-CoV-2-B.1.351-N,CX3CL1,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CX3CL1_relaxed_model_4_multimer_v3_pred_0.pdb,-13.6,9.80E-11,-0.805272
SARS-CoV-2-XBB-N_CCL20,SARS-CoV-2-XBB-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL20_relaxed_model_2_multimer_v3_pred_0.pdb,-15.6,3.40E-12,-5.04186
MERS-CoV-N_CXCL12alpha,MERS-CoV-N,CXCL12alpha,./best_AF2_and_GDock/MERS-CoV-N_CXCL12alpha_relaxed_model_2_multimer_v3_pred_2.pdb,-15.3,5.70E-12,43.1785
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL24,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL24,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL24_relaxed_model_4_multimer_v3_pred_3.pdb,-11.4,4.30E-09,-5.85339
SARS-CoV-2-WA1-N_CXCL7,SARS-CoV-2-WA1-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL7_relaxed_model_5_multimer_v3_pred_0.pdb,-9.9,5.20E-08,0.508156
SARS-CoV-2-P.1-N_IFNA2,SARS-CoV-2-P.1-N,IFNA2,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IFNA2_relaxed_model_1_multimer_v3_pred_1.pdb,-14.4,2.80E-11,-20.9182
SARS-CoV-2-B.1.1.529-N_IL-18BP,SARS-CoV-2-B.1.1.529-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IL-18BP_relaxed_model_2_multimer_v3_pred_4.pdb,-12.2,1.20E-09,-18.6533
SARS-CoV-2-BA.1.1-N_CCL13,SARS-CoV-2-BA.1.1-N,CCL13,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL13_relaxed_model_4_multimer_v3_pred_0.pdb,-11.5,3.40E-09,-8.59058
SARS-CoV-2-B.1.351-N_CXCL13,SARS-CoV-2-B.1.351-N,CXCL13,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CXCL13_relaxed_model_3_multimer_v3_pred_1.pdb,-11.7,2.60E-09,-7.84783
RaTG13-N_IL-6Ralpha,RaTG13-N,IL-6Ralpha,./best_AF2_and_GDock/RaTG13-N_IL-6Ralpha_relaxed_model_2_multimer_v3_pred_0.pdb,-14.3,3.20E-11,-12.7532
SARS-CoV-2-B.1.1-N_IFNomega,SARS-CoV-2-B.1.1-N,IFNomega,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IFNomega_relaxed_model_1_multimer_v3_pred_0.pdb,-15.9,2.20E-12,-2.65335
OC43-N_CXCL13,OC43-N,CXCL13,./best_AF2_and_GDock/OC43-N_CXCL13_relaxed_model_2_multimer_v3_pred_4.pdb,-13.1,2.40E-10,34.4855
SARS-CoV-2-P.1-N_CCL27,SARS-CoV-2-P.1-N,CCL27,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL27_relaxed_model_2_multimer_v3_pred_2.pdb,-19.2,8.00E-15,-2.9452
SARS-CoV-2-B.1.1.7-N_CXCL14,SARS-CoV-2-B.1.1.7-N,CXCL14,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CXCL14_relaxed_model_1_multimer_v3_pred_0.pdb,-11,8.80E-09,-1.4388
SARS-CoV-2-BQ.1-N_IL-18,SARS-CoV-2-BQ.1-N,IL-18,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IL-18_relaxed_model_3_multimer_v3_pred_4.pdb,-13,3.10E-10,2.49191
SARS-CoV-2-P.1-N_CXCL4,SARS-CoV-2-P.1-N,CXCL4,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CXCL4_relaxed_model_3_multimer_v3_pred_0.pdb,-14.5,2.50E-11,2.30186
OC43-N_CCL8,OC43-N,CCL8,./best_AF2_and_GDock/OC43-N_CCL8_relaxed_model_5_multimer_v3_pred_3.pdb,-13,2.90E-10,-19.3406
BANAL-20-52-N_CXCL13,BANAL-20-52-N,CXCL13,./best_AF2_and_GDock/BANAL-20-52-N_CXCL13_relaxed_model_3_multimer_v3_pred_2.pdb,-6.7,1.20E-05,-8.768
SARS-CoV-2-B.1.1.7-N_IFNgamma,SARS-CoV-2-B.1.1.7-N,IFNgamma,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_IFNgamma_relaxed_model_3_multimer_v3_pred_2.pdb,-10.6,1.80E-08,-2.28247
SARS-CoV-2-XBB-N_IL-1alpha,SARS-CoV-2-XBB-N,IL-1alpha,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_IL-1alpha_relaxed_model_2_multimer_v3_pred_2.pdb,-11.7,2.60E-09,-2.51649
BANAL-20-52-N_CCL3,BANAL-20-52-N,CCL3,./best_AF2_and_GDock/BANAL-20-52-N_CCL3_relaxed_model_3_multimer_v3_pred_0.pdb,-9.6,9.20E-08,-19.5018
SARS-CoV-2-B.1.351-N_CCL22,SARS-CoV-2-B.1.351-N,CCL22,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL22_relaxed_model_1_multimer_v3_pred_1.pdb,-14.4,2.80E-11,13.1376
SARS-CoV-2-B.1.351-N_CXCL16,SARS-CoV-2-B.1.351-N,CXCL16,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CXCL16_relaxed_model_5_multimer_v3_pred_3.pdb,-11,8.60E-09,-7.64358
SARS-CoV-2-BA.2-N_CXCL11,SARS-CoV-2-BA.2-N,CXCL11,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CXCL11_relaxed_model_4_multimer_v3_pred_4.pdb,-13.1,2.50E-10,-23.6126
