experiment	model	iptm+ptm	gdock	n_protein	cytokine	wet_hit	total_score	negative_energy
SARS-CoV-2-BA.4-N_CXCL11	model_3_multimer_v3_pred_3	0.564454104464723	0.952859506836012	SARS-CoV-2-BA.4-N	CXCL11	True	1.517313611300735	True
SARS-CoV-2-XBB-N_IFNgamma	model_2_multimer_v3_pred_1	0.564453185245575	0.015642661034533	SARS-CoV-2-XBB-N	IFNgamma	False	0.580095846280108	True
SARS-CoV-2-BA.2-N_CCL4	model_4_multimer_v3_pred_4	0.564190764105921	0.885591032862597	SARS-CoV-2-BA.2-N	CCL4	False	1.449781796968518	True
SARS-CoV-2-BQ.1-N_IFNgamma	model_2_multimer_v3_pred_3	0.564129646856683	0.015240620458859	SARS-CoV-2-BQ.1-N	IFNgamma	False	0.579370267315542	True
SARS-CoV-2-B.1.1-N_CCL20	model_4_multimer_v3_pred_2	0.564102859677595	0.308909420704474	SARS-CoV-2-B.1.1-N	CCL20	False	0.873012280382069	True
BANAL-20-52-N_IFNgamma	model_2_multimer_v3_pred_1	0.564059109586628	0.016160122520495	BANAL-20-52-N	IFNgamma	False	0.580219232107123	True
SARS-CoV-2-BA.4-N_CCL4	model_4_multimer_v3_pred_2	0.563808630497295	0.829742141835196	SARS-CoV-2-BA.4-N	CCL4	False	1.3935507723324911	True
SARS-CoV-2-P.1-N_IFNgamma	model_1_multimer_v3_pred_0	0.563737308304084	0.013765038560908	SARS-CoV-2-P.1-N	IFNgamma	False	0.577502346864992	True
RaTG13-N_IFNgamma	model_1_multimer_v3_pred_4	0.563720251297505	0.011711799508339	RaTG13-N	IFNgamma	False	0.575432050805844	True
SARS-CoV-2-B.1.617.2-DeltaA-N_IFNgamma	model_1_multimer_v3_pred_2	0.563713395729277	0.055929622721315	SARS-CoV-2-B.1.617.2-DeltaA-N	IFNgamma	False	0.619643018450592	False
SARS-CoV-2-WA1-N_CCL3	model_4_multimer_v3_pred_4	0.563567529924278	0.751380239405952	SARS-CoV-2-WA1-N	CCL3	False	1.31494776933023	True
SARS-CoV-2-XBB-N_CCL4	model_4_multimer_v3_pred_0	0.563441639697535	0.892796942727414	SARS-CoV-2-XBB-N	CCL4	False	1.456238582424949	True
SARS-CoV-2-B.1.1.7-N_IFNgamma	model_2_multimer_v3_pred_2	0.563216470472114	0.016126576591463	SARS-CoV-2-B.1.1.7-N	IFNgamma	False	0.579343047063577	True
SARS-CoV-2-BA.2-N_IFNgamma	model_2_multimer_v3_pred_3	0.563165232492362	0.015032161644917	SARS-CoV-2-BA.2-N	IFNgamma	False	0.578197394137279	True
SARS-CoV-2-BA.1.1-N_IFNgamma	model_2_multimer_v3_pred_3	0.563071926416447	0.015084227223176	SARS-CoV-2-BA.1.1-N	IFNgamma	False	0.578156153639623	True
SARS-CoV-2-BQ.1-N_CCL4	model_4_multimer_v3_pred_0	0.562954345909092	0.865782536904369	SARS-CoV-2-BQ.1-N	CCL4	False	1.428736882813461	True
SARS-CoV-2-P.1-N_CCL28	model_4_multimer_v3_pred_1	0.562707189176255	0.083982229648238	SARS-CoV-2-P.1-N	CCL28	True	0.6466894188244929	True
SARS-CoV-2-B.1.617.2-DeltaA-N_IFNgamma	model_2_multimer_v3_pred_4	0.562659165444647	0.015746711271531	SARS-CoV-2-B.1.617.2-DeltaA-N	IFNgamma	False	0.578405876716178	True
SARS-CoV-2-BA.4-N_IFNgamma	model_2_multimer_v3_pred_3	0.562231628904498	0.015662194282537	SARS-CoV-2-BA.4-N	IFNgamma	False	0.577893823187035	True
SARS-CoV-2-B.1.1-N_IFNgamma	model_2_multimer_v3_pred_0	0.562179242865778	0.01478626219084	SARS-CoV-2-B.1.1-N	IFNgamma	False	0.576965505056618	True
SARS-CoV-2-BA.2-N_IFNgamma	model_2_multimer_v3_pred_1	0.561853319218413	0.014819304600567	SARS-CoV-2-BA.2-N	IFNgamma	False	0.57667262381898	True
OC43-N_CCL7	model_3_multimer_v3_pred_3	0.56169325343781	0.839398305790902	OC43-N	CCL7	False	1.4010915592287119	True
SARS-CoV-2-BA.4-N_TNFalpha	model_2_multimer_v3_pred_2	0.561652855726932	0.104398477252003	SARS-CoV-2-BA.4-N	TNFalpha	False	0.666051332978935	True
SARS-CoV-2-XBB-N_IFNgamma	model_2_multimer_v3_pred_3	0.561271567870436	0.015507131003156	SARS-CoV-2-XBB-N	IFNgamma	False	0.576778698873592	True
SARS-CoV-2-BA.4-N_CCL28	model_4_multimer_v3_pred_1	0.561108963988953	0.078085119098782	SARS-CoV-2-BA.4-N	CCL28	True	0.6391940830877351	True
SARS-CoV-2-P.1-N_CCL20	model_2_multimer_v3_pred_4	0.56098948913802	0.642044963689669	SARS-CoV-2-P.1-N	CCL20	False	1.203034452827689	True
OC43-N_CCL5	model_1_multimer_v3_pred_1	0.56073065075404	0.318364455645002	OC43-N	CCL5	True	0.879095106399042	True
SARS-CoV-2-BA.2-N_IFNgamma	model_2_multimer_v3_pred_2	0.55991540624875	0.015426500569831	SARS-CoV-2-BA.2-N	IFNgamma	False	0.575341906818581	True
SARS-CoV-2-XBB-N_TNFalpha	model_2_multimer_v3_pred_1	0.559409054235826	0.114086728823742	SARS-CoV-2-XBB-N	TNFalpha	False	0.673495783059568	True
SARS-CoV-2-BQ.1-N_CCL4	model_4_multimer_v3_pred_1	0.558799341396074	0.877903825426518	SARS-CoV-2-BQ.1-N	CCL4	False	1.436703166822592	True
SARS-CoV-2-B.1.617.2-DeltaA-N_IFNgamma	model_1_multimer_v3_pred_3	0.558773960815944	0.011670193536699	SARS-CoV-2-B.1.617.2-DeltaA-N	IFNgamma	False	0.570444154352643	True
SARS-CoV-2-XBB-N_IFNgamma	model_2_multimer_v3_pred_2	0.558460205072148	0.015048164305037	SARS-CoV-2-XBB-N	IFNgamma	False	0.573508369377185	True
SARS-CoV-2-XBB-N_CCL13	model_4_multimer_v3_pred_4	0.558265310554763	0.905984367785524	SARS-CoV-2-XBB-N	CCL13	False	1.4642496783402872	True
SARS-CoV-N_IFNgamma	model_2_multimer_v3_pred_3	0.558105744174752	0.01647428046807	SARS-CoV-N	IFNgamma	False	0.574580024642822	True
SARS-CoV-2-B.1.1-N_IL-35	model_1_multimer_v3_pred_2	0.557918061071381	0.982156603463775	SARS-CoV-2-B.1.1-N	IL-35	False	1.540074664535156	True
SARS-CoV-2-BA.4-N_IFNgamma	model_2_multimer_v3_pred_2	0.557783898576396	0.013704655998196	SARS-CoV-2-BA.4-N	IFNgamma	False	0.571488554574592	True
BANAL-20-52-N_CCL4	model_4_multimer_v3_pred_0	0.55684986954353	0.901302264232976	BANAL-20-52-N	CCL4	False	1.458152133776506	True
BANAL-20-52-N_IL-35	model_5_multimer_v3_pred_0	0.556684136612498	0.981337789069648	BANAL-20-52-N	IL-35	False	1.5380219256821461	True
SARS-CoV-2-B.1.351-N_IFNgamma	model_2_multimer_v3_pred_3	0.556606306094403	0.00951756292241	SARS-CoV-2-B.1.351-N	IFNgamma	False	0.566123869016813	True
SARS-CoV-2-B.1.1.7-N_CCL13	model_4_multimer_v3_pred_3	0.556512399866965	0.8033137478338	SARS-CoV-2-B.1.1.7-N	CCL13	False	1.359826147700765	True
MERS-CoV-N_CCL22	model_4_multimer_v3_pred_4	0.55599807191968	0.96610889201792	MERS-CoV-N	CCL22	False	1.5221069639376	True
SARS-CoV-2-B.1.351-N_IFNgamma	model_2_multimer_v3_pred_1	0.555376046926301	0.012652594032859	SARS-CoV-2-B.1.351-N	IFNgamma	False	0.5680286409591601	True
RaTG13-N_IL-23	model_2_multimer_v3_pred_3	0.555356262930911		RaTG13-N	IL-23	False		True
SARS-CoV-2-P.1-N_IFNgamma	model_2_multimer_v3_pred_4	0.554713623529093	0.013705151670087	SARS-CoV-2-P.1-N	IFNgamma	False	0.56841877519918	True
SARS-CoV-2-BA.2-N_IFNlambda1	model_3_multimer_v3_pred_0	0.554058755615973	0.976700838755052	SARS-CoV-2-BA.2-N	IFNlambda1	False	1.530759594371025	True
RaTG13-N_IFNgamma	model_1_multimer_v3_pred_3	0.553131105017523	0.013672209863815	RaTG13-N	IFNgamma	False	0.5668033148813381	True
SARS-CoV-2-BQ.1-N_CXCL11	model_5_multimer_v3_pred_2	0.552472981438654	0.945019925797297	SARS-CoV-2-BQ.1-N	CXCL11	True	1.497492907235951	True
BANAL-20-52-N_IFNgamma	model_1_multimer_v3_pred_1	0.552380118427449	0.015115435690914	BANAL-20-52-N	IFNgamma	False	0.567495554118363	True
SARS-CoV-2-BQ.1-N_IFNgamma	model_2_multimer_v3_pred_4	0.552036325517413	0.0153349494979	SARS-CoV-2-BQ.1-N	IFNgamma	False	0.567371275015313	True
SARS-CoV-2-BA.1.1-N_IL-35	model_1_multimer_v3_pred_3	0.550259470958657	0.981074017182622	SARS-CoV-2-BA.1.1-N	IL-35	False	1.531333488141279	True
MERS-CoV-N_CXCL6	model_3_multimer_v3_pred_0	0.550047319823839	0.941822821179159	MERS-CoV-N	CXCL6	False	1.4918701410029982	True
OC43-N_CCL8	model_5_multimer_v3_pred_4	0.549851877309308	0.934216290002145	OC43-N	CCL8	False	1.4840681673114529	False
SARS-CoV-2-BA.2-N_CCL20	model_4_multimer_v3_pred_2	0.549746101766438	0.306432463440084	SARS-CoV-2-BA.2-N	CCL20	False	0.856178565206522	True
SARS-CoV-2-BA.1.1-N_CCL20	model_2_multimer_v3_pred_0	0.549163057828188	0.389411488998844	SARS-CoV-2-BA.1.1-N	CCL20	False	0.9385745468270319	True
OC43-N_IFNbeta	model_1_multimer_v3_pred_3	0.549137166779529	0.987545686409785	OC43-N	IFNbeta	False	1.536682853189314	True
MERS-CoV-N_CCL15	model_4_multimer_v3_pred_2	0.548912920205823	0.892457894292632	MERS-CoV-N	CCL15	False	1.441370814498455	True
OC43-N_CCL8	model_5_multimer_v3_pred_1	0.548450467031848	0.948638142986664	OC43-N	CCL8	False	1.497088610018512	True
SARS-CoV-2-BQ.1-N_CCL20	model_2_multimer_v3_pred_1	0.548022079125762	0.371573030771989	SARS-CoV-2-BQ.1-N	CCL20	False	0.919595109897751	True
SARS-CoV-2-B.1.1-N_IL-23	model_2_multimer_v3_pred_2	0.547615204438786		SARS-CoV-2-B.1.1-N	IL-23	False		True
SARS-CoV-2-BQ.1-N_IFNlambda1	model_3_multimer_v3_pred_3	0.546206392126908	0.981035708975738	SARS-CoV-2-BQ.1-N	IFNlambda1	False	1.527242101102646	True
BANAL-20-52-N_CCL4	model_4_multimer_v3_pred_2	0.546186878478549	0.90137953382785	BANAL-20-52-N	CCL4	False	1.447566412306399	True
SARS-CoV-2-P.1-N_CCL4	model_4_multimer_v3_pred_2	0.545525083035741	0.886367160528126	SARS-CoV-2-P.1-N	CCL4	False	1.431892243563867	True
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-6Ralpha	model_2_multimer_v3_pred_4	0.545391029070259	0.438981010809274	SARS-CoV-2-B.1.617.2-DeltaA-N	IL-6Ralpha	False	0.984372039879533	True
SARS-CoV-2-BA.1.1-N_CCL4	model_4_multimer_v3_pred_3	0.544753756702682	0.891488254907578	SARS-CoV-2-BA.1.1-N	CCL4	False	1.4362420116102599	True
OC43-N_CCL7	model_3_multimer_v3_pred_1	0.544082026418241	0.836746011926926	OC43-N	CCL7	False	1.380828038345167	True
OC43-N_CCL27	model_2_multimer_v3_pred_2	0.54397909164622	0.97783899920432	OC43-N	CCL27	False	1.52181809085054	True
SARS-CoV-2-B.1.617.2-DeltaA-N_IFNlambda1	model_1_multimer_v3_pred_0	0.543645875333313	0.445694800268218	SARS-CoV-2-B.1.617.2-DeltaA-N	IFNlambda1	False	0.989340675601531	True
SARS-CoV-2-B.1.351-N_IL-12p70	model_4_multimer_v3_pred_2	0.542835653426482	0.474994587543188	SARS-CoV-2-B.1.351-N	IL-12p70	False	1.01783024096967	True
SARS-CoV-2-B.1.351-N_IL-35	model_5_multimer_v3_pred_4	0.542552988195452	0.976283833395205	SARS-CoV-2-B.1.351-N	IL-35	False	1.518836821590657	True
OC43-N_CCL8	model_4_multimer_v3_pred_2	0.542415538727539	0.904677585525745	OC43-N	CCL8	False	1.4470931242532838	True
OC43-N_CCL7	model_3_multimer_v3_pred_4	0.542218482996296	0.804367446185638	OC43-N	CCL7	False	1.3465859291819342	True
SARS-CoV-2-BQ.1-N_IFNlambda1	model_3_multimer_v3_pred_4	0.541945082242508	0.97477953169412	SARS-CoV-2-BQ.1-N	IFNlambda1	False	1.5167246139366282	True
SARS-CoV-2-XBB-N_CCL3L1	model_3_multimer_v3_pred_2	0.541610470044555	0.953842514946976	SARS-CoV-2-XBB-N	CCL3L1	False	1.495452984991531	True
OC43-N_CCL5	model_3_multimer_v3_pred_4	0.541299617580854	0.822398261611902	OC43-N	CCL5	True	1.363697879192756	False
SARS-CoV-2-XBB-N_IFNA2	model_4_multimer_v3_pred_0	0.540542764980986	0.992305768259971	SARS-CoV-2-XBB-N	IFNA2	False	1.532848533240957	True
SARS-CoV-2-B.1.351-N_CCL4	model_4_multimer_v3_pred_1	0.540251065596597	0.90348251453682	SARS-CoV-2-B.1.351-N	CCL4	False	1.443733580133417	True
MERS-CoV-N_CCL15	model_4_multimer_v3_pred_4	0.539719963106251	0.844627962544629	MERS-CoV-N	CCL15	False	1.38434792565088	True
SARS-CoV-2-WA1-N_TNFalpha	model_2_multimer_v3_pred_4	0.539705650814712	0.042281068318678	SARS-CoV-2-WA1-N	TNFalpha	False	0.58198671913339	True
SARS-CoV-2-BA.2-N_CCL4	model_4_multimer_v3_pred_2	0.538963977130544	0.884710979186365	SARS-CoV-2-BA.2-N	CCL4	False	1.4236749563169089	True
OC43-N_IFNbeta	model_3_multimer_v3_pred_3	0.538378784224351	0.815831005503182	OC43-N	IFNbeta	False	1.3542097897275331	True
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-35	model_1_multimer_v3_pred_4	0.537846388880381	0.984700440890198	SARS-CoV-2-B.1.617.2-DeltaA-N	IL-35	False	1.522546829770579	True
SARS-CoV-2-XBB-N_CCL20	model_4_multimer_v3_pred_1	0.537710551500438	0.20330662823621	SARS-CoV-2-XBB-N	CCL20	False	0.741017179736648	True
SARS-CoV-2-B.1.351-N_CXCL9	model_4_multimer_v3_pred_0	0.536906439027262	0.477526656505839	SARS-CoV-2-B.1.351-N	CXCL9	True	1.014433095533101	True
OC43-N_IFNbeta	model_3_multimer_v3_pred_2	0.536649403438416	0.833443452224978	OC43-N	IFNbeta	False	1.370092855663394	True
SARS-CoV-2-WA1-N_IL-35	model_1_multimer_v3_pred_3	0.536570540815298	0.982658395622047	SARS-CoV-2-WA1-N	IL-35	False	1.519228936437345	True
RaTG13-N_IL-35	model_1_multimer_v3_pred_4	0.536496998625849	0.988358891244155	RaTG13-N	IL-35	False	1.524855889870004	True
OC43-N_CCL5	model_3_multimer_v3_pred_1	0.536181434892383	0.881278763569473	OC43-N	CCL5	True	1.417460198461856	True
SARS-CoV-2-B.1.1.7-N_CCL22	model_4_multimer_v3_pred_1	0.536162503692582	0.304126244273115	SARS-CoV-2-B.1.1.7-N	CCL22	False	0.8402887479656971	True
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-6Ralpha	model_2_multimer_v3_pred_1	0.534843123165706	0.340108568452002	SARS-CoV-2-B.1.617.2-DeltaA-N	IL-6Ralpha	False	0.874951691617708	True
SARS-CoV-2-B.1.1.7-N_IL-6Ralpha	model_2_multimer_v3_pred_2	0.533997093256662	0.38753060843478	SARS-CoV-2-B.1.1.7-N	IL-6Ralpha	False	0.921527701691442	True
SARS-CoV-2-WA1-N_CCL4	model_4_multimer_v3_pred_0	0.533652684445025	0.902076566895974	SARS-CoV-2-WA1-N	CCL4	False	1.435729251340999	True
SARS-CoV-2-B.1.1.7-N_IL-35	model_1_multimer_v3_pred_2	0.532629735292113	0.989246805689263	SARS-CoV-2-B.1.1.7-N	IL-35	False	1.521876540981376	True
SARS-CoV-2-P.1-N_IFNlambda1	model_1_multimer_v3_pred_4	0.532248846606487	0.467738327646603	SARS-CoV-2-P.1-N	IFNlambda1	False	0.9999871742530899	True
BANAL-20-52-N_IFNlambda1	model_1_multimer_v3_pred_2	0.53167478159922	0.433847658184428	BANAL-20-52-N	IFNlambda1	False	0.9655224397836479	True
SARS-CoV-2-B.1.1.7-N_IFNlambda1	model_1_multimer_v3_pred_1	0.530894057066312	0.457316008813529	SARS-CoV-2-B.1.1.7-N	IFNlambda1	False	0.988210065879841	True
SARS-CoV-2-B.1.1.7-N_CCL20	model_4_multimer_v3_pred_2	0.529081591061638	0.335002338409484	SARS-CoV-2-B.1.1.7-N	CCL20	False	0.864083929471122	True
SARS-CoV-2-P.1-N_IL-6Ralpha	model_2_multimer_v3_pred_4	0.528996606338221	0.451653536566779	SARS-CoV-2-P.1-N	IL-6Ralpha	False	0.980650142905	True
SARS-CoV-2-B.1.1-N_TNFalpha	model_2_multimer_v3_pred_4	0.528989375557036	0.083981109776522	SARS-CoV-2-B.1.1-N	TNFalpha	False	0.6129704853335579	True
RaTG13-N_IL-23	model_4_multimer_v3_pred_2	0.528901967369968	0.011822926760641	RaTG13-N	IL-23	False	0.540724894130609	True
OC43-N_IFNbeta	model_5_multimer_v3_pred_4	0.528755783266684	0.741745098421816	OC43-N	IFNbeta	False	1.2705008816885002	True
OC43-N_CXCL6	model_4_multimer_v3_pred_4	0.528737352775833	0.972099946904945	OC43-N	CXCL6	False	1.500837299680778	True
OC43-N_IFNbeta	model_3_multimer_v3_pred_1	0.52813548759384	0.842702354846676	OC43-N	IFNbeta	False	1.3708378424405159	True
SARS-CoV-2-BA.1.1-N_IL-23	model_4_multimer_v3_pred_0	0.527840588524462	0.021500857552071	SARS-CoV-2-BA.1.1-N	IL-23	False	0.549341446076533	True
SARS-CoV-2-B.1.1.529-N_CCL2	model_1_multimer_v3_pred_4	0.527834699982745	0.710680981321017	SARS-CoV-2-B.1.1.529-N	CCL2	False	1.2385156813037619	True
SARS-CoV-N_IFNlambda1	model_1_multimer_v3_pred_0	0.527627539059991	0.402359198739027	SARS-CoV-N	IFNlambda1	False	0.9299867377990181	True
OC43-N_CCL5	model_5_multimer_v3_pred_4	0.527570046618892	0.950195676234345	OC43-N	CCL5	True	1.477765722853237	True
BANAL-20-52-N_IL-6Ralpha	model_1_multimer_v3_pred_3	0.527356530838108	0.299422331073939	BANAL-20-52-N	IL-6Ralpha	False	0.826778861912047	True
SARS-CoV-2-XBB-N_IFNlambda1	model_1_multimer_v3_pred_2	0.527165739349151	0.585061890849335	SARS-CoV-2-XBB-N	IFNlambda1	False	1.1122276301984861	True
SARS-CoV-2-XBB-N_IL-23	model_4_multimer_v3_pred_0	0.527141983884258	0.010348553792353	SARS-CoV-2-XBB-N	IL-23	False	0.537490537676611	True
SARS-CoV-2-BA.2-N_CCL4	model_4_multimer_v3_pred_0	0.526579525687166	0.887085011421191	SARS-CoV-2-BA.2-N	CCL4	False	1.4136645371083572	True
BANAL-20-52-N_CCL22	model_4_multimer_v3_pred_1	0.526438729103057	0.241958169181724	BANAL-20-52-N	CCL22	False	0.768396898284781	True
SARS-CoV-2-P.1-N_CCL13	model_2_multimer_v3_pred_3	0.526356545200798	0.834340025585673	SARS-CoV-2-P.1-N	CCL13	False	1.3606965707864709	True
SARS-CoV-2-P.1-N_IL-23	model_4_multimer_v3_pred_0	0.525044973284838	0.040926860468768	SARS-CoV-2-P.1-N	IL-23	False	0.565971833753606	True
OC43-N_CCL27	model_2_multimer_v3_pred_0	0.524937057249095	0.977259972401447	OC43-N	CCL27	False	1.502197029650542	True
RaTG13-N_IL-35	model_1_multimer_v3_pred_3	0.524798564031726	0.988476163806028	RaTG13-N	IL-35	False	1.513274727837754	True
OC43-N_CCL5	model_3_multimer_v3_pred_2	0.524669140922539	0.66078137695838	OC43-N	CCL5	True	1.185450517880919	True
OC43-N_IFNbeta	model_1_multimer_v3_pred_2	0.524505414099067	0.833795640604166	OC43-N	IFNbeta	False	1.358301054703233	True
BANAL-20-52-N_IL-35	model_1_multimer_v3_pred_1	0.524443727016719	0.980099148611469	BANAL-20-52-N	IL-35	False	1.504542875628188	True
SARS-CoV-2-BA.4-N_IL-23	model_4_multimer_v3_pred_4	0.524397785853378	0.033830091460863	SARS-CoV-2-BA.4-N	IL-23	False	0.5582278773142411	True
SARS-CoV-2-BA.4-N_CCL22	model_4_multimer_v3_pred_0	0.523893030892514	0.364055754423241	SARS-CoV-2-BA.4-N	CCL22	False	0.887948785315755	True
SARS-CoV-N_CCL3L1	model_4_multimer_v3_pred_2	0.523877230260722	0.66809011451651	SARS-CoV-N	CCL3L1	False	1.191967344777232	True
SARS-CoV-2-B.1.1.7-N_CCL3L1	model_2_multimer_v3_pred_2	0.523626022493253	0.748428040817758	SARS-CoV-2-B.1.1.7-N	CCL3L1	False	1.272054063311011	True
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL4	model_4_multimer_v3_pred_0	0.523371926800281	0.894191648867429	SARS-CoV-2-B.1.617.2-DeltaA-N	CCL4	False	1.4175635756677099	True
SARS-CoV-2-BA.4-N_CXCL11	model_3_multimer_v3_pred_0	0.523324719200734	0.9534307806351	SARS-CoV-2-BA.4-N	CXCL11	True	1.4767554998358339	True
SARS-CoV-2-B.1.1.529-N_CCL4	model_4_multimer_v3_pred_2	0.522891759852296	0.884651598295072	SARS-CoV-2-B.1.1.529-N	CCL4	False	1.407543358147368	True
SARS-CoV-N_CCL22	model_4_multimer_v3_pred_3	0.522791562176194	0.861189322298601	SARS-CoV-N	CCL22	False	1.383980884474795	False
SARS-CoV-2-B.1.351-N_IFNlambda1	model_1_multimer_v3_pred_3	0.522518922416938	0.370390736113343	SARS-CoV-2-B.1.351-N	IFNlambda1	False	0.8929096585302809	True
SARS-CoV-2-B.1.351-N_CCL2	model_1_multimer_v3_pred_0	0.522451924889269	0.382925743401945	SARS-CoV-2-B.1.351-N	CCL2	False	0.905377668291214	True
RaTG13-N_IL-6Ralpha	model_1_multimer_v3_pred_2	0.522259229590422	0.253311988736248	RaTG13-N	IL-6Ralpha	False	0.7755712183266701	True
SARS-CoV-2-WA1-N_IFNlambda1	model_1_multimer_v3_pred_0	0.52168607979624	0.63545656469686	SARS-CoV-2-WA1-N	IFNlambda1	False	1.1571426444931001	True
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-23	model_4_multimer_v3_pred_2	0.521676339315975	0.023048414660263	SARS-CoV-2-B.1.617.2-DeltaA-N	IL-23	False	0.544724753976238	True
SARS-CoV-2-WA1-N_CCL4	model_4_multimer_v3_pred_3	0.521266082635933	0.90942976196393	SARS-CoV-2-WA1-N	CCL4	False	1.430695844599863	True
BANAL-20-52-N_IL-6Ralpha	model_1_multimer_v3_pred_4	0.520711202013626	0.294417287915856	BANAL-20-52-N	IL-6Ralpha	False	0.815128489929482	True
SARS-CoV-2-B.1.351-N_IL-23	model_4_multimer_v3_pred_3	0.520512014559537	0.090923324218398	SARS-CoV-2-B.1.351-N	IL-23	False	0.611435338777935	True
BANAL-20-52-N_IFNlambda1	model_1_multimer_v3_pred_4	0.520356456504349	0.461887885982863	BANAL-20-52-N	IFNlambda1	False	0.982244342487212	True
OC43-N_CCL27	model_2_multimer_v3_pred_1	0.520287896304964	0.906598841553848	OC43-N	CCL27	False	1.426886737858812	True
RaTG13-N_IL-6Ralpha	model_1_multimer_v3_pred_1	0.520118131054801	0.238189226089743	RaTG13-N	IL-6Ralpha	False	0.758307357144544	True
SARS-CoV-2-B.1.1.7-N_IL-18BP	model_2_multimer_v3_pred_1	0.519844673912746	0.99103251403358	SARS-CoV-2-B.1.1.7-N	IL-18BP	False	1.5108771879463259	True
SARS-CoV-2-B.1.1.7-N_CCL4	model_4_multimer_v3_pred_0	0.519829942110273	0.88068045785529	SARS-CoV-2-B.1.1.7-N	CCL4	False	1.400510399965563	True
SARS-CoV-2-BA.2-N_IL-23	model_4_multimer_v3_pred_0	0.51970140104438	0.05075632489113	SARS-CoV-2-BA.2-N	IL-23	False	0.57045772593551	True
OC43-N_CXCL8	model_3_multimer_v3_pred_2	0.51968965443978	0.668301804147511	OC43-N	CXCL8	False	1.187991458587291	True
BANAL-20-52-N_IL-6Ralpha	model_1_multimer_v3_pred_1	0.51965944312467	0.287370606526512	BANAL-20-52-N	IL-6Ralpha	False	0.807030049651182	True
RaTG13-N_IL-23	model_4_multimer_v3_pred_4	0.51941836020668	0.061548244687483	RaTG13-N	IL-23	False	0.580966604894163	True
OC43-N_CCL27	model_2_multimer_v3_pred_3	0.519360121079637	0.974947323469983	OC43-N	CCL27	False	1.49430744454962	True
SARS-CoV-2-B.1.1.529-N_IL-6Ralpha	model_2_multimer_v3_pred_0	0.519301442397696	0.39267462570917	SARS-CoV-2-B.1.1.529-N	IL-6Ralpha	False	0.911976068106866	True
OC43-N_IL-18BP	model_3_multimer_v3_pred_1	0.519078566833843	0.914134779868614	OC43-N	IL-18BP	False	1.433213346702457	False
SARS-CoV-2-B.1.351-N_IL-6Ralpha	model_1_multimer_v3_pred_4	0.519007291156121	0.348210513722604	SARS-CoV-2-B.1.351-N	IL-6Ralpha	False	0.8672178048787249	True
SARS-CoV-2-B.1.1.529-N_CCL4	model_4_multimer_v3_pred_4	0.518934125259509	0.838039048040585	SARS-CoV-2-B.1.1.529-N	CCL4	False	1.356973173300094	True
SARS-CoV-N_IL-35	model_1_multimer_v3_pred_2	0.51879566038313	0.988179654716505	SARS-CoV-N	IL-35	False	1.506975315099635	True
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-23	model_4_multimer_v3_pred_3	0.518763941659954	0.014428994307294	SARS-CoV-2-B.1.617.2-DeltaA-N	IL-23	False	0.533192935967248	True
SARS-CoV-2-B.1.1.7-N_IL-23	model_4_multimer_v3_pred_1	0.518741819629137	0.012109949744384	SARS-CoV-2-B.1.1.7-N	IL-23	False	0.530851769373521	True
SARS-CoV-2-BA.1.1-N_IL-6Ralpha	model_2_multimer_v3_pred_1	0.518684388182645	0.269389812385405	SARS-CoV-2-BA.1.1-N	IL-6Ralpha	False	0.7880742005680499	True
SARS-CoV-2-BA.4-N_IL-12p70	model_2_multimer_v3_pred_3	0.518576449386399	0.443120867445964	SARS-CoV-2-BA.4-N	IL-12p70	False	0.961697316832363	True
SARS-CoV-2-BA.1.1-N_IL-12p70	model_4_multimer_v3_pred_2	0.518107418096875	0.680629048181341	SARS-CoV-2-BA.1.1-N	IL-12p70	False	1.1987364662782158	True
SARS-CoV-2-P.1-N_CCL4	model_4_multimer_v3_pred_0	0.518081496721442	0.862259977745044	SARS-CoV-2-P.1-N	CCL4	False	1.3803414744664861	True
RaTG13-N_IL-12p70	model_4_multimer_v3_pred_3	0.518040698506821	0.6287407158079	RaTG13-N	IL-12p70	False	1.146781414314721	True
SARS-CoV-2-B.1.617.2-DeltaA-N_IL-23	model_4_multimer_v3_pred_0	0.517550130050622	0.016451352195873	SARS-CoV-2-B.1.617.2-DeltaA-N	IL-23	False	0.534001482246495	True
SARS-CoV-2-BA.1.1-N_IL-35	model_5_multimer_v3_pred_0	0.517240013828236	0.98388746298821	SARS-CoV-2-BA.1.1-N	IL-35	False	1.501127476816446	True
SARS-CoV-2-BA.1.1-N_IL-23	model_4_multimer_v3_pred_3	0.517010747855502	0.053112295362009	SARS-CoV-2-BA.1.1-N	IL-23	False	0.5701230432175111	True
RaTG13-N_IL-23	model_4_multimer_v3_pred_3	0.516581768770142	0.068972576707267	RaTG13-N	IL-23	False	0.5855543454774089	True
SARS-CoV-2-B.1.351-N_IL-6Ralpha	model_1_multimer_v3_pred_3	0.516545772747057	0.427386007087612	SARS-CoV-2-B.1.351-N	IL-6Ralpha	False	0.943931779834669	True
