experiment_name,best_model_pred,iptm+ptm,gdock,total_score,negative_energy,Group1,Group2,IntraclashesGroup1,IntraclashesGroup2,af2_foldx_dG,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,entropy sidechain,entropy mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional clash,backbone clash,helix dipole,water bridge,disulfide,electrostatic kon,partial covalent bonds,energy Ionisation,Entropy Complex,Number of Residues,Interface Residues,Interface Residues Clashing,Interface Residues VdW Clashing,Interface Residues BB Clashing,wet_hit,n_protein,cytokine_protein,af2_best_pdb_path,af2_prodigy_deltaG_kcalpermol,af2_prodigy_dissociation_constant_M
SARS-CoV-2-BA.4-N__IL-27,model_2_multimer_v3_pred_2,0.431179107,0.971737182722743,1.40291629014555,True,A,B,109.23,13.5532,24.1351,-5.75503,-16.4604,-45.1177,-12.3778,82.3338,-50.7254,29.4093,27.098,11.5445,0,0,1.79781,4.31382,29.4089,0.118001,0,0,-2.06148,0,0.017584,2.384,840,83,9,6,6,False,SARS-CoV-2-BA.4-N,IL-27,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IL-27_relaxed_model_2_multimer_v3_pred_2.pdb,-23.4,6.7E-18
SARS-CoV-2-WA1-N__IL-27,model_4_multimer_v3_pred_2,0.429750905,0.981176361661603,1.4109272662568,True,A,B,27.0421,6.97398,5.35348,-5.59877,-15.2582,-37.7672,-9.83362,70.6278,-45.5301,12.8132,24.7105,12.7924,0,0,0,0.766454,34.0105,-0.337644,0,0,-2.0747,0,0.0432688,2.384,843,100,12,5,10,False,SARS-CoV-2-WA1-N,IL-27,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IL-27_relaxed_model_4_multimer_v3_pred_2.pdb,-25.4,2.3E-19
OC43-N__IL-27,model_1_multimer_v3_pred_0,0.650575534,0.874938508204438,1.5255140418851,True,A,B,39.5517,9.25911,-12.7997,-3.45369,-8.29839,-22.1045,-4.77501,29.9379,-28.5001,2.70823,13.6823,8.16715,0,0,0,1.07587,7.58143,-0.214833,0,0,-1.028,0,0.00338396,2.384,872,62,2,0,2,False,OC43-N,IL-27,./best_AF2_and_GDock/OC43-N_IL-27_relaxed_model_1_multimer_v3_pred_0.pdb,-21.5,1.7E-16
SARS-CoV-N__IL-27,model_2_multimer_v3_pred_3,0.430533592,0.977938207318077,1.40847179890603,True,A,B,89.1999,6.07881,-15.7231,-5.76389,-9.47747,-25.5436,-5.75146,37.4456,-30.8379,6.17822,10.523,7.11447,0,0,0.000708818,1.20558,14.4784,-0.129325,0,0,-0.687009,0,0,2.384,846,57,6,2,5,False,SARS-CoV-N,IL-27,./best_AF2_and_GDock/SARS-CoV-N_IL-27_relaxed_model_2_multimer_v3_pred_3.pdb,-19.4,5.5E-15
SARS-CoV-2-B.1.351-N__CXCL7,model_3_multimer_v3_pred_1,0.250063546,0.972789885967293,1.22285343209574,True,A,B,20.9767,4.93257,-2.34143,-2.92246,-7.06514,-19.7389,-2.61362,31.6472,-25.7914,2.25526,11.7146,10.0383,0,0,0,0.513388,3.6568,-0.113059,0,8.88E-16,-0.265667,0,5.55E-17,2.384,513,55,0,0,0,False,SARS-CoV-2-B.1.351-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CXCL7_relaxed_model_3_multimer_v3_pred_1.pdb,-12.4,7.4E-10
SARS-CoV-2-B.1.1.7-N__CXCL7,model_5_multimer_v3_pred_2,0.283229971,0.958970627815813,1.24220059892522,True,A,B,23.8867,3.83017,-4.78253,-5.09119,-8.11017,-13.0333,-1.20961,19.9273,-16.4543,3.9394,9.20658,6.38493,0,0,0,0.264284,5.06685,-0.439231,0,0,-0.167186,0,-1.39E-17,2.384,513,32,3,2,1,False,SARS-CoV-2-B.1.1.7-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CXCL7_relaxed_model_5_multimer_v3_pred_2.pdb,-9.5,1E-07
RaTG13-N__CXCL7,model_1_multimer_v3_pred_1,0.240384032,0.979124006429249,1.21950803835896,True,A,B,17.4883,4.4465,-13.2868,-4.41102,-8.09137,-19.2429,-1.01442,26.5577,-27.4237,2.90907,11.8861,5.49873,0,0,0,0.276711,2.77591,-0.15839,0,-8.88E-16,-0.0732368,0,2.78E-17,2.384,513,51,0,0,0,False,RaTG13-N,CXCL7,./best_AF2_and_GDock/RaTG13-N_CXCL7_relaxed_model_1_multimer_v3_pred_1.pdb,-10.6,1.7E-08
MERS-CoV-N__CXCL7,model_2_multimer_v3_pred_3,0.643257083,0.936961030467494,1.5802181135082,True,A,B,12.4967,2.54929,-30.0758,-7.6746,-14.3025,-28.7561,-3.0758,34.9369,-43.3096,6.34236,22.1011,4.82397,0,0,0,0.0652843,5.34059,-0.144844,0,8.88E-16,-1.08201,0,5.55E-17,2.384,505,87,2,2,0,False,MERS-CoV-N,CXCL7,./best_AF2_and_GDock/MERS-CoV-N_CXCL7_relaxed_model_2_multimer_v3_pred_3.pdb,-12.2,1.1E-09
SARS-CoV-2-B.1.1.529-N__CXCL7,model_5_multimer_v3_pred_0,0.223017663,0.969394040244764,1.1924117034483,False,A,B,27.3185,7.00229,1.97291,-3.42478,-4.11495,-11.2052,-1.8986,19.1319,-12.5908,4.47995,6.86884,5.03764,0,0,0,0.11321,1.65503,-0.198736,0,0,-0.293509,0,0.0679565,2.384,510,37,1,1,0,False,SARS-CoV-2-B.1.1.529-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CXCL7_relaxed_model_5_multimer_v3_pred_0.pdb,-9.5,1E-07
SARS-CoV-2-P.1-N__CXCL7,model_4_multimer_v3_pred_4,0.274954733,0.958619697678551,1.23357443033433,True,A,B,16.2328,2.88398,-8.37114,-6.54543,-7.98424,-13.837,-2.59932,21.5762,-16.4202,1.54895,10.4508,6.36279,0,0,0,0.38095,1.12031,-0.0737725,0,0,-1.25047,0,0.0196821,2.384,513,48,0,0,0,False,SARS-CoV-2-P.1-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CXCL7_relaxed_model_4_multimer_v3_pred_4.pdb,-10,4.4E-08
SARS-CoV-2-B.1.617.2-DeltaA-N__CXCL7,model_1_multimer_v3_pred_3,0.225183656,0.977636057823979,1.20281971371365,True,A,B,13.4215,5.55329,-1.31469,-2.46041,-4.79488,-11.8006,-1.00927,18.627,-14.9504,2.83,7.96765,4.14617,0,0,0,0.19663,5.79723,0.0698848,0,8.88E-16,-0.136535,0,8.33E-17,2.384,513,34,1,0,1,False,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL7_relaxed_model_1_multimer_v3_pred_3.pdb,-9.4,1.4E-07
SARS-CoV-2-BA.2-N__CXCL7,model_3_multimer_v3_pred_2,0.21387154,0.977271852607094,1.19114339248081,True,A,B,26.6395,4.07903,-2.06593,-5.82128,-9.36514,-14.976,-1.92749,25.6031,-18.2086,4.24409,10.2769,8.01844,0,0,0,0.504571,6.32016,0.0412406,0,0,-0.502167,0,0.0465103,2.384,510,48,4,2,2,False,SARS-CoV-2-BA.2-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CXCL7_relaxed_model_3_multimer_v3_pred_2.pdb,-10.2,3.1E-08
SARS-CoV-2-XBB-N__CXCL7,model_1_multimer_v3_pred_2,0.228146053,0.982308507755207,1.21045456090628,True,A,B,12.1552,2.71761,-4.3607,-5.80099,-4.05628,-9.31989,-0.100863,13.3201,-11.9595,0.400629,7.91239,5.38377,0,0,0,0.0304411,1.38167,0.0143309,0,0,-0.187857,0,0.00305991,2.384,510,35,0,0,0,False,SARS-CoV-2-XBB-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CXCL7_relaxed_model_1_multimer_v3_pred_2.pdb,-8,1.3E-06
SARS-CoV-2-BA.1.1-N__CXCL7,model_1_multimer_v3_pred_1,0.232489012,0.965033613770166,1.19752262528742,True,A,B,12.6396,3.15826,-8.58107,-5.93688,-7.70444,-11.2979,-1.54563,18.38,-13.1654,0.174105,8.58022,4.02814,0,0,0,0.0736365,1.39958,0.049943,0,0,-0.2169,0,0,2.384,510,38,0,0,0,False,SARS-CoV-2-BA.1.1-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CXCL7_relaxed_model_1_multimer_v3_pred_1.pdb,-8.3,8.6E-07
BANAL-20-52-N__CXCL7,model_3_multimer_v3_pred_3,0.225505623,0.978282259810458,1.20378788313516,True,A,B,24.5827,4.18539,-8.37629,-4.01574,-10.6082,-13.5646,-2.34518,22.778,-17.2937,0.419562,11.2046,5.26226,0,0,0,0.0589846,2.99912,-0.0152112,0,-8.88E-16,-0.257195,0,5.55E-17,2.384,513,43,0,0,0,False,BANAL-20-52-N,CXCL7,./best_AF2_and_GDock/BANAL-20-52-N_CXCL7_relaxed_model_3_multimer_v3_pred_3.pdb,-10,4.7E-08
SARS-CoV-2-B.1.1-N__CXCL7,model_4_multimer_v3_pred_1,0.276246139,0.97797660802679,1.25422274676169,True,A,B,13.8284,5.14524,-8.8791,-3.03044,-7.75207,-15.7994,-2.02991,22.7005,-21.4223,0.197838,13.4922,5.40389,0,0,0,0.567641,0.932719,0.0320501,0,-8.88E-16,-1.3343,0,0.0952991,2.384,513,60,0,0,0,False,SARS-CoV-2-B.1.1-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL7_relaxed_model_4_multimer_v3_pred_1.pdb,-10.2,3.2E-08
SARS-CoV-2-BQ.1-N__CXCL7,model_3_multimer_v3_pred_3,0.220476334,0.974095300821186,1.19457163452047,True,A,B,32.3966,4.54596,-10.9478,-3.30795,-11.6196,-14.0198,-3.58552,23.6389,-17.8744,1.11983,9.73569,5.67188,0,0,0,0.119959,3.74962,-0.0178855,0,0,-0.808906,0,9.71E-17,2.384,510,47,0,0,0,False,SARS-CoV-2-BQ.1-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CXCL7_relaxed_model_3_multimer_v3_pred_3.pdb,-10.5,2.1E-08
SARS-CoV-2-BA.4-N__CXCL7,model_4_multimer_v3_pred_2,0.239361915,0.98757647527114,1.22693838979181,False,A,B,26.7915,2.94993,2.01018,-3.79406,-4.72452,-14.384,0.736605,24.6846,-17.5294,0.461526,9.08103,7.25633,0,0,0,0.0717236,4.77073,-0.00662741,0,0,0.157028,0,2.78E-17,2.384,510,41,0,0,0,False,SARS-CoV-2-BA.4-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CXCL7_relaxed_model_4_multimer_v3_pred_2.pdb,-11.5,3.8E-09
SARS-CoV-2-WA1-N__CXCL7,model_5_multimer_v3_pred_0,0.246743669,0.958122646875182,1.20486631604746,False,A,B,24.8992,3.64274,0.508156,-4.41122,-10.5788,-14.732,-1.56481,23.4594,-18.0285,11.0873,10.0048,5.65093,0,0,0,0.367193,5.81351,-0.586066,0,0,-0.212585,0,0.0525555,2.384,513,35,4,2,2,False,SARS-CoV-2-WA1-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL7_relaxed_model_5_multimer_v3_pred_0.pdb,-9.9,5.2E-08
OC43-N__CXCL7,model_4_multimer_v3_pred_4,0.299452657,0.92979811864845,1.22925077583657,True,A,B,24.7856,3.13547,-5.71337,-6.07627,-8.22204,-36.4144,-2.67192,51.6762,-48.348,3.87598,21.875,18.4242,0,0,0,0.738129,19.5465,0.066214,0,8.88E-16,-0.692813,0,0.0563222,2.384,542,103,5,0,5,False,OC43-N,CXCL7,./best_AF2_and_GDock/OC43-N_CXCL7_relaxed_model_4_multimer_v3_pred_4.pdb,-15.2,7.5E-12
SARS-CoV-N__CXCL7,model_1_multimer_v3_pred_3,0.249632304,0.965515939687236,1.2151482433453,True,A,B,22.196,3.90183,-9.85079,-4.20142,-12.2104,-18.4435,-2.65873,27.6614,-24.5788,2.53874,14.3283,7.84229,0,0,0,0.262001,2.72799,-0.194365,0,-8.88E-16,-0.217764,0,0.0215073,2.384,516,48,0,0,0,False,SARS-CoV-N,CXCL7,./best_AF2_and_GDock/SARS-CoV-N_CXCL7_relaxed_model_1_multimer_v3_pred_3.pdb,-10.9,9.3E-09
SARS-CoV-2-B.1.351-N__IL-18BP,model_3_multimer_v3_pred_3,0.180525767,0.966621619425356,1.14714738638658,False,A,B,22.7272,8.13262,10.4071,-1.94757,-0.604663,-15.5621,-0.762471,20.0096,-21.9172,16.0736,5.1285,6.37196,0,0,0.888982,2.97227,19.419,0.150659,0,0,-0.394399,0,5.55E-17,2.384,583,40,6,2,6,False,SARS-CoV-2-B.1.351-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_IL-18BP_relaxed_model_3_multimer_v3_pred_3.pdb,-12.1,1.2E-09
SARS-CoV-2-B.1.1.7-N__IL-18BP,model_2_multimer_v3_pred_1,0.519844674,0.99103251403358,1.51087718794633,True,A,B,14.9262,23.8879,-14.4991,-3.91315,-4.96081,-31.2875,-2.17599,39.6369,-45.8952,12.286,10.8717,7.4629,0,0,0,3.15135,7.04324,0.0605191,0,0,-0.271416,0,0.535656,2.384,583,72,3,3,0,False,SARS-CoV-2-B.1.1.7-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_IL-18BP_relaxed_model_2_multimer_v3_pred_1.pdb,-16.2,1.4E-12
RaTG13-N__IL-18BP,model_3_multimer_v3_pred_2,0.188101886,0.981602004826953,1.16970389054542,True,A,B,31.8092,8.54577,-1.17007,-3.97995,-2.447,-16.424,-0.469285,23.3908,-21.7921,5.33033,5.47037,9.11709,0,0,0,0.78379,8.34468,0.132598,0,0,-0.282705,0,0,2.384,583,40,3,1,3,False,RaTG13-N,IL-18BP,./best_AF2_and_GDock/RaTG13-N_IL-18BP_relaxed_model_3_multimer_v3_pred_2.pdb,-10.3,2.9E-08
MERS-CoV-N__IL-18BP,model_4_multimer_v3_pred_0,0.439630662,0.926352164650639,1.36598282697395,True,A,B,21.8613,4.82833,-20.962,-4.4816,-7.30002,-22.0491,-2.08836,26.8489,-30.5424,1.46482,11.0129,6.62373,0,0,0,0.236838,3.08267,-0.0348196,0,0,-0.752608,0,0.0997005,2.384,575,62,0,0,0,False,MERS-CoV-N,IL-18BP,./best_AF2_and_GDock/MERS-CoV-N_IL-18BP_relaxed_model_4_multimer_v3_pred_0.pdb,-11.7,2.4E-09
SARS-CoV-2-B.1.1.529-N__IL-18BP,model_2_multimer_v3_pred_4,0.500961849,0.977217915871305,1.47817976488394,True,A,B,32.8742,4.78545,-18.6533,-4.0036,-9.24463,-28.5585,-0.473138,34.9189,-42.2365,10.014,14.509,5.66462,0,0,0,0.374725,6.36568,0.0657558,0,0,-0.0385085,0,0.354736,2.384,580,64,3,3,1,False,SARS-CoV-2-B.1.1.529-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_IL-18BP_relaxed_model_2_multimer_v3_pred_4.pdb,-12.2,1.2E-09
SARS-CoV-2-P.1-N__IL-18BP,model_3_multimer_v3_pred_2,0.163831939,0.964896673173205,1.12872861251466,False,A,B,34.373,6.96087,3.10642,-6.83401,-4.55497,-22.0868,0.113783,32.0439,-30.0336,16.5077,7.08292,7.6185,0,0,0.011331,3.17686,12.6533,8.26E-16,0,0,0.0607412,0,-8.33E-17,2.384,583,42,11,6,7,False,SARS-CoV-2-P.1-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IL-18BP_relaxed_model_3_multimer_v3_pred_2.pdb,-12.2,1E-09
SARS-CoV-2-B.1.617.2-DeltaA-N__IL-18BP,model_3_multimer_v3_pred_4,0.160156628,0.961041376046484,1.12119800427422,False,A,B,24.6686,14.1055,5.35696,-5.02559,-5.6727,-24.166,0.213867,34.7737,-33.0261,17.1717,8.30028,10.1945,0,0,0,2.59477,17.9944,-5E-16,0,0,-0.00137956,0,0,2.384,583,46,9,7,6,False,SARS-CoV-2-B.1.617.2-DeltaA-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-18BP_relaxed_model_3_multimer_v3_pred_4.pdb,-12.2,1.1E-09
SARS-CoV-2-BA.2-N__IL-18BP,model_3_multimer_v3_pred_3,0.223107466,0.962533830236855,1.18564129662261,False,A,B,28.5281,12.0518,0.040735,-3.0484,-12.7734,-27.2184,-2.86177,36.7425,-37.302,14.6936,18.0179,10.2052,0,0,1.62008,2.60255,5.38648,-0.0721295,0,0,-0.565011,0,0,2.384,580,59,5,5,0,False,SARS-CoV-2-BA.2-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_IL-18BP_relaxed_model_3_multimer_v3_pred_3.pdb,-14.2,3.6E-11
SARS-CoV-2-XBB-N__IL-18BP,model_3_multimer_v3_pred_1,0.177028564,0.98010657204413,1.15713513619871,True,A,B,26.9937,5.69282,-6.18029,-4.11245,-2.56929,-19.7939,0.0681707,29.5109,-25.4663,4.7763,4.65988,6.44717,0,0,0,0.184879,5.71739,-2.91E-16,0,1.78E-15,0.114423,0,1.67E-16,2.384,580,43,1,0,1,False,SARS-CoV-2-XBB-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_IL-18BP_relaxed_model_3_multimer_v3_pred_1.pdb,-11.2,6.4E-09
SARS-CoV-2-BA.1.1-N__IL-18BP,model_3_multimer_v3_pred_1,0.174038051,0.9813983512725,1.15543640224773,False,A,B,31.595,9.8585,6.13097,-2.95096,-6.55418,-20.4763,-0.467678,30.6007,-27.8073,15.7742,6.78138,9.95658,0,0,0,1.52984,19.9889,0.0527716,0,-1.78E-15,-0.308113,0,2.22E-16,2.384,580,39,9,6,5,False,SARS-CoV-2-BA.1.1-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IL-18BP_relaxed_model_3_multimer_v3_pred_1.pdb,-12,1.5E-09
BANAL-20-52-N__IL-18BP,model_4_multimer_v3_pred_4,0.440427346,0.964315601115901,1.40474294670156,False,A,B,72.5057,21.4514,18.8051,-4.34106,-8.1211,-18.5236,-2.88841,34.8149,-22.7026,26.6656,8.31691,3.42247,0,0,0,2.39296,8.56697,-0.114745,0,1.78E-15,-0.175108,0,0.0589042,2.384,583,56,11,10,1,False,BANAL-20-52-N,IL-18BP,./best_AF2_and_GDock/BANAL-20-52-N_IL-18BP_relaxed_model_4_multimer_v3_pred_4.pdb,-13.4,1.6E-10
SARS-CoV-2-B.1.1-N__IL-18BP,model_3_multimer_v3_pred_1,0.178149191,0.973846803249774,1.15199599376569,False,A,B,24.7985,10.1431,15.7215,-1.46349,-0.139986,-14.67,-0.615378,20.7635,-20.8094,23.4731,3.93667,4.93974,0,0,-2.22E-16,0.508475,17.4236,0.132186,0,1.78E-15,-0.333875,0,8.33E-17,2.384,583,37,10,6,6,False,SARS-CoV-2-B.1.1-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_IL-18BP_relaxed_model_3_multimer_v3_pred_1.pdb,-10.3,3E-08
SARS-CoV-2-BQ.1-N__IL-18BP,model_3_multimer_v3_pred_0,0.180399028,0.988283410878036,1.16868243897833,False,A,B,248.212,8.6854,5.00508,-5.34737,-3.11686,-25.1306,0.27198,36.6577,-32.1387,10.7723,6.98338,14.8658,0,0,-4.44E-16,1.04615,15.6571,6.25E-17,0,0,0.132093,0,0.00932803,2.384,580,64,6,4,6,False,SARS-CoV-2-BQ.1-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IL-18BP_relaxed_model_3_multimer_v3_pred_0.pdb,-14.8,1.4E-11
SARS-CoV-2-BA.4-N__IL-18BP,model_3_multimer_v3_pred_4,0.179222273,0.975516562479278,1.1547388358655,False,A,B,25.3981,5.7566,1.21729,-4.79223,-5.3941,-19.7032,0.204037,27.8603,-26.7235,12.6307,5.69429,9.22788,0,0,0,2.18603,14.2403,8.33E-17,0,0,0.0270894,0,0,2.384,580,37,7,5,5,False,SARS-CoV-2-BA.4-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IL-18BP_relaxed_model_3_multimer_v3_pred_4.pdb,-11.6,3.2E-09
SARS-CoV-2-WA1-N__IL-18BP,model_5_multimer_v3_pred_3,0.159766018,0.969726260713086,1.12949227913083,False,A,B,28.141,4.40145,5.74691,-2.95389,-2.40279,-20.5007,-0.272011,30.9215,-26.961,9.09511,5.94418,11.6419,0,0,0,1.00934,13.2525,0.0221232,0,0,0.1141,0,0.0890002,2.384,583,46,5,3,4,False,SARS-CoV-2-WA1-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IL-18BP_relaxed_model_5_multimer_v3_pred_3.pdb,-11,8.5E-09
OC43-N__IL-18BP,model_1_multimer_v3_pred_1,0.642034486,0.950483526154324,1.59251801207683,True,A,B,26.6134,4.21024,-26.8336,-7.02521,-14.6638,-25.5305,-4.78191,35.5192,-33.3672,0.585355,15.9089,7.14158,0,0,-6.66E-16,0.10404,3.70351,-0.0466009,0,0,-0.721539,0,0.0441545,2.384,612,70,0,0,0,False,OC43-N,IL-18BP,./best_AF2_and_GDock/OC43-N_IL-18BP_relaxed_model_1_multimer_v3_pred_1.pdb,-13,3E-10
SARS-CoV-N__IL-18BP,model_3_multimer_v3_pred_2,0.169914128,0.964889805115671,1.13480393282293,True,A,B,22.5858,11.7262,-4.58769,-3.52292,-3.37095,-18.5244,0.0930408,24.1465,-26.0644,7.40977,6.01211,7.5687,0,0,0,1.61731,4.4223,0.0257626,0,0,0.0217787,0,1.11E-16,2.384,586,40,3,3,1,False,SARS-CoV-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-N_IL-18BP_relaxed_model_3_multimer_v3_pred_2.pdb,-10.7,1.4E-08
SARS-CoV-2-B.1.351-N__CCL20,model_5_multimer_v3_pred_4,0.182639382,0.931812308323844,1.11445169041035,False,A,B,23.198,6.85719,5.92489,-5.48656,-5.16803,-27.2224,-0.929089,42.125,-34.3383,15.4293,9.63968,11.0402,0,0,0,1.42,8.4118,-0.0210234,0,0,-0.583549,0,0.0195909,2.384,489,50,7,5,2,False,SARS-CoV-2-B.1.351-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL20_relaxed_model_5_multimer_v3_pred_4.pdb,-13.5,1.3E-10
SARS-CoV-2-B.1.1.7-N__CCL20,model_1_multimer_v3_pred_1,0.299074433,0.919770202106974,1.21884463526753,True,A,B,15.2572,7.04892,-3.37436,-1.41574,-5.77786,-16.9662,-2.97658,24.9743,-20.8802,6.71631,9.41125,4.41466,0,0,0,0.323094,9.64727,0.505621,0,0,-1.703,0,0,2.384,489,62,3,0,3,False,SARS-CoV-2-B.1.1.7-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL20_relaxed_model_1_multimer_v3_pred_1.pdb,-12,1.6E-09
RaTG13-N__CCL20,model_2_multimer_v3_pred_3,0.261867303,0.958509446723187,1.22037674975583,False,A,B,24.4663,9.52913,15.8208,-7.62056,-9.69325,-35.1197,-3.09756,54.5994,-44.908,26.6751,17.4345,15.5683,0,0,0,3.01518,22.227,0.101471,0,0,-1.16193,0,0.0277834,2.384,489,66,11,8,8,False,RaTG13-N,CCL20,./best_AF2_and_GDock/RaTG13-N_CCL20_relaxed_model_2_multimer_v3_pred_3.pdb,-17.9,7E-14
MERS-CoV-N__CCL20,model_3_multimer_v3_pred_3,0.315124959,0.970119183298042,1.28524414249477,False,A,B,98.6584,11.2293,61.309,-15.5328,-24.4497,-69.7072,-5.54569,125.706,-88.108,70.7771,31.7654,25.882,0,0,1.62451,9.59008,59.1244,-0.123473,0,0,-0.79726,0,0.227652,2.384,481,114,34,23,20,False,MERS-CoV-N,CCL20,./best_AF2_and_GDock/MERS-CoV-N_CCL20_relaxed_model_3_multimer_v3_pred_3.pdb,-27.6,6.1E-21
SARS-CoV-2-B.1.1.529-N__CCL20,model_1_multimer_v3_pred_0,0.267410113,0.87689916538162,1.14430927888022,True,A,B,17.4639,3.21283,-4.49493,-2.68066,-6.11791,-20.6347,-2.05727,30.9002,-26.2356,2.74181,13.1486,6.6314,0,0,0,0.159796,8.24239,0.122588,0,0,-0.473103,0,-2.78E-17,2.384,486,64,1,0,1,False,SARS-CoV-2-B.1.1.529-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL20_relaxed_model_1_multimer_v3_pred_0.pdb,-11.6,3.1E-09
SARS-CoV-2-P.1-N__CCL20,model_2_multimer_v3_pred_4,0.560989489,0.642044963689669,1.20303445282769,True,A,B,11.8669,4.02599,-7.7418,-5.18201,-9.97537,-13.7671,-2.94553,22.224,-15.9873,1.80016,10.0136,6.79503,0,0,0,0.0627756,3.06989,-0.0348822,0,-8.88E-16,-0.745265,0,-5.55E-17,2.384,489,59,0,0,0,False,SARS-CoV-2-P.1-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL20_relaxed_model_2_multimer_v3_pred_4.pdb,-11.5,3.4E-09
SARS-CoV-2-B.1.617.2-DeltaA-N__CCL20,model_3_multimer_v3_pred_3,0.29228961,0.952256353343856,1.24454596365012,False,A,B,25.8947,4.86242,5.39758,-2.24733,-2.2836,-18.1412,-1.47321,28.4689,-22.9796,8.45727,6.95185,8.29868,0,0,0,1.25174,8.9147,0.0711499,0,0,-1.02126,0,0.0442266,2.384,489,58,3,2,3,False,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL20_relaxed_model_3_multimer_v3_pred_3.pdb,-11.6,3.2E-09
SARS-CoV-2-BA.2-N__CCL20,model_5_multimer_v3_pred_2,0.234235023,0.964143587048288,1.19837860972694,False,A,B,18.5361,11.3163,4.41903,-2.75104,-1.33243,-19.129,-0.892429,26.9306,-26.8826,10.0699,9.26349,8.60167,0,0,0,1.02702,7.62982,0.209467,0,0,-0.695625,0,5.55E-17,2.384,486,60,5,5,0,False,SARS-CoV-2-BA.2-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL20_relaxed_model_5_multimer_v3_pred_2.pdb,-11.9,1.8E-09
SARS-CoV-2-XBB-N__CCL20,model_2_multimer_v3_pred_0,0.306402356,0.94345973147784,1.24986208742712,True,A,B,14.4249,6.53043,-6.80033,-3.94334,-9.19299,-26.4189,-1.46187,38.9948,-34.2022,6.0618,13.5962,10.1027,0,0,0,0.281571,13.8638,0.0354728,0,8.88E-16,-0.714889,0,0.0613161,2.384,486,70,4,1,3,False,SARS-CoV-2-XBB-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL20_relaxed_model_2_multimer_v3_pred_0.pdb,-15.6,3.4E-12
SARS-CoV-2-BA.1.1-N__CCL20,model_3_multimer_v3_pred_1,0.211383609,0.967450274702497,1.17883388362602,False,A,B,26.8029,13.7066,10.9656,-1.23082,-7.36474,-18.0417,-4.13755,30.5454,-23.2859,14.4021,10.519,10.0292,0,0,0,0.510881,17.9639,-0.0414371,0,0,-1.18981,0,0.250998,2.384,486,48,9,4,7,False,SARS-CoV-2-BA.1.1-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL20_relaxed_model_3_multimer_v3_pred_1.pdb,-11.4,4.3E-09
